"Gross Regional Domestic Product, by Region, Growth Rates"

"Region","At Current Prices 2022-2023","At Current Prices 2023-2024","At Constant 2018 Prices 2022-2023","At Constant 2018 Prices 2023-2024"
"..National Capital Region (NCR)",9.9,8.5,4.9,5.6
"..Region III (Central Luzon)",11.8,9.3,6.1,6.5
"..Region IV-A (CALABARZON)",9.3,8.5,5.2,5.6
"Philippines",10.4,8.8,5.5,5.7
