Area_slug,Year,type,WX_heavy_rain_days,WX_rh_avg,WX_tavg_avg,WX_tmax_avg,WX_tmin_avg,WX_total_rain_mm,WX_wet_days,WX_wind_speed_avg
alabat quezon,2018,history,16.0,82.55342465753425,27.53835616438356,31.0972602739726,23.97945205479452,3178.5,178.0,1.793388429752066
alabat quezon,2019,history,6.0,79.57260273972602,27.625342465753423,31.5586301369863,23.692054794520548,1845.4,138.0,1.6082191780821915
alabat quezon,2020,history,22.0,83.46448087431693,27.59016393442623,31.16994535519126,24.0103825136612,4243.6,203.0,1.524590163934426
alabat quezon,2021,history,15.0,84.72602739726027,27.58150684931507,30.89369863013699,24.26931506849315,3794.1,190.0,1.772602739726027
alabat quezon,2022,history,21.0,85.56712328767124,27.76109589041096,31.02849315068493,24.49369863013699,3866.6,222.0,1.5808219178082192
alabat quezon,2023,history,19.0,84.25753424657535,28.03150684931507,31.318082191780825,24.74493150684932,3923.8,203.0,2.095890410958904
alabat quezon,2024,forecast,23.309362198700335,86.17346925517165,28.13019137417472,31.101113361896136,24.85217864242488,4605.569701114625,228.7384595615743,1.877126278838725
alabat quezon,2025,forecast,26.307186516660412,87.00237584398053,28.230082860918422,31.079477649859967,25.042967111347423,5040.7834875228555,242.30900699218265,1.9248402630397097
alabat quezon,2026,forecast,29.690561952010302,87.83925572362833,28.33032906651175,31.05785698886168,25.235220250245103,5517.123790773063,256.68466501905635,1.9737670714997737
alabat quezon,2027,forecast,33.50907435380392,88.68418558956863,28.430931250576176,31.036251368430907,25.42894930328871,6038.476954635551,271.91319907505874,2.0239375325537976
alabat quezon,2028,forecast,37.81868682255551,89.53724287499213,28.53189067720614,31.014660778104577,25.624165600969818,6609.096571776456,288.045208410652,2.075383258150796
alabat quezon,2029,forecast,42.68255989053222,90.39850575792296,28.63320861498496,30.993085207426883,25.820880560763367,7233.638187777698,305.13429421803465,2.1281366637723163
ambulong batangas,2018,history,13.0,81.9013698630137,27.9072602739726,32.113150684931504,23.7013698630137,2119.22,126.0,1.9397260273972603
ambulong batangas,2019,history,3.0,81.13972602739726,28.008082191780822,32.46109589041096,23.555068493150685,1494.9,98.0,1.9232876712328768
ambulong batangas,2020,history,7.0,82.30681818181819,28.28366477272728,32.611647727272725,23.955681818181816,1877.1,128.0,1.8465909090909087
ambulong batangas,2021,history,7.0,81.35068493150685,27.904931506849312,31.85232876712329,23.957534246575342,1772.3,133.0,2.3095890410958906
ambulong batangas,2022,history,9.0,81.22191780821917,27.82684931506849,31.74493150684932,23.90876712328767,2218.5,146.0,1.9342465753424656
ambulong batangas,2023,history,1.0,79.4904109589041,27.966712328767123,31.757534246575343,24.175890410958907,1756.5,138.0,2.06027397260274
ambulong batangas,2024,forecast,1.959213994823818,79.95663196279202,27.92016061179041,31.622701767255503,24.22094254820295,1892.7587521221851,150.60456538630083,2.108159214295516
ambulong batangas,2025,forecast,1.492255573353143,79.59639686191794,27.90236392480198,31.490915671219227,24.3207332351614,1902.966018171507,158.0509538664946,2.14107397990807
ambulong batangas,2026,forecast,1.136591869028459,79.23778475746975,27.884578581661906,31.35967878743041,24.420935061413207,1913.2283299471164,165.86551645386592,2.174502644939596
ambulong batangas,2027,forecast,0.8656969354376749,78.88078833723,27.86680457513945,31.228988827073305,24.521549720859102,1923.5459842995128,174.0664568955813,2.208453232920201
ambulong batangas,2028,forecast,0.659367011543716,78.5254003219255,27.849041898008508,31.098843510870672,24.62257891437874,1933.9192796800423,182.6728789923533,2.2429338926516555
ambulong batangas,2029,forecast,0.5022136940940937,78.1716134650791,27.83129054304756,30.969240569044093,24.7240243498594,1944.3485161495469,191.70483110006955,2.2779529001632643
baler aurora,2018,history,12.0,85.76438356164384,26.94438356164384,30.51095890410959,23.37780821917808,2926.9,170.0,1.947945205479452
baler aurora,2019,history,12.0,86.2904109589041,27.18671232876712,30.872328767123285,23.50109589041096,2521.2,157.0,1.915068493150685
baler aurora,2020,history,29.0,87.32513661202186,26.975546448087428,30.4396174863388,23.511475409836063,4518.9,199.0,1.73224043715847
baler aurora,2021,history,13.0,84.84848484848484,27.07782369146005,30.659504132231405,23.496143250688707,2676.9,152.0,2.068870523415978
baler aurora,2022,history,19.0,86.75342465753425,26.83465753424657,30.23013698630137,23.43917808219178,3676.8,195.0,1.978082191780822
baler aurora,2023,history,10.0,82.45205479452055,27.383767123287672,31.066438356164383,23.70109589041096,2645.8,157.0,1.8054794520547943
baler aurora,2024,forecast,14.267370112535207,83.78204566571067,27.190151127112184,30.733954243084483,23.645905315336925,3120.8848499618466,170.38371564465467,1.8847841700682304
baler aurora,2025,forecast,14.131303814409382,83.28162977564146,27.225567036013775,30.76412784432583,23.68653496164533,3130.123934926415,170.3013297431568,1.879136408570426
baler aurora,2026,forecast,13.996535165208316,82.7842027844591,27.261029075096737,30.794331069032,23.72723441996291,3139.3903713297805,170.21898367784124,1.8735055706071264
baler aurora,2027,forecast,13.863051789400703,82.28974683997963,27.296537304446893,30.824563946286336,23.768003810244384,3148.6842401433055,170.136677429446,1.867891605466909
baler aurora,2028,forecast,13.73084142947929,81.79824419664709,27.332091784228332,30.854826505200737,23.808843252650533,3158.0056225780404,170.05441097871832,1.862294462590308
baler aurora,2029,forecast,13.59989194483527,81.30967721489678,27.36769257468347,30.88511877491571,23.84975286754864,3167.354600085474,169.97218430641476,1.8567140915693592
cabanatuan nueva ecija,2018,history,10.0,77.97808219178083,28.38739726027397,33.0545205479452,23.72027397260274,2120.5,98.0,1.3917808219178085
cabanatuan nueva ecija,2019,forecast,10.000000000000002,77.9780821917808,28.38739726027397,33.054520547945195,23.72027397260274,2120.5000000000005,98.00000000000004,1.3917808219178085
cabanatuan nueva ecija,2020,forecast,10.000000000000002,77.9780821917808,28.38739726027397,33.054520547945195,23.72027397260274,2120.5000000000005,98.00000000000004,1.3917808219178085
cabanatuan nueva ecija,2021,forecast,10.000000000000002,77.9780821917808,28.38739726027397,33.054520547945195,23.72027397260274,2120.5000000000005,98.00000000000004,1.3917808219178085
cabanatuan nueva ecija,2022,forecast,10.000000000000002,77.9780821917808,28.38739726027397,33.054520547945195,23.72027397260274,2120.5000000000005,98.00000000000004,1.3917808219178085
cabanatuan nueva ecija,2023,forecast,10.000000000000002,77.9780821917808,28.38739726027397,33.054520547945195,23.72027397260274,2120.5000000000005,98.00000000000004,1.3917808219178085
cabanatuan nueva ecija,2024,forecast,10.000000000000002,77.9780821917808,28.38739726027397,33.054520547945195,23.72027397260274,2120.5000000000005,98.00000000000004,1.3917808219178085
cabanatuan nueva ecija,2025,forecast,10.000000000000002,77.9780821917808,28.38739726027397,33.054520547945195,23.72027397260274,2120.5000000000005,98.00000000000004,1.3917808219178085
cabanatuan nueva ecija,2026,forecast,10.000000000000002,77.9780821917808,28.38739726027397,33.054520547945195,23.72027397260274,2120.5000000000005,98.00000000000004,1.3917808219178085
cabanatuan nueva ecija,2027,forecast,10.000000000000002,77.9780821917808,28.38739726027397,33.054520547945195,23.72027397260274,2120.5000000000005,98.00000000000004,1.3917808219178085
cabanatuan nueva ecija,2028,forecast,10.000000000000002,77.9780821917808,28.38739726027397,33.054520547945195,23.72027397260274,2120.5000000000005,98.00000000000004,1.3917808219178085
cabanatuan nueva ecija,2029,forecast,10.000000000000002,77.9780821917808,28.38739726027397,33.054520547945195,23.72027397260274,2120.5000000000005,98.00000000000004,1.3917808219178085
casiguran aurora,2018,history,13.0,87.58082191780822,27.369726027397263,31.330958904109583,23.408493150684933,2608.2,156.0,2.098901098901099
casiguran aurora,2019,history,10.0,85.79452054794521,27.49082191780822,31.765205479452053,23.216438356164385,2647.4,152.0,1.7417582417582418
casiguran aurora,2020,history,29.0,85.93442622950819,27.02021857923497,31.51475409836065,22.525683060109287,4743.9,177.0,1.530054644808743
casiguran aurora,2021,history,15.0,84.41917808219178,26.916438356164385,31.34219178082192,22.49068493150685,3329.8,153.0,1.906849315068493
casiguran aurora,2022,history,24.0,86.10684931506849,26.664520547945205,31.024109589041093,22.30493150684931,4235.6,204.0,1.501369863013699
casiguran aurora,2023,history,12.0,84.52328767123288,27.27575342465753,31.5986301369863,22.952876712328766,2938.0,164.0,1.8767123287671232
casiguran aurora,2024,forecast,18.621836035876548,84.1523637192443,26.817749414030832,31.322455213604147,22.316553906631185,3924.874436011149,184.02838137533269,1.6301534384688183
casiguran aurora,2025,forecast,19.47447736347628,83.70977502984522,26.73161069741773,31.292242075613185,22.176723127952545,4114.480359334685,189.2921236347127,1.5940045208212634
casiguran aurora,2026,forecast,20.366158731603193,83.26951407955332,26.64574865870125,31.262058080730597,22.037768499182505,4313.2459148313055,194.7064240980291,1.5586572113022767
casiguran aurora,2027,forecast,21.2986676735553,82.83156862591967,26.56016240919089,31.231903200845423,21.899684530552168,4521.613593221091,200.27558916397209,1.524093734121223
casiguran aurora,2028,forecast,22.27387356873657,82.3959264908833,26.474851063050625,31.2017774078738,21.762465766690333,4740.0472614141145,206.00404840665024,1.490296707668516
casiguran aurora,2029,forecast,23.29373139015907,81.96257556043184,26.389813737289767,31.171680673758978,21.626106786408016,4969.033195168217,211.89635809876168,1.4572491357745885
cavite,2018,history,12.0,76.97534246575343,29.256849315068493,32.073150684931505,26.44054794520548,2464.8,104.0,2.9287671232876717
cavite,2019,history,11.0,74.78356164383561,29.38164383561644,32.61260273972603,26.15068493150685,1912.0,88.0,2.978082191780822
cavite,2020,history,7.0,76.85519125683061,29.523360655737704,32.79890710382514,26.24781420765028,1776.2,109.0,2.628415300546448
cavite,2021,history,6.0,75.73972602739725,29.372328767123285,32.50027397260274,26.24438356164384,1504.4,95.0,2.589041095890411
cavite,2022,history,5.0,76.25549450549451,29.321153846153845,32.36813186813187,26.27417582417582,1955.2,116.0,2.774725274725274
cavite,2023,history,7.0,75.09041095890412,29.310136986301373,32.256986301369864,26.36328767123288,1834.4,110.0,3.216438356164383
cavite,2024,forecast,4.5170208691289595,75.3394697859583,29.251659866278377,32.14622238734573,26.284997770842686,1945.0964706684172,113.75087440675716,3.277278570988175
cavite,2025,forecast,3.8917806032218856,75.16722675195268,29.19608548168623,32.03583881432139,26.28452503183031,2060.5869085938075,116.95328992817484,3.3392696091679337
cavite,2026,forecast,3.353085297242555,74.9953775044026,29.14061668126391,31.92583427597946,26.284052301320195,2182.9346111604823,120.24586269212176,3.4024332326898783
cavite,2027,forecast,2.8889555082514953,74.82392114302317,29.085253264415083,31.816207470792143,26.283579579312207,2312.5467296374545,123.6311308852656,3.466791621475901
cavite,2028,forecast,2.489069972517589,74.65285676958808,29.029995030924542,31.7069571017008,26.283106865806175,2449.854589970461,127.11170415155668,3.5323673749900064
cavite,2029,forecast,2.1445360824675492,74.48218348792427,28.974841780957473,31.598081876100636,26.282634160801965,2595.31512815754,130.6902656039564,3.5991835201741225
clark pampanga,2018,history,17.0,73.38356164383562,28.05917808219178,31.767671232876715,24.350684931506848,2756.9,122.0,2.3698630136986303
clark pampanga,2019,history,6.0,74.11780821917809,28.061917808219174,32.0131506849315,24.11068493150685,1939.5,126.0,2.336986301369863
clark pampanga,2020,history,7.0,74.01639344262296,28.50068306010929,32.73989071038251,24.261475409836063,1837.7,123.0,2.344262295081968
clark pampanga,2021,history,10.0,73.62191780821918,28.29109589041096,32.420273972602736,24.16191780821918,1843.3,113.0,2.246575342465753
clark pampanga,2022,history,9.0,70.64383561643835,28.65931506849315,32.68630136986302,24.632328767123287,1942.3,117.0,2.156164383561644
clark pampanga,2023,history,11.0,72.40547945205479,28.675616438356165,32.71506849315068,24.63616438356165,2111.5,109.0,2.156164383561644
clark pampanga,2024,forecast,8.885427478766264,71.45784333706283,28.844001821486223,33.04100160216506,24.648042561789747,2293.5508056954072,108.33021646211375,2.1014393380734617
clark pampanga,2025,forecast,8.733525486541573,71.01728672847067,28.97986334282918,33.229919887006666,24.7315496001485,2492.660898795973,105.66915839990794,2.0564959066659085
clark pampanga,2026,forecast,8.584220354771487,70.57944626853778,29.116364801483755,33.41991834849597,24.815339558558136,2709.0563422258515,103.07346741848244,2.0125136793198233
clark pampanga,2027,forecast,8.437467688487098,70.14430521148525,29.25350921169384,33.61100316275083,24.899413395545693,2944.2377296081672,100.54153781997208,1.9694720987875989
clark pampanga,2028,forecast,8.29322385167953,69.71184691477653,29.39129960190108,33.80318054120223,24.98377207288569,3199.835925644089,98.07180334938715,1.9273510474789757
clark pampanga,2029,forecast,8.151445954325022,69.28205483848055,29.529739014811767,33.996456730796204,25.06841655561111,3477.623375339745,95.66273622572616,1.8861308380581032
iba zambales,2018,history,29.0,78.57260273972602,27.9086301369863,30.79835616438356,25.01890410958904,4067.3,126.0,2.276712328767123
iba zambales,2019,history,29.0,77.6054794520548,27.71054794520548,31.310410958904107,24.11068493150685,4465.2,130.0,2.1671232876712327
iba zambales,2020,history,9.0,76.23224043715847,28.11243169398907,31.953551912568305,24.271311475409835,2426.3,114.0,2.043715846994536
iba zambales,2021,history,20.0,77.25753424657535,28.197945205479453,32.06219178082192,24.333698630136983,3631.9,119.0,2.158904109589041
iba zambales,2022,history,15.0,79.14794520547945,27.528630136986305,30.985205479452052,24.072054794520547,2797.9,122.0,2.0356164383561643
iba zambales,2023,history,29.0,79.21917808219177,27.79041095890411,31.158082191780824,24.422739726027395,4485.8,113.0,2.197260273972603
iba zambales,2024,forecast,17.859949197779848,79.34912984060095,27.76818914665425,31.230474328539913,24.07206637960064,3375.722169868485,112.45456605617008,2.0792915378589476
iba zambales,2025,forecast,17.268235547092697,79.47929477201377,27.738085524785912,31.303034661421176,23.987735586918852,3326.9611799873846,110.2527463670088,2.06092196153561
iba zambales,2026,forecast,16.69612581803669,79.60967322699527,27.70801453839283,31.37576357969928,23.903700227229084,3278.904523583556,108.09403751019155,2.042714671898941
iba zambales,2027,forecast,16.14297051783289,79.74026555581104,27.67797615209472,31.44866147506255,23.819959265551685,3231.542026834672,105.97759539122946,2.0246682352213368
