Area_slug,Year,actual,forecast,error,variable,method,__source__
clark pampanga,2023,3.487835781950893,3.4966806590467563,-0.0088448770958633,WX_tmax_avg,ETS,weather_tmax_avg_city_forecast_backtests.csv
clark pampanga,2023,3.2042154602965143,3.198125057161004,0.0060904031355102,WX_tmin_avg,ETS,weather_tmin_avg_city_forecast_backtests.csv
clark pampanga,2023,7.655153874373998,7.623943509820126,0.0312103645538721,WX_total_rain_mm,ETS,weather_total_rain_mm_city_forecast_backtests.csv
clark pampanga,2023,4.6913478822291435,4.730633253336589,-0.0392853711074456,WX_wet_days,ETS,weather_wet_days_city_forecast_backtests.csv
clark pampanga,2023,0.7683308948349119,0.7597432413225136,0.0085876535123983,WX_wind_speed_avg,ETS,weather_wind_speed_avg_city_forecast_backtests.csv
iba zambales,2023,3.367295829986474,2.420099069751049,0.9471967602354252,WX_heavy_rain_days,ETS,weather_heavy_rain_days_city_forecast_backtests.csv
iba zambales,2023,4.372218417009827,4.395493208710431,-0.0232747917006044,WX_rh_avg,ETS,weather_rh_avg_city_forecast_backtests.csv
iba zambales,2023,3.3246910316588925,3.325292382161108,-0.0006013505022157,WX_tavg_avg,ETS,weather_tavg_avg_city_forecast_backtests.csv
iba zambales,2023,3.4390736719897306,3.3993421875564005,0.03973148443333,WX_tmax_avg,ETS,weather_tmax_avg_city_forecast_backtests.csv
iba zambales,2023,3.195514654282533,3.172519270971617,0.0229953833109162,WX_tmin_avg,ETS,weather_tmin_avg_city_forecast_backtests.csv
iba zambales,2023,8.408672130938726,7.842178822515415,0.5664933084233104,WX_total_rain_mm,ETS,weather_total_rain_mm_city_forecast_backtests.csv
iba zambales,2023,4.727387818712341,4.758751999108037,-0.0313641803956965,WX_wet_days,ETS,weather_wet_days_city_forecast_backtests.csv
iba zambales,2023,0.787211254284023,0.6899601471635426,0.0972511071204804,WX_wind_speed_avg,ETS,weather_wind_speed_avg_city_forecast_backtests.csv
infanta quezon,2023,2.8903717578961645,3.1720051305848944,-0.2816333726887299,WX_heavy_rain_days,ETS,weather_heavy_rain_days_city_forecast_backtests.csv
infanta quezon,2023,4.436962260314809,4.459206532454106,-0.0222442721392965,WX_rh_avg,ETS,weather_rh_avg_city_forecast_backtests.csv
infanta quezon,2023,3.3308777987801728,3.323969521044847,0.0069082777353255,WX_tavg_avg,ETS,weather_tavg_avg_city_forecast_backtests.csv
infanta quezon,2023,3.441830865264659,3.432320302112339,0.00951056315232,WX_tmax_avg,ETS,weather_tmax_avg_city_forecast_backtests.csv
infanta quezon,2023,3.206059802800324,3.202790833560749,0.003268969239575,WX_tmin_avg,ETS,weather_tmin_avg_city_forecast_backtests.csv
infanta quezon,2023,8.138477116600624,8.48244854394958,-0.343971427348956,WX_total_rain_mm,ETS,weather_total_rain_mm_city_forecast_backtests.csv
infanta quezon,2023,5.278114659230517,5.560904251286101,-0.2827895920555843,WX_wet_days,ETS,weather_wet_days_city_forecast_backtests.csv
infanta quezon,2023,0.6013923169578977,0.5365797009685197,0.064812615989378,WX_wind_speed_avg,ETS,weather_wind_speed_avg_city_forecast_backtests.csv
manila,2023,2.772588722239781,1.914711975520355,0.8578767467194262,WX_heavy_rain_days,ETS,weather_heavy_rain_days_city_forecast_backtests.csv
manila,2023,4.274516514950189,4.258376198601579,0.0161403163486104,WX_rh_avg,ETS,weather_rh_avg_city_forecast_backtests.csv
manila,2023,3.359301162708561,3.359038959955452,0.0002622027531091,WX_tavg_avg,ETS,weather_tavg_avg_city_forecast_backtests.csv
manila,2023,3.4686203079795583,3.475095060446354,-0.0064747524667958,WX_tmax_avg,ETS,weather_tmax_avg_city_forecast_backtests.csv
manila,2023,3.2365477007529018,3.2277859618806426,0.0087617388722591,WX_tmin_avg,ETS,weather_tmin_avg_city_forecast_backtests.csv
manila,2023,7.886006210979063,7.474900705343389,0.4111055056356738,WX_total_rain_mm,ETS,weather_total_rain_mm_city_forecast_backtests.csv
manila,2023,4.770684624465665,4.86403263843271,-0.093348013967045,WX_wet_days,ETS,weather_wet_days_city_forecast_backtests.csv
manila,2023,1.009205700952525,0.9580656744172084,0.0511400265353165,WX_wind_speed_avg,ETS,weather_wind_speed_avg_city_forecast_backtests.csv
olongapo zambales,2023,3.4657359027997265,2.524086665632626,0.9416492371671006,WX_heavy_rain_days,ETS,weather_heavy_rain_days_city_forecast_backtests.csv
olongapo zambales,2023,4.309824116799945,4.293933500849,0.015890615950945,WX_rh_avg,ETS,weather_rh_avg_city_forecast_backtests.csv
olongapo zambales,2023,3.3424502770286706,3.337189839651913,0.0052604373767577,WX_tavg_avg,ETS,weather_tavg_avg_city_forecast_backtests.csv
olongapo zambales,2023,3.4692400301406887,3.4660866837484767,0.0031533463922119,WX_tmax_avg,ETS,weather_tmax_avg_city_forecast_backtests.csv
olongapo zambales,2023,3.197218327679063,3.189188312277737,0.0080300154013257,WX_tmin_avg,ETS,weather_tmin_avg_city_forecast_backtests.csv
olongapo zambales,2023,8.31832753256155,7.757138953595931,0.5611885789656199,WX_total_rain_mm,ETS,weather_total_rain_mm_city_forecast_backtests.csv
olongapo zambales,2023,4.6913478822291435,4.714491197610704,-0.0231433153815601,WX_wet_days,ETS,weather_wet_days_city_forecast_backtests.csv
olongapo zambales,2023,1.2725272235423537,1.1642987087502938,0.1082285147920596,WX_wind_speed_avg,ETS,weather_wind_speed_avg_city_forecast_backtests.csv
pasay,2023,1.791759469228055,1.1407593007719834,0.6510001684560716,WX_heavy_rain_days,ETS,weather_heavy_rain_days_city_forecast_backtests.csv
pasay,2023,4.318875278831389,4.310420304257177,0.0084549745742119,WX_rh_avg,ETS,weather_rh_avg_city_forecast_backtests.csv
pasay,2023,3.372318622111759,3.3758070612470075,-0.0034884391352485,WX_tavg_avg,ETS,weather_tavg_avg_city_forecast_backtests.csv
pasay,2023,3.484177814250323,3.492903576022988,-0.008725761772665,WX_tmax_avg,ETS,weather_tmax_avg_city_forecast_backtests.csv
pasay,2023,3.246352396934082,3.243154553739358,0.0031978431947239,WX_tmin_avg,ETS,weather_tmin_avg_city_forecast_backtests.csv
pasay,2023,7.574661148336856,7.744075351687405,-0.1694142033505494,WX_total_rain_mm,ETS,weather_total_rain_mm_city_forecast_backtests.csv
pasay,2023,4.919980925828125,4.790574906019547,0.1294060198085782,WX_wet_days,ETS,weather_wet_days_city_forecast_backtests.csv
pasay,2023,1.049959101418281,0.9112229701863648,0.1387361312319162,WX_wind_speed_avg,ETS,weather_wind_speed_avg_city_forecast_backtests.csv
quezon,2023,3.1354942159291497,3.2175304349758895,-0.0820362190467398,WX_heavy_rain_days,ETS,weather_heavy_rain_days_city_forecast_backtests.csv
quezon,2023,4.32248019852961,4.332730215610347,-0.0102500170807369,WX_rh_avg,ETS,weather_rh_avg_city_forecast_backtests.csv
quezon,2023,3.3376884672838867,3.342892741776234,-0.0052042744923479,WX_tavg_avg,ETS,weather_tavg_avg_city_forecast_backtests.csv
quezon,2023,3.460293035040683,3.4637708986377196,-0.0034778635970367,WX_tmax_avg,ETS,weather_tmax_avg_city_forecast_backtests.csv
quezon,2023,3.1979236055373854,3.1993627864133343,-0.0014391808759488,WX_tmin_avg,ETS,weather_tmin_avg_city_forecast_backtests.csv
quezon,2023,8.066898067390278,7.90956582536952,0.1573322420207583,WX_total_rain_mm,ETS,weather_total_rain_mm_city_forecast_backtests.csv
quezon,2023,4.983606621708336,4.95220437616608,0.0314022455422566,WX_wet_days,ETS,weather_wet_days_city_forecast_backtests.csv
quezon,2023,0.1846020594926797,0.0478625713848802,0.1367394881077994,WX_wind_speed_avg,ETS,weather_wind_speed_avg_city_forecast_backtests.csv
tanay rizal,2023,2.4849066497880004,2.4482246298920387,0.0366820198959616,WX_heavy_rain_days,ETS,weather_heavy_rain_days_city_forecast_backtests.csv
tanay rizal,2023,4.4843054837943,4.4803307871240925,0.0039746966702072,WX_rh_avg,ETS,weather_rh_avg_city_forecast_backtests.csv
tanay rizal,2023,3.15782016923597,3.165063872860326,-0.0072437036243564,WX_tavg_avg,ETS,weather_tavg_avg_city_forecast_backtests.csv
tanay rizal,2023,3.266726772601724,3.2673718751940033,-0.0006451025922791,WX_tmax_avg,ETS,weather_tmax_avg_city_forecast_backtests.csv
tanay rizal,2023,3.0355867672291734,3.042485906574366,-0.0068991393451924,WX_tmin_avg,ETS,weather_tmin_avg_city_forecast_backtests.csv
tanay rizal,2023,7.930350081226331,7.965306768205829,-0.0349566869794975,WX_total_rain_mm,ETS,weather_total_rain_mm_city_forecast_backtests.csv
tanay rizal,2023,5.117993812416755,5.139781015951392,-0.0217872035346369,WX_wet_days,ETS,weather_wet_days_city_forecast_backtests.csv
tanay rizal,2023,1.2385334793914031,1.2032720713347818,0.0352614080566215,WX_wind_speed_avg,ETS,weather_wind_speed_avg_city_forecast_backtests.csv
