year,month,loc_code,Region,Province,City,city_raw,EMP_w,EMP_n
2021,3,4926,Region III (Central Luzon),Nueva Ecija,San Jose City,San Jose City,,
2021,3,4917,Region III (Central Luzon),Nueva Ecija,Science City of Munoz,Science City of Muñoz,5279.4915,1
2021,3,5401,Region III (Central Luzon),Pampanga,Angeles City,Angeles City,373942.1228,202
2021,3,5409,Region III (Central Luzon),Pampanga,Mabalacat City,Mabalacat City,67793.7506,26
2021,3,5416,Region III (Central Luzon),Pampanga,San Fernando City,San Fernando City,235584.6228,51
2021,3,6916,Region III (Central Luzon),Tarlac,Tarlac City,Tarlac City,138682.4497,39
2021,3,7107,Region III (Central Luzon),Zambales,Olongapo City,Olongapo City,121131.0721,186
2021,3,1005,Region IV-A (CALABARZON),Batangas,Batangas City,Batangas City,72266.2957,13
2021,3,1014,Region IV-A (CALABARZON),Batangas,Lipa City,Lipa City,38229.4762,5
2021,3,1031,Region IV-A (CALABARZON),Batangas,Tanauan City,Tanauan City,348108.8547,54
2021,3,2103,Region IV-A (CALABARZON),Cavite,Bacoor City,Bacoor City,87948.8487,15
2021,3,2105,Region IV-A (CALABARZON),Cavite,Cavite City,Cavite City,17666.931,5
2021,3,2104,Region IV-A (CALABARZON),Cavite,City of Carmona,City of Carmona,34220.3056,6
2021,3,2106,Region IV-A (CALABARZON),Cavite,Dasmarinas City,Dasmariñas City,649214.4368,70
2021,3,2108,Region IV-A (CALABARZON),Cavite,General Trias City,General Trias City,257033.6182,29
2021,3,2109,Region IV-A (CALABARZON),Cavite,Imus City,Imus City,12485.7787,5
2021,3,2119,Region IV-A (CALABARZON),Cavite,Tagaytay City,Tagaytay City,1425.6918,1
2021,3,2122,Region IV-A (CALABARZON),Cavite,Trece Martires City,Trece Martires City,20971.8137,4
2021,3,3403,Region IV-A (CALABARZON),Laguna,Binan City,Biñan City,154885.7261,21
2021,3,3404,Region IV-A (CALABARZON),Laguna,Cabuyao City,Cabuyao City,352706.825,45
2021,3,3405,Region IV-A (CALABARZON),Laguna,Calamba City,Calamba City,65676.667,12
2021,3,3424,Region IV-A (CALABARZON),Laguna,San Pablo City,San Pablo City,404681.4906,45
2021,3,3425,Region IV-A (CALABARZON),Laguna,San Pedro City,San Pedro City,60259.4552,16
2021,3,3428,Region IV-A (CALABARZON),Laguna,Santa Rosa City,Santa Rosa City,284956.2716,43
2021,3,5624,Region IV-A (CALABARZON),Quezon,Lucena City,Lucena City,115761.3574,101
2021,3,5647,Region IV-A (CALABARZON),Quezon,Tayabas City,Tayabas City,,
2021,3,5802,Region IV-A (CALABARZON),Rizal,Antipolo City,Antipolo City,370151.7012,54
2021,4,7501,NCR,NCR,Caloocan City,Caloocan City,433855.7846,543
2021,4,NA,NCR,NCR,City of Manila,City of Manila,747427.9853,848
2021,4,7601,NCR,NCR,Las Pinas City,Las Piñas City,171563.7221,396
2021,4,7602,NCR,NCR,Makati City,Makati City,593278.463,1046
2021,4,7502,NCR,NCR,Malabon City,Malabon City,102936.5221,480
2021,4,7401,NCR,NCR,Mandaluyong City,Mandaluyong City,196204.9961,555
2021,4,7402,NCR,NCR,Marikina City,Marikina City,179170.4025,513
2021,4,7603,NCR,NCR,Muntinlupa City,Muntinlupa City,260487.2827,602
2021,4,7503,NCR,NCR,Navotas City,Navotas City,93393.2607,614
2021,4,7604,NCR,NCR,Paranaque City,Parañaque City,355548.8778,694
2021,4,7605,NCR,NCR,Pasay City,Pasay City,257984.0778,648
2021,4,7403,NCR,NCR,Pasig City,Pasig City,462357.0706,739
2021,4,7404,NCR,NCR,Quezon City,Quezon City,1488209.284,1198
2021,4,7405,NCR,NCR,San Juan City,San Juan City,54320.7582,191
2021,4,7607,NCR,NCR,Taguig City,Taguig City,459452.5739,809
2021,4,7504,NCR,NCR,Valenzuela City,Valenzuela City,225555.4293,542
2021,4,803,Region III (Central Luzon),Bataan,Balanga City,Balanga City,49098.9531,92
2021,4,1410,Region III (Central Luzon),Bulacan,Malolos City,Malolos City,53978.5443,32
2021,4,1412,Region III (Central Luzon),Bulacan,Meycauayan City,Meycauayan City,82143.8797,49
2021,4,1420,Region III (Central Luzon),Bulacan,San Jose del Monte City,San Jose del Monte City,82302.0083,43
2021,4,4903,Region III (Central Luzon),Nueva Ecija,Cabanatuan City,Cabanatuan City,118219.2609,75
