Area_slug,Area_display,Region,Year,Value,variable,Households,Avg_Family_Income,Price,Price_to_Income
nueva ecija,Nueva Ecija,Region III (Central Luzon),2018,165534.08,FamilyIncome_Total,,,,
nueva ecija,Nueva Ecija,Region III (Central Luzon),2021,153064.11,FamilyIncome_Total,590481.3537770443,259219.20992240915,,
nueva ecija,Nueva Ecija,Region III (Central Luzon),2023,194488.54,FamilyIncome_Total,638664.6322452512,304523.73621546524,,
pampanga,Pampanga,Region III (Central Luzon),2018,186598.49,FamilyIncome_Total,,,,
pampanga,Pampanga,Region III (Central Luzon),2021,208224.49,FamilyIncome_Total,591860.1470175001,351813.6692414318,,
pampanga,Pampanga,Region III (Central Luzon),2023,251756.6,FamilyIncome_Total,640155.9350141281,393273.8669281318,,
angeles,Angeles,Region III (Central Luzon),2018,39223.47,FamilyIncome_Total,,,,
angeles,Angeles,Region III (Central Luzon),2021,56827.9,FamilyIncome_Total,119979.76213489164,473645.7131504324,,
angeles,Angeles,Region III (Central Luzon),2023,69727.85,FamilyIncome_Total,129770.1107250988,537318.2592693431,,
tarlac,Tarlac,Region III (Central Luzon),2018,91533.05,FamilyIncome_Total,,,,
tarlac,Tarlac,Region III (Central Luzon),2021,107978.41,FamilyIncome_Total,370800.50585754,291203.5131944638,,
tarlac,Tarlac,Region III (Central Luzon),2023,134488.68,FamilyIncome_Total,401057.8271355153,335334.88415015273,5740500.0,17.118708107414136
zambales,Zambales,Region III (Central Luzon),2018,45949.56,FamilyIncome_Total,,,,
zambales,Zambales,Region III (Central Luzon),2021,42752.79,FamilyIncome_Total,170204.136403163,251185.37600479551,,
zambales,Zambales,Region III (Central Luzon),2023,53999.2,FamilyIncome_Total,184092.7939336611,293325.98439164826,,
olongapo,Olongapo,Region III (Central Luzon),2018,22265.22,FamilyIncome_Total,,,,
olongapo,Olongapo,Region III (Central Luzon),2021,20650.47,FamilyIncome_Total,68527.15843551868,301347.2391304722,,
olongapo,Olongapo,Region III (Central Luzon),2023,24236.46,FamilyIncome_Total,74118.97456385702,326994.00042453554,,
batangas,Batangas,Region IV-A (Calabarzon),2018,245525.68,FamilyIncome_Total,,,,
batangas,Batangas,Region IV-A (Calabarzon),2021,270317.58,FamilyIncome_Total,744839.68,362920.4878021536,,
batangas,Batangas,Region IV-A (Calabarzon),2023,327130.55,FamilyIncome_Total,805618.5978880002,406061.3184174266,,
cavite,Cavite,Region IV-A (Calabarzon),2018,391492.64,FamilyIncome_Total,,,,
cavite,Cavite,Region IV-A (Calabarzon),2021,426816.26,FamilyIncome_Total,1139964.8,374411.7888552348,,
cavite,Cavite,Region IV-A (Calabarzon),2023,527020.97,FamilyIncome_Total,1232985.92768,427434.69991717464,,
laguna,Laguna,Region IV-A (Calabarzon),2018,344571.35,FamilyIncome_Total,,,,
laguna,Laguna,Region IV-A (Calabarzon),2021,326574.32,FamilyIncome_Total,952013.92,343035.23629150295,,
