year,month,loc_code,Region,Province,City,city_raw,EMP_w,EMP_n,UNEMP_w,LF_w,POP15p_w,UNEMP_n,LF_n,POP15p_n
2024,1,3425,Region IV-A (CALABARZON),Laguna,San Pedro City,San Pedro City,89660,194,,,,,,
2024,1,3428,Region IV-A (CALABARZON),Laguna,Santa Rosa City,Santa Rosa City,198385,392,,,,,,
2024,1,5624,Region IV-A (CALABARZON),Quezon,Lucena City,Lucena City,119118,1542,,,,,,
2024,1,5647,Region IV-A (CALABARZON),Quezon,Tayabas City,Tayabas City,46322,142,,,,,,
2024,1,5802,Region IV-A (CALABARZON),Rizal,Antipolo City,Antipolo City,296813,622,,,,,,
2024,2,7501,NCR,NCR,Caloocan City,Caloocan City,541479,144,,,,,,
2024,2,NA,NCR,NCR,City of Manila,City of Manila,736978,201,,,,,,
2024,2,3901,NCR,NCR,City of Manila,City of Manila,216294,57,,,,,,
2024,2,3902,NCR,NCR,City of Manila,City of Manila,56449,13,,,,,,
2024,2,3903,NCR,NCR,City of Manila,City of Manila,25330,10,,,,,,
2024,2,3904,NCR,NCR,City of Manila,City of Manila,,,,,,,,
2024,2,3905,NCR,NCR,City of Manila,City of Manila,78940,23,,,,,,
2024,2,3906,NCR,NCR,City of Manila,City of Manila,56350,14,,,,,,
2024,2,3907,NCR,NCR,City of Manila,City of Manila,3073,2,,,,,,
2024,2,3908,NCR,NCR,City of Manila,City of Manila,19898,9,,,,,,
2024,2,3909,NCR,NCR,City of Manila,City of Manila,15282,3,,,,,,
2024,2,3910,NCR,NCR,City of Manila,City of Manila,80976,24,,,,,,
2024,2,3911,NCR,NCR,City of Manila,City of Manila,130939,29,,,,,,
2024,2,3912,NCR,NCR,City of Manila,City of Manila,34063,7,,,,,,
2024,2,3913,NCR,NCR,City of Manila,City of Manila,3065,3,,,,,,
2024,2,3914,NCR,NCR,City of Manila,City of Manila,16319,7,,,,,,
2024,2,7601,NCR,NCR,Las Pinas City,Las Piñas City,205736,126,,,,,,
2024,2,7602,NCR,NCR,Makati City,Makati City,682679,234,,,,,,
2024,2,7502,NCR,NCR,Malabon City,Malabon City,124415,126,,,,,,
2024,2,7401,NCR,NCR,Mandaluyong City,Mandaluyong City,245405,102,,,,,,
2024,2,7402,NCR,NCR,Marikina City,Marikina City,244003,116,,,,,,
2024,2,7603,NCR,NCR,Muntinlupa City,Muntinlupa City,317101,179,,,,,,
2024,2,7503,NCR,NCR,Navotas City,Navotas City,103301,160,,,,,,
2024,2,7604,NCR,NCR,Paranaque City,Parañaque City,476213,178,,,,,,
2024,2,7605,NCR,NCR,Pasay City,Pasay City,328318,181,,,,,,
2024,2,7403,NCR,NCR,Pasig City,Pasig City,501976,201,,,,,,
2024,2,7404,NCR,NCR,Quezon City,Quezon City,1694714,319,,,,,,
2024,2,7405,NCR,NCR,San Juan City,San Juan City,71916,41,,,,,,
2024,2,7607,NCR,NCR,Taguig City,Taguig City,694566,242,,,,,,
2024,2,7504,NCR,NCR,Valenzuela City,Valenzuela City,290431,162,,,,,,
2024,2,803,Region III (Central Luzon),Bataan,Balanga City,Balanga City,19449,8,,,,,,
2024,2,1410,Region III (Central Luzon),Bulacan,Malolos City,Malolos City,1776,1,,,,,,
2024,2,1412,Region III (Central Luzon),Bulacan,Meycauayan City,Meycauayan City,3150,1,,,,,,
2024,2,1420,Region III (Central Luzon),Bulacan,San Jose del Monte City,San Jose del Monte City,11343,3,,,,,,
2024,2,4903,Region III (Central Luzon),Nueva Ecija,Cabanatuan City,Cabanatuan City,290236,37,,,,,,
2024,2,4908,Region III (Central Luzon),Nueva Ecija,Gapan City,Gapan City,,,,,,,,
2024,2,4919,Region III (Central Luzon),Nueva Ecija,Palayan City,Palayan City,,,,,,,,
2024,2,4926,Region III (Central Luzon),Nueva Ecija,San Jose City,San Jose City,199645,28,,,,,,
2024,2,4917,Region III (Central Luzon),Nueva Ecija,Science City of Munoz,Science City of Muñoz,,,,,,,,
2024,2,5401,Region III (Central Luzon),Pampanga,Angeles City,Angeles City,309406,193,,,,,,
2024,2,5409,Region III (Central Luzon),Pampanga,Mabalacat City,Mabalacat City,75267,26,,,,,,
2024,2,5416,Region III (Central Luzon),Pampanga,San Fernando City,San Fernando City,360359,67,,,,,,
2024,2,6916,Region III (Central Luzon),Tarlac,Tarlac City,Tarlac City,132197,46,,,,,,
2024,2,7107,Region III (Central Luzon),Zambales,Olongapo City,Olongapo City,111825,127,,,,,,
2024,2,1005,Region IV-A (CALABARZON),Batangas,Batangas City,Batangas City,39086,9,,,,,,
2024,2,1014,Region IV-A (CALABARZON),Batangas,Lipa City,Lipa City,237207,32,,,,,,
2024,2,1031,Region IV-A (CALABARZON),Batangas,Tanauan City,Tanauan City,126685,14,,,,,,
2024,2,2103,Region IV-A (CALABARZON),Cavite,Bacoor City,Bacoor City,276847,24,,,,,,
2024,2,2105,Region IV-A (CALABARZON),Cavite,Cavite City,Cavite City,260477,25,,,,,,
2024,2,2104,Region IV-A (CALABARZON),Cavite,City of Carmona,City of Carmona,103904,10,,,,,,
2024,2,2106,Region IV-A (CALABARZON),Cavite,Dasmarinas City,Dasmariñas City,289026,23,,,,,,
2024,2,2108,Region IV-A (CALABARZON),Cavite,General Trias City,General Trias City,6960,1,,,,,,
2024,2,2109,Region IV-A (CALABARZON),Cavite,Imus City,Imus City,52332,7,,,,,,
2024,2,2119,Region IV-A (CALABARZON),Cavite,Tagaytay City,Tagaytay City,8748,4,,,,,,
2024,2,2122,Region IV-A (CALABARZON),Cavite,Trece Martires City,Trece Martires City,22880,2,,,,,,
2024,2,3403,Region IV-A (CALABARZON),Laguna,Binan City,Biñan City,280018,34,,,,,,
2024,2,3404,Region IV-A (CALABARZON),Laguna,Cabuyao City,Cabuyao City,83334,11,,,,,,
2024,2,3405,Region IV-A (CALABARZON),Laguna,Calamba City,Calamba City,54588,10,,,,,,
2024,2,3424,Region IV-A (CALABARZON),Laguna,San Pablo City,San Pablo City,1874,1,,,,,,
2024,2,3425,Region IV-A (CALABARZON),Laguna,San Pedro City,San Pedro City,15072,2,,,,,,
2024,2,3428,Region IV-A (CALABARZON),Laguna,Santa Rosa City,Santa Rosa City,220926,26,,,,,,
2024,2,5624,Region IV-A (CALABARZON),Quezon,Lucena City,Lucena City,120983,110,,,,,,
2024,2,5647,Region IV-A (CALABARZON),Quezon,Tayabas City,Tayabas City,106270,20,,,,,,
2024,2,5802,Region IV-A (CALABARZON),Rizal,Antipolo City,Antipolo City,442876,58,,,,,,
2024,3,7501,NCR,NCR,Caloocan City,Caloocan City,457025,143,,,,,,
2024,3,NA,NCR,NCR,City of Manila,City of Manila,857379,210,,,,,,
2024,3,3901,NCR,NCR,City of Manila,City of Manila,316625,69,,,,,,
2024,3,3902,NCR,NCR,City of Manila,City of Manila,65055,20,,,,,,
2024,3,3903,NCR,NCR,City of Manila,City of Manila,38890,12,,,,,,
2024,3,3904,NCR,NCR,City of Manila,City of Manila,1232,1,,,,,,
2024,3,3905,NCR,NCR,City of Manila,City of Manila,79685,20,,,,,,
2024,3,3906,NCR,NCR,City of Manila,City of Manila,212781,44,,,,,,
2024,3,3907,NCR,NCR,City of Manila,City of Manila,11897,2,,,,,,
2024,3,3908,NCR,NCR,City of Manila,City of Manila,28230,7,,,,,,
2024,3,3909,NCR,NCR,City of Manila,City of Manila,32443,11,,,,,,
2024,3,3910,NCR,NCR,City of Manila,City of Manila,36810,10,,,,,,
2024,3,3911,NCR,NCR,City of Manila,City of Manila,1144,1,,,,,,
2024,3,3912,NCR,NCR,City of Manila,City of Manila,6613,1,,,,,,
2024,3,3913,NCR,NCR,City of Manila,City of Manila,20803,8,,,,,,
2024,3,3914,NCR,NCR,City of Manila,City of Manila,5169,4,,,,,,
2024,3,7601,NCR,NCR,Las Pinas City,Las Piñas City,204184,108,,,,,,
2024,3,7602,NCR,NCR,Makati City,Makati City,577315,190,,,,,,
2024,3,7502,NCR,NCR,Malabon City,Malabon City,130316,124,,,,,,
2024,3,7401,NCR,NCR,Mandaluyong City,Mandaluyong City,368114,174,,,,,,
2024,3,7402,NCR,NCR,Marikina City,Marikina City,159435,111,,,,,,
2024,3,7603,NCR,NCR,Muntinlupa City,Muntinlupa City,300885,128,,,,,,
2024,3,7503,NCR,NCR,Navotas City,Navotas City,69378,137,,,,,,
2024,3,7604,NCR,NCR,Paranaque City,Parañaque City,292501,126,,,,,,
2024,3,7605,NCR,NCR,Pasay City,Pasay City,277655,159,,,,,,
2024,3,7403,NCR,NCR,Pasig City,Pasig City,592824,173,,,,,,
2024,3,7404,NCR,NCR,Quezon City,Quezon City,2072558,422,,,,,,
