year,month,loc_code,Region,Province,City,city_raw,EMP_w,EMP_n,UNEMP_w,LF_w,POP15p_w,UNEMP_n,LF_n,POP15p_n
2024,1,5802,Region IV-A (CALABARZON),Rizal,Antipolo City,Antipolo City,296813.4513,622,,,,,,
2024,2,7501,NCR,NCR,Caloocan City,Caloocan City,541478.5363,144,,,,,,
2024,2,NA,NCR,NCR,City of Manila,City of Manila,736978.0999,201,,,,,,
2024,2,3901,NCR,NCR,City of Manila,City of Manila,216294.1911,57,,,,,,
2024,2,3902,NCR,NCR,City of Manila,City of Manila,56448.8219,13,,,,,,
2024,2,3903,NCR,NCR,City of Manila,City of Manila,25329.6637,10,,,,,,
2024,2,3904,NCR,NCR,City of Manila,City of Manila,,,,,,,,
2024,2,3905,NCR,NCR,City of Manila,City of Manila,78940.3757,23,,,,,,
2024,2,3906,NCR,NCR,City of Manila,City of Manila,56350.3527,14,,,,,,
2024,2,3907,NCR,NCR,City of Manila,City of Manila,3072.8594,2,,,,,,
2024,2,3908,NCR,NCR,City of Manila,City of Manila,19897.72,9,,,,,,
2024,2,3909,NCR,NCR,City of Manila,City of Manila,15281.9774,3,,,,,,
2024,2,3910,NCR,NCR,City of Manila,City of Manila,80976.2305,24,,,,,,
2024,2,3911,NCR,NCR,City of Manila,City of Manila,130939.1053,29,,,,,,
2024,2,3912,NCR,NCR,City of Manila,City of Manila,34062.6101,7,,,,,,
2024,2,3913,NCR,NCR,City of Manila,City of Manila,3064.9283,3,,,,,,
2024,2,3914,NCR,NCR,City of Manila,City of Manila,16319.2638,7,,,,,,
2024,2,7601,NCR,NCR,Las Pinas City,Las Piñas City,205736.4035,126,,,,,,
2024,2,7602,NCR,NCR,Makati City,Makati City,682678.5508,234,,,,,,
2024,2,7502,NCR,NCR,Malabon City,Malabon City,124414.6859,126,,,,,,
2024,2,7401,NCR,NCR,Mandaluyong City,Mandaluyong City,245405.079,102,,,,,,
2024,2,7402,NCR,NCR,Marikina City,Marikina City,244002.5462,116,,,,,,
2024,2,7603,NCR,NCR,Muntinlupa City,Muntinlupa City,317101.3674,179,,,,,,
2024,2,7503,NCR,NCR,Navotas City,Navotas City,103300.8964,160,,,,,,
2024,2,7604,NCR,NCR,Paranaque City,Parañaque City,476212.6898,178,,,,,,
2024,2,7605,NCR,NCR,Pasay City,Pasay City,328318.1114,181,,,,,,
2024,2,7403,NCR,NCR,Pasig City,Pasig City,501975.7157,201,,,,,,
2024,2,7404,NCR,NCR,Quezon City,Quezon City,1694714.065,319,,,,,,
2024,2,7405,NCR,NCR,San Juan City,San Juan City,71915.6118,41,,,,,,
2024,2,7607,NCR,NCR,Taguig City,Taguig City,694566.3422,242,,,,,,
2024,2,7504,NCR,NCR,Valenzuela City,Valenzuela City,290430.5891,162,,,,,,
2024,2,803,Region III (Central Luzon),Bataan,Balanga City,Balanga City,19449.2852,8,,,,,,
2024,2,1410,Region III (Central Luzon),Bulacan,Malolos City,Malolos City,1775.9293,1,,,,,,
2024,2,1412,Region III (Central Luzon),Bulacan,Meycauayan City,Meycauayan City,3150.4313,1,,,,,,
2024,2,1420,Region III (Central Luzon),Bulacan,San Jose del Monte City,San Jose del Monte City,11343.2295,3,,,,,,
2024,2,4903,Region III (Central Luzon),Nueva Ecija,Cabanatuan City,Cabanatuan City,290235.9426,37,,,,,,
2024,2,4908,Region III (Central Luzon),Nueva Ecija,Gapan City,Gapan City,,,,,,,,
2024,2,4919,Region III (Central Luzon),Nueva Ecija,Palayan City,Palayan City,,,,,,,,
2024,2,4926,Region III (Central Luzon),Nueva Ecija,San Jose City,San Jose City,199645.3399,28,,,,,,
2024,2,4917,Region III (Central Luzon),Nueva Ecija,Science City of Munoz,Science City of Muñoz,,,,,,,,
2024,2,5401,Region III (Central Luzon),Pampanga,Angeles City,Angeles City,309405.505,193,,,,,,
2024,2,5409,Region III (Central Luzon),Pampanga,Mabalacat City,Mabalacat City,75267.4983,26,,,,,,
2024,2,5416,Region III (Central Luzon),Pampanga,San Fernando City,San Fernando City,360359.1312,67,,,,,,
2024,2,6916,Region III (Central Luzon),Tarlac,Tarlac City,Tarlac City,132197.3855,46,,,,,,
2024,2,7107,Region III (Central Luzon),Zambales,Olongapo City,Olongapo City,111824.9479,127,,,,,,
2024,2,1005,Region IV-A (CALABARZON),Batangas,Batangas City,Batangas City,39086.2458,9,,,,,,
2024,2,1014,Region IV-A (CALABARZON),Batangas,Lipa City,Lipa City,237206.635,32,,,,,,
2024,2,1031,Region IV-A (CALABARZON),Batangas,Tanauan City,Tanauan City,126684.8199,14,,,,,,
2024,2,2103,Region IV-A (CALABARZON),Cavite,Bacoor City,Bacoor City,276847.4762,24,,,,,,
2024,2,2105,Region IV-A (CALABARZON),Cavite,Cavite City,Cavite City,260476.7989,25,,,,,,
2024,2,2104,Region IV-A (CALABARZON),Cavite,City of Carmona,City of Carmona,103904.4111,10,,,,,,
2024,2,2106,Region IV-A (CALABARZON),Cavite,Dasmarinas City,Dasmariñas City,289026.036,23,,,,,,
2024,2,2108,Region IV-A (CALABARZON),Cavite,General Trias City,General Trias City,6960.1592,1,,,,,,
2024,2,2109,Region IV-A (CALABARZON),Cavite,Imus City,Imus City,52332.0162,7,,,,,,
2024,2,2119,Region IV-A (CALABARZON),Cavite,Tagaytay City,Tagaytay City,8748.0833,4,,,,,,
2024,2,2122,Region IV-A (CALABARZON),Cavite,Trece Martires City,Trece Martires City,22880.1409,2,,,,,,
2024,2,3403,Region IV-A (CALABARZON),Laguna,Binan City,Biñan City,280018.0213,34,,,,,,
2024,2,3404,Region IV-A (CALABARZON),Laguna,Cabuyao City,Cabuyao City,83334.4329,11,,,,,,
2024,2,3405,Region IV-A (CALABARZON),Laguna,Calamba City,Calamba City,54587.9203,10,,,,,,
2024,2,3424,Region IV-A (CALABARZON),Laguna,San Pablo City,San Pablo City,1874.019,1,,,,,,
2024,2,3425,Region IV-A (CALABARZON),Laguna,San Pedro City,San Pedro City,15071.6086,2,,,,,,
2024,2,3428,Region IV-A (CALABARZON),Laguna,Santa Rosa City,Santa Rosa City,220926.1159,26,,,,,,
2024,2,5624,Region IV-A (CALABARZON),Quezon,Lucena City,Lucena City,120982.6771,110,,,,,,
2024,2,5647,Region IV-A (CALABARZON),Quezon,Tayabas City,Tayabas City,106270.0079,20,,,,,,
2024,2,5802,Region IV-A (CALABARZON),Rizal,Antipolo City,Antipolo City,442876.3676,58,,,,,,
2024,3,7501,NCR,NCR,Caloocan City,Caloocan City,457025.1143,143,,,,,,
2024,3,NA,NCR,NCR,City of Manila,City of Manila,857379.0872,210,,,,,,
2024,3,3901,NCR,NCR,City of Manila,City of Manila,316625.3446,69,,,,,,
2024,3,3902,NCR,NCR,City of Manila,City of Manila,65054.8632,20,,,,,,
2024,3,3903,NCR,NCR,City of Manila,City of Manila,38890.4504,12,,,,,,
2024,3,3904,NCR,NCR,City of Manila,City of Manila,1232.4901,1,,,,,,
2024,3,3905,NCR,NCR,City of Manila,City of Manila,79685.465,20,,,,,,
2024,3,3906,NCR,NCR,City of Manila,City of Manila,212781.2986,44,,,,,,
2024,3,3907,NCR,NCR,City of Manila,City of Manila,11897.0766,2,,,,,,
2024,3,3908,NCR,NCR,City of Manila,City of Manila,28230.3047,7,,,,,,
2024,3,3909,NCR,NCR,City of Manila,City of Manila,32442.8835,11,,,,,,
2024,3,3910,NCR,NCR,City of Manila,City of Manila,36809.7762,10,,,,,,
2024,3,3911,NCR,NCR,City of Manila,City of Manila,1143.7476,1,,,,,,
2024,3,3912,NCR,NCR,City of Manila,City of Manila,6613.047,1,,,,,,
2024,3,3913,NCR,NCR,City of Manila,City of Manila,20803.0463,8,,,,,,
2024,3,3914,NCR,NCR,City of Manila,City of Manila,5169.2934,4,,,,,,
2024,3,7601,NCR,NCR,Las Pinas City,Las Piñas City,204184.2185,108,,,,,,
2024,3,7602,NCR,NCR,Makati City,Makati City,577315.287,190,,,,,,
2024,3,7502,NCR,NCR,Malabon City,Malabon City,130315.6082,124,,,,,,
2024,3,7401,NCR,NCR,Mandaluyong City,Mandaluyong City,368114.4543,174,,,,,,
2024,3,7402,NCR,NCR,Marikina City,Marikina City,159435.079,111,,,,,,
2024,3,7603,NCR,NCR,Muntinlupa City,Muntinlupa City,300885.4171,128,,,,,,
2024,3,7503,NCR,NCR,Navotas City,Navotas City,69378.3465,137,,,,,,
2024,3,7604,NCR,NCR,Paranaque City,Parañaque City,292501.4864,126,,,,,,
2024,3,7605,NCR,NCR,Pasay City,Pasay City,277655.1727,159,,,,,,
2024,3,7403,NCR,NCR,Pasig City,Pasig City,592824.4693,173,,,,,,
2024,3,7404,NCR,NCR,Quezon City,Quezon City,2072557.994,422,,,,,,
2024,3,7405,NCR,NCR,San Juan City,San Juan City,50781.5159,53,,,,,,
2024,3,7607,NCR,NCR,Taguig City,Taguig City,690574.0238,228,,,,,,
2024,3,7504,NCR,NCR,Valenzuela City,Valenzuela City,267921.724,159,,,,,,
2024,3,803,Region III (Central Luzon),Bataan,Balanga City,Balanga City,165967.8227,76,,,,,,
2024,3,1410,Region III (Central Luzon),Bulacan,Malolos City,Malolos City,55233.8974,5,,,,,,
2024,3,1412,Region III (Central Luzon),Bulacan,Meycauayan City,Meycauayan City,219559.6415,27,,,,,,
2024,3,1420,Region III (Central Luzon),Bulacan,San Jose del Monte City,San Jose del Monte City,189583.6699,20,,,,,,
2024,3,4903,Region III (Central Luzon),Nueva Ecija,Cabanatuan City,Cabanatuan City,71227.4664,10,,,,,,
2024,3,4908,Region III (Central Luzon),Nueva Ecija,Gapan City,Gapan City,,,,,,,,
2024,3,4919,Region III (Central Luzon),Nueva Ecija,Palayan City,Palayan City,,,,,,,,
2024,3,4926,Region III (Central Luzon),Nueva Ecija,San Jose City,San Jose City,23386.4204,4,,,,,,
2024,3,4917,Region III (Central Luzon),Nueva Ecija,Science City of Munoz,Science City of Muñoz,,,,,,,,
2024,3,5401,Region III (Central Luzon),Pampanga,Angeles City,Angeles City,388362.4331,192,,,,,,
2024,3,5409,Region III (Central Luzon),Pampanga,Mabalacat City,Mabalacat City,33511.4555,12,,,,,,
2024,3,5416,Region III (Central Luzon),Pampanga,San Fernando City,San Fernando City,143698.8382,31,,,,,,
2024,3,6916,Region III (Central Luzon),Tarlac,Tarlac City,Tarlac City,41265.6305,8,,,,,,
2024,3,7107,Region III (Central Luzon),Zambales,Olongapo City,Olongapo City,137041.8656,170,,,,,,
2024,3,1005,Region IV-A (CALABARZON),Batangas,Batangas City,Batangas City,130335.7616,20,,,,,,
2024,3,1014,Region IV-A (CALABARZON),Batangas,Lipa City,Lipa City,477997.6449,59,,,,,,
2024,3,1031,Region IV-A (CALABARZON),Batangas,Tanauan City,Tanauan City,391034.9017,50,,,,,,
2024,3,2103,Region IV-A (CALABARZON),Cavite,Bacoor City,Bacoor City,33132.0304,7,,,,,,
2024,3,2105,Region IV-A (CALABARZON),Cavite,Cavite City,Cavite City,16031.2312,6,,,,,,
2024,3,2104,Region IV-A (CALABARZON),Cavite,City of Carmona,City of Carmona,33286.7709,7,,,,,,
2024,3,2106,Region IV-A (CALABARZON),Cavite,Dasmarinas City,Dasmariñas City,377230.1681,38,,,,,,
2024,3,2108,Region IV-A (CALABARZON),Cavite,General Trias City,General Trias City,396775.5695,34,,,,,,
2024,3,2109,Region IV-A (CALABARZON),Cavite,Imus City,Imus City,251551.3288,24,,,,,,
2024,3,2119,Region IV-A (CALABARZON),Cavite,Tagaytay City,Tagaytay City,5509.0041,2,,,,,,
2024,3,2122,Region IV-A (CALABARZON),Cavite,Trece Martires City,Trece Martires City,,,,,,,,
2024,3,3403,Region IV-A (CALABARZON),Laguna,Binan City,Biñan City,58535.0793,11,,,,,,
2024,3,3404,Region IV-A (CALABARZON),Laguna,Cabuyao City,Cabuyao City,198922.2604,25,,,,,,
2024,3,3405,Region IV-A (CALABARZON),Laguna,Calamba City,Calamba City,84727.1771,14,,,,,,
2024,3,3424,Region IV-A (CALABARZON),Laguna,San Pablo City,San Pablo City,246813.7632,31,,,,,,
2024,3,3425,Region IV-A (CALABARZON),Laguna,San Pedro City,San Pedro City,9989.6538,2,,,,,,
2024,3,3428,Region IV-A (CALABARZON),Laguna,Santa Rosa City,Santa Rosa City,407843.1575,52,,,,,,
2024,3,5624,Region IV-A (CALABARZON),Quezon,Lucena City,Lucena City,142492.1075,111,,,,,,
2024,3,5647,Region IV-A (CALABARZON),Quezon,Tayabas City,Tayabas City,12493.0422,3,,,,,,
2024,3,5802,Region IV-A (CALABARZON),Rizal,Antipolo City,Antipolo City,254426.0525,41,,,,,,
2024,4,7501,NCR,NCR,Caloocan City,Caloocan City,409008.465,477,,,,,,
2024,4,NA,NCR,NCR,City of Manila,City of Manila,871315.4821,915,,,,,,
2024,4,3901,NCR,NCR,City of Manila,City of Manila,252347.8238,248,,,,,,
2024,4,3902,NCR,NCR,City of Manila,City of Manila,62036.8049,77,,,,,,
2024,4,3903,NCR,NCR,City of Manila,City of Manila,23759.0039,36,,,,,,
2024,4,3904,NCR,NCR,City of Manila,City of Manila,14955.5617,15,,,,,,
2024,4,3905,NCR,NCR,City of Manila,City of Manila,62584.0223,73,,,,,,
2024,4,3906,NCR,NCR,City of Manila,City of Manila,130680.9562,135,,,,,,
2024,4,3907,NCR,NCR,City of Manila,City of Manila,11230.5891,12,,,,,,
2024,4,3908,NCR,NCR,City of Manila,City of Manila,46367.1306,48,,,,,,
2024,4,3909,NCR,NCR,City of Manila,City of Manila,28528.567,29,,,,,,
2024,4,3910,NCR,NCR,City of Manila,City of Manila,55745.3581,74,,,,,,
2024,4,3911,NCR,NCR,City of Manila,City of Manila,27832.6593,22,,,,,,
2024,4,3912,NCR,NCR,City of Manila,City of Manila,18821.5398,19,,,,,,
2024,4,3913,NCR,NCR,City of Manila,City of Manila,43602.3871,48,,,,,,
2024,4,3914,NCR,NCR,City of Manila,City of Manila,92823.0783,79,,,,,,
2024,4,7601,NCR,NCR,Las Pinas City,Las Piñas City,212737.7736,489,,,,,,
2024,4,7602,NCR,NCR,Makati City,Makati City,756406.2656,1054,,,,,,
2024,4,7502,NCR,NCR,Malabon City,Malabon City,135021.1779,434,,,,,,
2024,4,7401,NCR,NCR,Mandaluyong City,Mandaluyong City,287106.0232,502,,,,,,
2024,4,7402,NCR,NCR,Marikina City,Marikina City,246389.0131,545,,,,,,
2024,4,7603,NCR,NCR,Muntinlupa City,Muntinlupa City,369340.0897,704,,,,,,
2024,4,7503,NCR,NCR,Navotas City,Navotas City,73110.9644,501,,,,,,
2024,4,7604,NCR,NCR,Paranaque City,Parañaque City,401743.4438,721,,,,,,
2024,4,7605,NCR,NCR,Pasay City,Pasay City,324293.0978,630,,,,,,
2024,4,7403,NCR,NCR,Pasig City,Pasig City,525748.5833,692,,,,,,
2024,4,7404,NCR,NCR,Quezon City,Quezon City,1799037.653,1391,,,,,,
2024,4,7405,NCR,NCR,San Juan City,San Juan City,66330.7984,189,,,,,,
2024,4,7607,NCR,NCR,Taguig City,Taguig City,624427.6668,911,,,,,,
2024,4,7504,NCR,NCR,Valenzuela City,Valenzuela City,255039.2786,485,,,,,,
2024,4,803,Region III (Central Luzon),Bataan,Balanga City,Balanga City,71152.9984,123,,,,,,
2024,4,1410,Region III (Central Luzon),Bulacan,Malolos City,Malolos City,133641.507,65,,,,,,
2024,4,1412,Region III (Central Luzon),Bulacan,Meycauayan City,Meycauayan City,47535.5751,31,,,,,,
2024,4,1420,Region III (Central Luzon),Bulacan,San Jose del Monte City,San Jose del Monte City,152646.3692,72,,,,,,
2024,4,4903,Region III (Central Luzon),Nueva Ecija,Cabanatuan City,Cabanatuan City,188322.881,117,,,,,,
2024,4,4908,Region III (Central Luzon),Nueva Ecija,Gapan City,Gapan City,130580.814,66,,,,,,
2024,4,4919,Region III (Central Luzon),Nueva Ecija,Palayan City,Palayan City,3005.0162,2,,,,,,
2024,4,4926,Region III (Central Luzon),Nueva Ecija,San Jose City,San Jose City,42074.2583,28,,,,,,
2024,4,4917,Region III (Central Luzon),Nueva Ecija,Science City of Munoz,Science City of Muñoz,16569.4063,8,,,,,,
2024,4,5401,Region III (Central Luzon),Pampanga,Angeles City,Angeles City,362662.9231,781,,,,,,
2024,4,5409,Region III (Central Luzon),Pampanga,Mabalacat City,Mabalacat City,99587.3936,103,,,,,,
2024,4,5416,Region III (Central Luzon),Pampanga,San Fernando City,San Fernando City,257886.6262,188,,,,,,
2024,4,6916,Region III (Central Luzon),Tarlac,Tarlac City,Tarlac City,196456.3322,224,,,,,,
2024,4,7107,Region III (Central Luzon),Zambales,Olongapo City,Olongapo City,143824.3774,748,,,,,,
2024,4,1005,Region IV-A (CALABARZON),Batangas,Batangas City,Batangas City,65890.197,40,,,,,,
2024,4,1014,Region IV-A (CALABARZON),Batangas,Lipa City,Lipa City,171284.1949,97,,,,,,
2024,4,1031,Region IV-A (CALABARZON),Batangas,Tanauan City,Tanauan City,94180.2653,49,,,,,,
2024,4,2103,Region IV-A (CALABARZON),Cavite,Bacoor City,Bacoor City,139484.3391,53,,,,,,
2024,4,2105,Region IV-A (CALABARZON),Cavite,Cavite City,Cavite City,6261.1473,8,,,,,,
2024,4,2104,Region IV-A (CALABARZON),Cavite,City of Carmona,City of Carmona,170557.7171,56,,,,,,
2024,4,2106,Region IV-A (CALABARZON),Cavite,Dasmarinas City,Dasmariñas City,137130.3434,64,,,,,,
2024,4,2108,Region IV-A (CALABARZON),Cavite,General Trias City,General Trias City,117380.4123,43,,,,,,
2024,4,2109,Region IV-A (CALABARZON),Cavite,Imus City,Imus City,260718.2254,104,,,,,,
2024,4,2119,Region IV-A (CALABARZON),Cavite,Tagaytay City,Tagaytay City,25469.3444,16,,,,,,
2024,4,2122,Region IV-A (CALABARZON),Cavite,Trece Martires City,Trece Martires City,10316.541,4,,,,,,
2024,4,3403,Region IV-A (CALABARZON),Laguna,Binan City,Biñan City,58633.6452,38,,,,,,
2024,4,3404,Region IV-A (CALABARZON),Laguna,Cabuyao City,Cabuyao City,258480.8504,131,,,,,,
2024,4,3405,Region IV-A (CALABARZON),Laguna,Calamba City,Calamba City,250196.8489,132,,,,,,
2024,4,3424,Region IV-A (CALABARZON),Laguna,San Pablo City,San Pablo City,166005.6642,79,,,,,,
2024,4,3425,Region IV-A (CALABARZON),Laguna,San Pedro City,San Pedro City,194383.952,99,,,,,,
2024,4,3428,Region IV-A (CALABARZON),Laguna,Santa Rosa City,Santa Rosa City,180404.0403,94,,,,,,
2024,4,5624,Region IV-A (CALABARZON),Quezon,Lucena City,Lucena City,118581.0614,393,,,,,,
2024,4,5647,Region IV-A (CALABARZON),Quezon,Tayabas City,Tayabas City,4506.7722,8,,,,,,
2024,4,5802,Region IV-A (CALABARZON),Rizal,Antipolo City,Antipolo City,364130.01,212,,,,,,
2024,5,7501,NCR,NCR,Caloocan City,Caloocan City,464019.5503,132,,,,,,
2024,5,NA,NCR,NCR,City of Manila,City of Manila,900295.9498,218,,,,,,
2024,5,3901,NCR,NCR,City of Manila,City of Manila,318461.7294,70,,,,,,
2024,5,3902,NCR,NCR,City of Manila,City of Manila,63129.2402,16,,,,,,
2024,5,3903,NCR,NCR,City of Manila,City of Manila,2645.0694,1,,,,,,
2024,5,3904,NCR,NCR,City of Manila,City of Manila,,,,,,,,
2024,5,3905,NCR,NCR,City of Manila,City of Manila,119170.4442,30,,,,,,
2024,5,3906,NCR,NCR,City of Manila,City of Manila,163866.1831,38,,,,,,
2024,5,3907,NCR,NCR,City of Manila,City of Manila,1907.6629,1,,,,,,
2024,5,3908,NCR,NCR,City of Manila,City of Manila,131480.2273,28,,,,,,
2024,5,3909,NCR,NCR,City of Manila,City of Manila,21149.7393,8,,,,,,
2024,5,3910,NCR,NCR,City of Manila,City of Manila,18014.716,9,,,,,,
2024,5,3911,NCR,NCR,City of Manila,City of Manila,12301.2792,5,,,,,,
