Region,Province,City,year,month,EMP_w,observed,projection_reliance,ts_model
NCR,NCR,Muntinlupa City,2024,7,252757,TRUE,,
NCR,NCR,Muntinlupa City,2024,8,282508,TRUE,,
NCR,NCR,Muntinlupa City,2024,9,288136,FALSE,time_series,"ETS(A,?,A)_log"
NCR,NCR,Muntinlupa City,2024,10,311521,FALSE,time_series,"ETS(A,?,A)_log"
NCR,NCR,Muntinlupa City,2024,11,364979,FALSE,time_series,"ETS(A,?,A)_log"
NCR,NCR,Muntinlupa City,2024,12,323735,FALSE,time_series,"ETS(A,?,A)_log"
NCR,NCR,Navotas City,2024,1,75672,TRUE,,
NCR,NCR,Navotas City,2024,2,106708,TRUE,,
NCR,NCR,Navotas City,2024,3,71666,TRUE,,
NCR,NCR,Navotas City,2024,4,75522,TRUE,,
NCR,NCR,Navotas City,2024,5,111341,TRUE,,
NCR,NCR,Navotas City,2024,6,82815,TRUE,,
NCR,NCR,Navotas City,2024,7,80881,TRUE,,
NCR,NCR,Navotas City,2024,8,93879,TRUE,,
NCR,NCR,Navotas City,2024,9,74432,FALSE,time_series,"ETS(A,?,A)_log"
NCR,NCR,Navotas City,2024,10,71932,FALSE,time_series,"ETS(A,?,A)_log"
NCR,NCR,Navotas City,2024,11,89653,FALSE,time_series,"ETS(A,?,A)_log"
NCR,NCR,Navotas City,2024,12,79773,FALSE,time_series,"ETS(A,?,A)_log"
NCR,NCR,Paranaque City,2024,1,395054,TRUE,,
NCR,NCR,Paranaque City,2024,2,476501,TRUE,,
NCR,NCR,Paranaque City,2024,3,292678,TRUE,,
NCR,NCR,Paranaque City,2024,4,401986,TRUE,,
NCR,NCR,Paranaque City,2024,5,386505,TRUE,,
NCR,NCR,Paranaque City,2024,6,408313,TRUE,,
NCR,NCR,Paranaque City,2024,7,413624,TRUE,,
NCR,NCR,Paranaque City,2024,8,398100,TRUE,,
NCR,NCR,Paranaque City,2024,9,389367,FALSE,time_series,"ETS(A,?,A)_log"
NCR,NCR,Paranaque City,2024,10,411076,FALSE,time_series,"ETS(A,?,A)_log"
NCR,NCR,Paranaque City,2024,11,416084,FALSE,time_series,"ETS(A,?,A)_log"
NCR,NCR,Paranaque City,2024,12,366976,FALSE,time_series,"ETS(A,?,A)_log"
NCR,NCR,Pasay City,2024,1,321981,TRUE,,
NCR,NCR,Pasay City,2024,2,319890,TRUE,,
NCR,NCR,Pasay City,2024,3,270527,TRUE,,
NCR,NCR,Pasay City,2024,4,315968,TRUE,,
