Area_slug,Area_display,Region,Year,Value,variable,Households,Avg_Family_Income,Price_to_Income,Price,FamilyIncome_Total,Households_hh
bulacan,Bulacan,Region III (Central Luzon),2023,342693.71,FamilyIncome_Total,1026855.0930817648,333731.3242236727,6.539092502259043,2182300.0,342693.71,1026855.0930817648
bulacan,Bulacan,Region III (Central Luzon),2024,342693.71,FamilyIncome_Total,1032880.5097697856,331784.4675725187,6.442474149867152,2137512.855663388,342693.71,1032880.5097697856
bulacan,Bulacan,Region III (Central Luzon),2025,363255.3326,FamilyIncome_Total,1057459.2210144573,343517.10721432505,6.328088751031511,2173806.741949856,363255.3326,1057459.2210144573
bulacan,Bulacan,Region III (Central Luzon),2026,385050.6525560001,FamilyIncome_Total,1082617.9129110696,355666.2493424212,6.212749052230065,2209665.1535123494,385050.6525560001,1082617.9129110696
bulacan,Bulacan,Region III (Central Luzon),2027,408153.6917093601,FamilyIncome_Total,1108370.1546729773,368246.7359740349,6.096753310639334,2245109.506681826,408153.6917093601,1108370.1546729773
bulacan,Bulacan,Region III (Central Luzon),2028,432642.91321192175,FamilyIncome_Total,1134729.830231724,381273.94000347325,5.980371106054306,2280159.654288254,432642.91321192175,1134729.830231724
bulacan,Bulacan,Region III (Central Luzon),2029,458601.48800463707,FamilyIncome_Total,1161711.145472262,394763.7842608501,5.86384600711743,2314834.0400925525,458601.48800463707,1161711.145472262
caloocan,Caloocan,NCR,2018,141351.28,FamilyIncome_Total,,,,,141351.28,
caloocan,Caloocan,NCR,2021,129885.82,FamilyIncome_Total,404252.0,321299.14014030853,,,129885.82,404252.0
caloocan,Caloocan,NCR,2023,154161.91,FamilyIncome_Total,429366.1264117278,359045.3473550707,12.533235796395978,4500000.0,154161.91,429366.1264117278
caloocan,Caloocan,NCR,2024,154161.91,FamilyIncome_Total,429366.1264117278,359045.3473550707,12.205449609732533,4382309.894751229,154161.91,429366.1264117278
caloocan,Caloocan,NCR,2025,161088.09816708433,FamilyIncome_Total,430996.9733786632,373756.91273255495,11.882486897066052,4441161.618232444,161088.09816708433,430996.9733786632
caloocan,Caloocan,NCR,2026,168325.46620036018,FamilyIncome_Total,432634.0147369719,389071.27148265694,11.566173027901252,4500065.646153952,168325.46620036018,432634.0147369719
caloocan,Caloocan,NCR,2027,175887.99479264257,FamilyIncome_Total,434277.2740146036,405013.1225303951,11.256498460124428,4559029.590093579,175887.99479264257,434277.2740146036
caloocan,Caloocan,NCR,2028,183790.29276147785,FamilyIncome_Total,435926.7748288723,421608.1768173719,10.953442148996874,4618060.774313129,183790.29276147785,435926.7748288723
caloocan,Caloocan,NCR,2029,192047.62526955013,FamilyIncome_Total,437582.54088679806,438883.1987682812,10.656972668489253,4677166.253932709,192047.62526955013,437582.54088679806
cavite,Cavite,Region IV-A (Calabarzon),2018,391492.64,FamilyIncome_Total,,,,,391492.64,
cavite,Cavite,Region IV-A (Calabarzon),2021,426816.26,FamilyIncome_Total,1139964.8,374411.7888552348,,,426816.26,1139964.8
cavite,Cavite,Region IV-A (Calabarzon),2023,527020.97,FamilyIncome_Total,1232985.92768,427434.6999171746,34.21282830531469,14623750.0,527020.97,1232985.92768
cavite,Cavite,Region IV-A (Calabarzon),2024,527020.97,FamilyIncome_Total,1242064.4006638408,424310.5025136582,33.74281931558484,14317432.620023375,527020.97,1242064.4006638408
cavite,Cavite,Region IV-A (Calabarzon),2025,558642.2282,FamilyIncome_Total,1272988.1881148564,438843.2142699474,33.261847295255734,14596735.979606183,558642.2282,1272988.1881148564
cavite,Cavite,Region IV-A (Calabarzon),2026,592160.7618920001,FamilyIncome_Total,1304680.4199777502,453874.18468508846,32.77371442323743,14875142.912948811,592160.7618920001,1304680.4199777502
cavite,Cavite,Region IV-A (Calabarzon),2027,627690.4076055201,FamilyIncome_Total,1337160.155278538,469420.5141603017,32.27971039683363,15152758.251427278,627690.4076055201,1337160.155278538
cavite,Cavite,Region IV-A (Calabarzon),2028,665351.8320618513,FamilyIncome_Total,1370446.924839672,485499.89058473794,31.78101599901893,15429679.790195497,665351.8320618513,1370446.924839672
cavite,Cavite,Region IV-A (Calabarzon),2029,705272.9419855624,FamilyIncome_Total,1404560.7429366272,502130.60953917314,31.27871248069707,15705998.963532962,705272.9419855624,1404560.7429366272
laguna,Laguna,Region IV-A (Calabarzon),2018,344571.35,FamilyIncome_Total,,,,,344571.35,
laguna,Laguna,Region IV-A (Calabarzon),2021,326574.32,FamilyIncome_Total,952013.92,343035.2362915029,,,326574.32,952013.92
laguna,Laguna,Region IV-A (Calabarzon),2023,440820.18,FamilyIncome_Total,1029698.255872,428106.1733242341,34.15916637325488,14623750.0,440820.18,1029698.255872
laguna,Laguna,Region IV-A (Calabarzon),2024,440820.18,FamilyIncome_Total,1037279.9221242917,424977.0680003376,33.68989458041064,14317432.620023375,440820.18,1037279.9221242917
laguna,Laguna,Region IV-A (Calabarzon),2025,467269.3908,FamilyIncome_Total,1063105.172265777,439532.6097455788,33.20967695219572,14596735.979606183,467269.3908,1063105.172265777
laguna,Laguna,Region IV-A (Calabarzon),2026,495305.5542480001,FamilyIncome_Total,1089572.170097063,454587.1928831263,32.722309703901374,14875142.912948811,495305.5542480001,1089572.170097063
laguna,Laguna,Region IV-A (Calabarzon),2027,525023.8875028801,FamilyIncome_Total,1116696.8323009007,470157.9446778705,32.229080509974615,15152758.251427278,525023.8875028801,1116696.8323009007
laguna,Laguna,Region IV-A (Calabarzon),2028,556525.320753053,FamilyIncome_Total,1144495.4695693776,486262.5808055392,31.7311683013626,15429679.790195497,556525.320753053,1144495.4695693776
laguna,Laguna,Region IV-A (Calabarzon),2029,589916.8399982362,FamilyIncome_Total,1172984.7963386334,502919.4255881309,31.229652633055164,15705998.963532962,589916.8399982362,1172984.7963386334
las pinas,Las Piñas,NCR,2018,77305.75,FamilyIncome_Total,,,,,77305.75,
las pinas,Las Piñas,NCR,2021,65582.27,FamilyIncome_Total,156899.0,417990.3632272991,,,65582.27,156899.0
las pinas,Las Piñas,NCR,2023,96816.95,FamilyIncome_Total,166646.33908520843,580972.55860206,42.17066647511212,24500000.0,96816.95,166646.33908520843
las pinas,Las Piñas,NCR,2024,96816.95,FamilyIncome_Total,166646.33908520843,580972.55860206,41.06776199158618,23859242.76031225,96816.95,166646.33908520843
las pinas,Las Piñas,NCR,2025,101166.74310689128,FamilyIncome_Total,167279.3062894899,604777.3950701011,39.98108708488155,24179657.69926553,101166.74310689128,167279.3062894899
las pinas,Las Piñas,NCR,2026,105711.96377138142,FamilyIncome_Total,167914.6776718882,629557.6136467754,38.916783588585986,24500357.406838182,105711.96377138142,167914.6776718882
las pinas,Las Piñas,NCR,2027,110461.39216515631,FamilyIncome_Total,168552.4623641127,655353.1797508475,37.87481939628251,24821383.32384282,110461.39216515631,168552.4623641127
las pinas,Las Piñas,NCR,2028,115424.20293555886,FamilyIncome_Total,169192.66953255702,682205.6963487314,36.85512369859102,25142775.32681592,115424.20293555886,169192.66953255702
las pinas,Las Piñas,NCR,2029,120609.9829286026,FamilyIncome_Total,169835.3083784316,710158.4710515919,35.857590756129994,25464571.82696697,120609.9829286026,169835.3083784316
lucena,Lucena,Region IV-A (Calabarzon),2018,23064.57,FamilyIncome_Total,,,,,23064.57,
lucena,Lucena,Region IV-A (Calabarzon),2021,21943.32,FamilyIncome_Total,69581.2,315362.77040349983,,,21943.32,69581.2
lucena,Lucena,Region IV-A (Calabarzon),2023,24776.36,FamilyIncome_Total,75259.02592,329214.46560226753,44.42013194422425,14623750.0,24776.36,75259.02592
lucena,Lucena,Region IV-A (Calabarzon),2024,24776.36,FamilyIncome_Total,75813.15798125595,326808.1776269722,43.80989705944778,14317432.620023375,24776.36,75813.15798125595
lucena,Lucena,Region IV-A (Calabarzon),2025,26262.9416,FamilyIncome_Total,77700.68489382957,338001.41705167404,43.18542835391314,14596735.979606183,26262.9416,77700.68489382957
lucena,Lucena,Region IV-A (Calabarzon),2026,27838.718096000004,FamilyIncome_Total,79635.11613565247,349578.42026096664,42.55166237619658,14875142.912948811,27838.718096000004,79635.11613565247
lucena,Lucena,Region IV-A (Calabarzon),2027,29509.041181760007,FamilyIncome_Total,81617.61503203171,361552.35815428896,41.910273601260776,15152758.251427278,29509.041181760007,81617.61503203171
lucena,Lucena,Region IV-A (Calabarzon),2028,31279.58365266561,FamilyIncome_Total,83649.37370579704,373936.8541201389,41.262795095447395,15429679.790195497,31279.58365266561,83649.37370579704
lucena,Lucena,Region IV-A (Calabarzon),2029,33156.35867182555,FamilyIncome_Total,85731.61378879598,386745.9995971598,40.61063069790652,15705998.963532962,33156.35867182555,85731.61378879598
makati,Makati,NCR,2018,112920.17,FamilyIncome_Total,,,,,112920.17,
makati,Makati,NCR,2021,111574.69,FamilyIncome_Total,186381.0,598637.6830256303,,,111574.69,186381.0
makati,Makati,NCR,2023,164347.09,FamilyIncome_Total,197959.90621380784,830203.9192850288,93.95282073249372,78000000.0,164347.09,197959.90621380784
makati,Makati,NCR,2024,164347.09,FamilyIncome_Total,197959.90621380784,830203.9192850288,91.49563909684349,75960038.17568798,164347.09,197959.90621380784
makati,Makati,NCR,2025,171730.87805797582,FamilyIncome_Total,198711.81069058072,864220.7902044756,89.07461564054186,76980134.71602903,171730.87805797582,198711.81069058072
makati,Makati,NCR,2026,179446.40503560545,FamilyIncome_Total,199466.57110092608,899631.4723072527,86.70343387011768,78001137.8666685,179446.40503560545,199466.57110092608
makati,Makati,NCR,2027,187508.575303108,FamilyIncome_Total,200224.19829244097,936493.0757731844,84.38202225508093,79023179.56162204,187508.575303108,200224.19829244097
