Region,Province,City,Year,GRDP_grdp_pc_const,g_grdp_pc_assumed,grdp_growth_source
NCR,NCR,Pasig City,2025,526954.3976919365,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Pasig City,2026,551519.9862693906,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Pasig City,2027,577230.774782171,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Pasig City,2028,604140.150222726,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Pasig City,2029,632303.9883812018,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Caloocan City,2024,503483.0,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Caloocan City,2025,526954.3976919365,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Caloocan City,2026,551519.9862693906,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Caloocan City,2027,577230.774782171,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Caloocan City,2028,604140.150222726,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Caloocan City,2029,632303.9883812018,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Cavite,Trece Martires City,2024,192048.0,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Cavite,Trece Martires City,2025,199958.75658151248,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Cavite,Trece Martires City,2026,208195.36956190414,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Cavite,Trece Martires City,2027,216771.26147435445,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
