Region,Province,City,Year,INC_income_per_hh,g_income_longrun,income_growth_source
NCR,NCR,Caloocan City,2029,451317.5021144886,0.011460964461992074,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Cavite,Trece Martires City,2024,494056.7266,0.03003498438086405,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Cavite,Trece Martires City,2025,508895.7126666918,0.03003498438086405,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Cavite,Trece Martires City,2026,524180.38744812465,0.03003498438086405,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Cavite,Trece Martires City,2027,539924.1371978843,0.03003498438086405,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Cavite,Trece Martires City,2028,556140.7502254742,0.03003498438086405,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Cavite,Trece Martires City,2029,572844.4289720583,0.03003498438086405,city_2018_2023p_CAGR
NCR,NCR,Taguig City,2024,539993.4407,0.03924834625045337,city_2018_2023p_CAGR
NCR,NCR,Taguig City,2025,561187.2902335672,0.03924834625045337,city_2018_2023p_CAGR
NCR,NCR,Taguig City,2026,583212.963312008,0.03924834625045337,city_2018_2023p_CAGR
NCR,NCR,Taguig City,2027,606103.1076338306,0.03924834625045337,city_2018_2023p_CAGR
NCR,NCR,Taguig City,2028,629891.652265719,0.03924834625045337,city_2018_2023p_CAGR
NCR,NCR,Taguig City,2029,654613.8579341142,0.03924834625045337,city_2018_2023p_CAGR
Region III (Central Luzon),Bulacan,San Jose del Monte City,2024,388806.6576,0.008266954200491616,city_2018_2023p_CAGR
Region III (Central Luzon),Bulacan,San Jose del Monte City,2025,392020.9044312254,0.008266954200491616,city_2018_2023p_CAGR
Region III (Central Luzon),Bulacan,San Jose del Monte City,2026,395261.7232937936,0.008266954200491616,city_2018_2023p_CAGR
Region III (Central Luzon),Bulacan,San Jose del Monte City,2027,398529.33385747083,0.008266954200491616,city_2018_2023p_CAGR
Region III (Central Luzon),Bulacan,San Jose del Monte City,2028,401823.95760802296,0.008266954200491616,city_2018_2023p_CAGR
Region III (Central Luzon),Bulacan,San Jose del Monte City,2029,405145.8178622288,0.008266954200491616,city_2018_2023p_CAGR
NCR,NCR,Mandaluyong City,2024,665912.0525,-0.0001620784544839049,city_2018_2023p_CAGR
NCR,NCR,Mandaluyong City,2025,665804.1225037086,-0.0001620784544839049,city_2018_2023p_CAGR
NCR,NCR,Mandaluyong City,2026,665696.2100005442,-0.0001620784544839049,city_2018_2023p_CAGR
NCR,NCR,Mandaluyong City,2027,665588.3149876714,-0.0001620784544839049,city_2018_2023p_CAGR
NCR,NCR,Mandaluyong City,2028,665480.4374622557,-0.0001620784544839049,city_2018_2023p_CAGR
NCR,NCR,Mandaluyong City,2029,665372.5774214625,-0.0001620784544839049,city_2018_2023p_CAGR
Region III (Central Luzon),Bulacan,Meycauayan City,2024,388806.6576,0.008266954200491616,city_2018_2023p_CAGR
Region III (Central Luzon),Bulacan,Meycauayan City,2025,392020.9044312254,0.008266954200491616,city_2018_2023p_CAGR
Region III (Central Luzon),Bulacan,Meycauayan City,2026,395261.7232937936,0.008266954200491616,city_2018_2023p_CAGR
Region III (Central Luzon),Bulacan,Meycauayan City,2027,398529.33385747083,0.008266954200491616,city_2018_2023p_CAGR
Region III (Central Luzon),Bulacan,Meycauayan City,2028,401823.95760802296,0.008266954200491616,city_2018_2023p_CAGR
Region III (Central Luzon),Bulacan,Meycauayan City,2029,405145.8178622288,0.008266954200491616,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Laguna,Cabuyao City,2024,498554.5401,0.01974197424893953,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Laguna,Cabuyao City,2025,508396.9909923461,0.01974197424893953,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Laguna,Cabuyao City,2026,518433.7512967553,0.01974197424893953,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Laguna,Cabuyao City,2027,528668.6570646369,0.01974197424893953,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Laguna,Cabuyao City,2028,539105.6200786284,0.01974197424893953,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Laguna,Cabuyao City,2029,549748.6293476793,0.01974197424893953,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Laguna,San Pablo City,2024,498554.5401,0.01974197424893953,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Laguna,San Pablo City,2025,508396.9909923461,0.01974197424893953,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Laguna,San Pablo City,2026,518433.7512967553,0.01974197424893953,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Laguna,San Pablo City,2027,528668.6570646369,0.01974197424893953,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Laguna,San Pablo City,2028,539105.6200786284,0.01974197424893953,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Laguna,San Pablo City,2029,549748.6293476793,0.01974197424893953,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Cavite,City of Carmona,2024,494056.7266,0.03003498438086405,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Cavite,City of Carmona,2025,508895.7126666918,0.03003498438086405,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Cavite,City of Carmona,2026,524180.38744812465,0.03003498438086405,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Cavite,City of Carmona,2027,539924.1371978843,0.03003498438086405,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Cavite,City of Carmona,2028,556140.7502254742,0.03003498438086405,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Cavite,City of Carmona,2029,572844.4289720583,0.03003498438086405,city_2018_2023p_CAGR
Region III (Central Luzon),Nueva Ecija,San Jose City,2024,356221.3595,0.009438633323631596,city_2018_2023p_CAGR
Region III (Central Luzon),Nueva Ecija,San Jose City,2025,359583.60229436605,0.009438633323631596,city_2018_2023p_CAGR
Region III (Central Luzon),Nueva Ecija,San Jose City,2026,362977.5800656132,0.009438633323631596,city_2018_2023p_CAGR
Region III (Central Luzon),Nueva Ecija,San Jose City,2027,366403.5923485516,0.009438633323631596,city_2018_2023p_CAGR
Region III (Central Luzon),Nueva Ecija,San Jose City,2028,369861.941505191,0.009438633323631596,city_2018_2023p_CAGR
Region III (Central Luzon),Nueva Ecija,San Jose City,2029,373352.932751425,0.009438633323631596,city_2018_2023p_CAGR
NCR,NCR,Valenzuela City,2024,420192.3593,0.017637676887150677,city_2018_2023p_CAGR
NCR,NCR,Valenzuela City,2025,427603.5763637829,0.017637676887150677,city_2018_2023p_CAGR
NCR,NCR,Valenzuela City,2026,435145.5100794774,0.017637676887150677,city_2018_2023p_CAGR
NCR,NCR,Valenzuela City,2027,442820.46598515357,0.017637676887150677,city_2018_2023p_CAGR
NCR,NCR,Valenzuela City,2028,450630.7902832172,0.017637676887150677,city_2018_2023p_CAGR
NCR,NCR,Valenzuela City,2029,458578.8705576339,0.017637676887150677,city_2018_2023p_CAGR
NCR,NCR,Paranaque City,2024,600586.0451,0.013190278870417016,city_2018_2023p_CAGR
NCR,NCR,Paranaque City,2025,608507.9425205499,0.013190278870417016,city_2018_2023p_CAGR
NCR,NCR,Paranaque City,2026,616534.3319772596,0.013190278870417016,city_2018_2023p_CAGR
NCR,NCR,Paranaque City,2027,624666.5917492259,0.013190278870417016,city_2018_2023p_CAGR
NCR,NCR,Paranaque City,2028,632906.1182954311,0.013190278870417016,city_2018_2023p_CAGR
NCR,NCR,Paranaque City,2029,641254.3264945409,0.013190278870417016,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Laguna,Santa Rosa City,2024,498554.5401,0.01974197424893953,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Laguna,Santa Rosa City,2025,508396.9909923461,0.01974197424893953,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Laguna,Santa Rosa City,2026,518433.7512967553,0.01974197424893953,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Laguna,Santa Rosa City,2027,528668.6570646369,0.01974197424893953,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Laguna,Santa Rosa City,2028,539105.6200786284,0.01974197424893953,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Laguna,Santa Rosa City,2029,549748.6293476793,0.01974197424893953,city_2018_2023p_CAGR
NCR,NCR,City of Manila,2024,521561.0328,0.026721801953100144,city_2018_2023p_CAGR
NCR,NCR,City of Manila,2025,535498.0834249359,0.026721801953100144,city_2018_2023p_CAGR
NCR,NCR,City of Manila,2026,549807.5571564818,0.026721801953100144,city_2018_2023p_CAGR
NCR,NCR,City of Manila,2027,564499.4058111351,0.026721801953100144,city_2018_2023p_CAGR
NCR,NCR,City of Manila,2028,579583.847135863,0.026721801953100144,city_2018_2023p_CAGR
NCR,NCR,City of Manila,2029,595071.3719142433,0.026721801953100144,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Laguna,Binan City,2024,498554.5401,0.01974197424893953,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Laguna,Binan City,2025,508396.9909923461,0.01974197424893953,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Laguna,Binan City,2026,518433.7512967553,0.01974197424893953,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Laguna,Binan City,2027,528668.6570646369,0.01974197424893953,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Laguna,Binan City,2028,539105.6200786284,0.01974197424893953,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Laguna,Binan City,2029,549748.6293476793,0.01974197424893953,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Laguna,San Pedro City,2024,498554.5401,0.01974197424893953,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Laguna,San Pedro City,2025,508396.9909923461,0.01974197424893953,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Laguna,San Pedro City,2026,518433.7512967553,0.01974197424893953,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Laguna,San Pedro City,2027,528668.6570646369,0.01974197424893953,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Laguna,San Pedro City,2028,539105.6200786284,0.01974197424893953,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Laguna,San Pedro City,2029,549748.6293476793,0.01974197424893953,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Cavite,Cavite City,2024,494056.7266,0.03003498438086405,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Cavite,Cavite City,2025,508895.7126666918,0.03003498438086405,city_2018_2023p_CAGR
