Region,Province,City,Year,INC_income_per_hh,g_income_longrun,income_growth_source
Region III (Central Luzon),Nueva Ecija,Cabanatuan City,2026,362977.5800656132,0.009438633323631596,city_2018_2023p_CAGR
Region III (Central Luzon),Nueva Ecija,Cabanatuan City,2027,366403.5923485516,0.009438633323631596,city_2018_2023p_CAGR
Region III (Central Luzon),Nueva Ecija,Cabanatuan City,2028,369861.941505191,0.009438633323631596,city_2018_2023p_CAGR
Region III (Central Luzon),Nueva Ecija,Cabanatuan City,2029,373352.932751425,0.009438633323631596,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Batangas,Tanauan City,2024,427118.3166,0.02208361273121695,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Batangas,Tanauan City,2025,436550.6320942037,0.02208361273121695,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Batangas,Tanauan City,2026,446191.2471909401,0.02208361273121695,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Batangas,Tanauan City,2027,456044.7618979635,0.02208361273121695,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Batangas,Tanauan City,2028,466115.8778078182,0.02208361273121695,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Batangas,Tanauan City,2029,476409.40034119727,0.02208361273121695,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Batangas,Batangas City,2024,427118.3166,0.02208361273121695,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Batangas,Batangas City,2025,436550.6320942037,0.02208361273121695,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Batangas,Batangas City,2026,446191.2471909401,0.02208361273121695,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Batangas,Batangas City,2027,456044.7618979635,0.02208361273121695,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Batangas,Batangas City,2028,466115.8778078182,0.02208361273121695,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Batangas,Batangas City,2029,476409.40034119727,0.02208361273121695,city_2018_2023p_CAGR
Region III (Central Luzon),Pampanga,Angeles City,2024,534127.8926,0.04735833422840008,city_2018_2023p_CAGR
Region III (Central Luzon),Pampanga,Angeles City,2025,559423.2998584618,0.04735833422840008,city_2018_2023p_CAGR
Region III (Central Luzon),Pampanga,Angeles City,2026,585916.6554683133,0.04735833422840008,city_2018_2023p_CAGR
Region III (Central Luzon),Pampanga,Angeles City,2027,613664.6922679681,0.04735833422840008,city_2018_2023p_CAGR
Region III (Central Luzon),Pampanga,Angeles City,2028,642726.8298685628,0.04735833422840008,city_2018_2023p_CAGR
Region III (Central Luzon),Pampanga,Angeles City,2029,673165.3018950382,0.04735833422840008,city_2018_2023p_CAGR
Region III (Central Luzon),Nueva Ecija,Gapan City,2024,356221.3595,0.009438633323631596,city_2018_2023p_CAGR
Region III (Central Luzon),Nueva Ecija,Gapan City,2025,359583.60229436605,0.009438633323631596,city_2018_2023p_CAGR
Region III (Central Luzon),Nueva Ecija,Gapan City,2026,362977.5800656132,0.009438633323631596,city_2018_2023p_CAGR
Region III (Central Luzon),Nueva Ecija,Gapan City,2027,366403.5923485516,0.009438633323631596,city_2018_2023p_CAGR
Region III (Central Luzon),Nueva Ecija,Gapan City,2028,369861.941505191,0.009438633323631596,city_2018_2023p_CAGR
Region III (Central Luzon),Nueva Ecija,Gapan City,2029,373352.932751425,0.009438633323631596,city_2018_2023p_CAGR
Region III (Central Luzon),Bataan,Balanga City,2024,385354.5876,-0.005100075813415206,city_2018_2023p_CAGR
Region III (Central Luzon),Bataan,Balanga City,2025,383389.2499881927,-0.005100075813415206,city_2018_2023p_CAGR
Region III (Central Luzon),Bataan,Balanga City,2026,381433.93574720446,-0.005100075813415206,city_2018_2023p_CAGR
Region III (Central Luzon),Bataan,Balanga City,2027,379488.59375708445,-0.005100075813415206,city_2018_2023p_CAGR
Region III (Central Luzon),Bataan,Balanga City,2028,377553.17315859697,-0.005100075813415206,city_2018_2023p_CAGR
Region III (Central Luzon),Bataan,Balanga City,2029,375627.62335189263,-0.005100075813415206,city_2018_2023p_CAGR
NCR,NCR,Malabon City,2024,396730.4231,0.012431594529289214,city_2018_2023p_CAGR
NCR,NCR,Malabon City,2025,401662.4148574126,0.012431594529289214,city_2018_2023p_CAGR
NCR,NCR,Malabon City,2026,406655.71913657506,0.012431594529289214,city_2018_2023p_CAGR
NCR,NCR,Malabon City,2027,411711.0981498975,0.012431594529289214,city_2018_2023p_CAGR
NCR,NCR,Malabon City,2028,416829.32358530536,0.012431594529289214,city_2018_2023p_CAGR
NCR,NCR,Malabon City,2029,422011.1767240359,0.012431594529289214,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Quezon,Lucena City,2024,361670.5589,-0.0007168268514595733,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Quezon,Lucena City,2025,361411.3037319981,-0.0007168268514595733,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Quezon,Lucena City,2026,361152.234405062,-0.0007168268514595733,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Quezon,Lucena City,2027,360893.3507859758,-0.0007168268514595733,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Quezon,Lucena City,2028,360634.6527416192,-0.0007168268514595733,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Quezon,Lucena City,2029,360376.14013896725,-0.0007168268514595733,city_2018_2023p_CAGR
Region III (Central Luzon),Zambales,Olongapo City,2024,413113.6029,0.0017631273907583456,city_2018_2023p_CAGR
Region III (Central Luzon),Zambales,Olongapo City,2025,413841.97480876785,0.0017631273907583456,city_2018_2023p_CAGR
Region III (Central Luzon),Zambales,Olongapo City,2026,414571.6309299987,0.0017631273907583456,city_2018_2023p_CAGR
Region III (Central Luzon),Zambales,Olongapo City,2027,415302.5735279228,0.0017631273907583456,city_2018_2023p_CAGR
Region III (Central Luzon),Zambales,Olongapo City,2028,416034.8048707623,0.0017631273907583456,city_2018_2023p_CAGR
Region III (Central Luzon),Zambales,Olongapo City,2029,416768.32723073877,0.0017631273907583456,city_2018_2023p_CAGR
