Region,Province,City,year,month,EMP_w,observed,projection_reliance,ts_model
NCR,NCR,Caloocan City,2029,9,748813.2657530649,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Caloocan City,2029,10,726910.1582548097,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Caloocan City,2029,11,752291.2943822982,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Caloocan City,2029,12,732261.2281878679,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,City of Manila,2025,1,898206.732426954,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,City of Manila,2025,2,872923.9781791418,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,City of Manila,2025,3,826526.77682343,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,City of Manila,2025,4,848570.2915046174,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,City of Manila,2025,5,830230.737674417,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,City of Manila,2025,6,780451.3384314866,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,City of Manila,2025,7,903038.1824873325,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,City of Manila,2025,8,830104.3477151834,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,City of Manila,2025,9,786112.8649578041,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,City of Manila,2025,10,860458.6273085815,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,City of Manila,2025,11,914779.654658313,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,City of Manila,2025,12,880920.7653936262,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,City of Manila,2026,1,904923.1016649726,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,City of Manila,2026,2,879451.2948229709,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,City of Manila,2026,3,832707.1569273006,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,City of Manila,2026,4,854915.5026864115,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,City of Manila,2026,5,836438.8142626496,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,City of Manila,2026,6,786287.1879881328,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,City of Manila,2026,7,909790.6790459212,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,City of Manila,2026,8,836311.4792185,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,City of Manila,2026,9,791991.0487580368,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,City of Manila,2026,10,866892.7338971926,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,City of Manila,2026,11,921619.9484462586,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,City of Manila,2026,12,887507.8782666655,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,City of Manila,2027,1,911689.6927663011,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,City of Manila,2027,2,886027.4196833617,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,City of Manila,2027,3,838933.7510187873,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,City of Manila,2027,4,861308.160385416,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,City of Manila,2027,5,842693.3119398354,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,City of Manila,2027,6,792166.6752943359,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,City of Manila,2027,7,916593.6676110014,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,City of Manila,2027,8,842565.0247438677,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,City of Manila,2027,9,797913.1868634726,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,City of Manila,2027,10,873374.9517212291,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,City of Manila,2027,11,928511.3907472554,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,City of Manila,2027,12,894144.2464844624,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,City of Manila,2028,1,918506.8812665117,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,City of Manila,2028,2,892652.7177252965,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,City of Manila,2028,3,845206.9046644447,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,City of Manila,2028,4,867748.619384465,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,City of Manila,2028,5,848994.5778211349,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,City of Manila,2028,6,798090.1266527491,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,City of Manila,2028,7,923447.5257381496,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,City of Manila,2028,8,848865.3313536035,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,City of Manila,2028,9,803879.6079438153,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,City of Manila,2028,10,879905.6405339765,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,City of Manila,2028,11,935454.364025927,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,City of Manila,2028,12,900830.2383554112,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,City of Manila,2029,1,925375.0455092542,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,City of Manila,2029,2,899327.5566427949,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,City of Manila,2029,3,851526.9660148082,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,City of Manila,2029,4,874237.237119291,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,City of Manila,2029,5,855342.9616172742,False,time_series,"ETS(A,A,A)_log"
