Region,Area_display,Area_slug,Date,RAINFALL_mm,TMAX_C,TMIN_C,TAVG,RH_pct,WIND_SPEED,WIND_DIRECTION,wet_day_1mm,heavy_rain_50mm
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-11-21,0.0,33.2,23.6,28.4,64.0,3.0,70.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-11-22,0.0,34.6,23.4,29.0,63.0,3.0,70.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-11-23,0.0,34.7,25.2,29.950000000000003,70.0,2.0,90.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-11-24,0.0,34.9,26.0,30.45,65.0,4.0,70.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-11-25,0.0,34.3,23.0,28.65,61.0,3.0,70.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-11-26,0.0,35.0,24.5,29.75,68.0,4.0,90.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-11-27,0.0,35.5,25.5,30.5,68.0,3.0,70.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-11-28,4.0,33.9,24.5,29.2,66.0,4.0,90.0,1,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-11-29,0.2,33.1,24.5,28.8,76.0,3.0,70.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-12-26,0.0,30.6,22.6,26.6,72.0,4.0,70.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-12-28,0.0,32.0,24.0,28.0,64.0,4.0,90.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-11-07,0.0,34.9,25.2,30.05,69.0,3.0,20.0,0,0
Region III (Central Luzon),"Olongapo, Zambales",olongapo zambales,2023-02-03,0.0,32.4,23.1,27.75,64.0,4.0,60.0,0,0
Region III (Central Luzon),"Olongapo, Zambales",olongapo zambales,2023-01-24,0.0,33.2,23.6,28.4,60.0,5.0,70.0,0,0
Region III (Central Luzon),"Olongapo, Zambales",olongapo zambales,2023-01-25,0.0,30.0,22.0,26.0,61.0,7.0,60.0,0,0
Region III (Central Luzon),"Olongapo, Zambales",olongapo zambales,2023-01-26,0.0,30.7,22.9,26.8,63.0,5.0,80.0,0,0
Region III (Central Luzon),"Olongapo, Zambales",olongapo zambales,2023-01-27,0.0,30.6,23.1,26.85,67.0,3.0,80.0,0,0
Region III (Central Luzon),"Olongapo, Zambales",olongapo zambales,2023-01-28,0.0,30.6,23.1,26.85,62.0,6.0,60.0,0,0
Region III (Central Luzon),"Olongapo, Zambales",olongapo zambales,2023-01-29,0.0,30.1,22.8,26.450000000000003,61.0,6.0,50.0,0,0
Region III (Central Luzon),"Olongapo, Zambales",olongapo zambales,2023-01-30,0.0,31.6,24.2,27.9,57.0,6.0,60.0,0,0
Region III (Central Luzon),"Olongapo, Zambales",olongapo zambales,2023-01-31,0.0,30.5,21.6,26.05,61.0,6.0,60.0,0,0
Region III (Central Luzon),"Olongapo, Zambales",olongapo zambales,2023-02-01,0.0,32.3,23.6,27.95,65.0,4.0,60.0,0,0
Region III (Central Luzon),"Olongapo, Zambales",olongapo zambales,2023-02-02,0.0,32.9,24.1,28.5,66.0,5.0,80.0,0,0
Region III (Central Luzon),"Olongapo, Zambales",olongapo zambales,2023-02-04,0.0,32.1,22.1,27.1,61.0,5.0,70.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-12-29,0.0,33.5,23.4,28.45,68.0,4.0,70.0,0,0
Region III (Central Luzon),"Olongapo, Zambales",olongapo zambales,2023-02-05,0.0,32.0,24.3,28.15,60.0,5.0,60.0,0,0
Region III (Central Luzon),"Olongapo, Zambales",olongapo zambales,2023-02-06,0.0,31.1,24.9,28.0,69.0,3.0,60.0,0,0
Region III (Central Luzon),"Olongapo, Zambales",olongapo zambales,2023-02-07,0.0,32.0,23.3,27.65,69.0,4.0,80.0,0,0
Region III (Central Luzon),"Olongapo, Zambales",olongapo zambales,2023-02-08,0.0,32.5,21.8,27.15,69.0,4.0,80.0,0,0
Region III (Central Luzon),"Olongapo, Zambales",olongapo zambales,2023-02-09,0.0,31.0,20.9,25.95,60.0,4.0,70.0,0,0
Region III (Central Luzon),"Olongapo, Zambales",olongapo zambales,2023-02-10,0.0,32.5,20.7,26.6,62.0,4.0,70.0,0,0
Region III (Central Luzon),"Olongapo, Zambales",olongapo zambales,2023-02-11,0.0,33.2,22.4,27.8,64.0,3.0,70.0,0,0
Region III (Central Luzon),"Olongapo, Zambales",olongapo zambales,2023-02-12,0.0,33.5,20.4,26.95,62.0,4.0,70.0,0,0
Region III (Central Luzon),"Olongapo, Zambales",olongapo zambales,2023-02-13,0.0,33.5,20.9,27.2,66.0,3.0,80.0,0,0
Region III (Central Luzon),"Olongapo, Zambales",olongapo zambales,2023-02-14,0.0,33.4,21.8,27.6,72.0,3.0,70.0,0,0
Region III (Central Luzon),"Olongapo, Zambales",olongapo zambales,2023-01-23,0.0,32.9,22.0,27.45,65.0,3.0,70.0,0,0
Region III (Central Luzon),"Olongapo, Zambales",olongapo zambales,2023-01-22,0.0,31.4,23.7,27.55,68.0,3.0,100.0,0,0
Region III (Central Luzon),"Olongapo, Zambales",olongapo zambales,2023-01-21,0.0,32.2,24.7,28.450000000000003,63.0,5.0,60.0,0,0
Region III (Central Luzon),"Olongapo, Zambales",olongapo zambales,2023-01-20,0.0,30.3,24.3,27.3,66.0,6.0,50.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-12-30,0.0,33.0,24.3,28.65,73.0,3.0,70.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-12-31,0.0,33.8,25.0,29.4,76.0,2.0,70.0,0,0
Region III (Central Luzon),"Olongapo, Zambales",olongapo zambales,2023-01-01,0.0,32.8,24.5,28.65,68.0,5.0,70.0,0,0
