Area,Area_Level,Region,Year,IncomeGroup,Value,Prelim_Flag
Pasig,Province,NCR,2023,5th Decile,11088.94,False
Pasig,Province,NCR,2023,6th Decile,12045.15,False
Pasig,Province,NCR,2023,7th Decile,13856.16,False
Pasig,Province,NCR,2023,8th Decile,13573.81,False
Pasig,Province,NCR,2023,9th Decile,16769.11,False
Pasig,Province,NCR,2023,All Income Groups,130765.02,False
Caloocan,Province,NCR,2018,10th Decile,28062.5,False
Caloocan,Province,NCR,2018,1st Decile,6913.78,False
Caloocan,Province,NCR,2018,2nd Decile,8804.2,False
Caloocan,Province,NCR,2018,3rd Decile,9527.75,False
Caloocan,Province,NCR,2018,4th Decile,11662.0,False
Caloocan,Province,NCR,2018,5th Decile,12364.79,False
Caloocan,Province,NCR,2018,6th Decile,13480.48,False
Caloocan,Province,NCR,2018,7th Decile,14232.14,False
Caloocan,Province,NCR,2018,8th Decile,16910.58,False
Caloocan,Province,NCR,2018,9th Decile,19393.07,False
Caloocan,Province,NCR,2018,All Income Groups,141351.28,False
Caloocan,Province,NCR,2021,10th Decile,22637.36,False
Caloocan,Province,NCR,2021,1st Decile,7449.83,False
Caloocan,Province,NCR,2021,2nd Decile,8654.86,False
Caloocan,Province,NCR,2021,3rd Decile,9641.16,False
Caloocan,Province,NCR,2021,4th Decile,10626.57,False
Caloocan,Province,NCR,2021,5th Decile,11525.44,False
Caloocan,Province,NCR,2021,6th Decile,12638.44,False
Caloocan,Province,NCR,2021,7th Decile,13693.4,False
Caloocan,Province,NCR,2021,8th Decile,15020.12,False
Caloocan,Province,NCR,2021,9th Decile,17998.65,False
Caloocan,Province,NCR,2021,All Income Groups,129885.82,False
Caloocan,Province,NCR,2023,10th Decile,23783.1,False
Caloocan,Province,NCR,2023,1st Decile,9714.43,False
Caloocan,Province,NCR,2023,2nd Decile,11273.81,False
Caloocan,Province,NCR,2023,3rd Decile,11602.38,False
Caloocan,Province,NCR,2023,4th Decile,13567.6,False
Caloocan,Province,NCR,2023,5th Decile,14658.11,False
Caloocan,Province,NCR,2023,6th Decile,15307.98,False
Caloocan,Province,NCR,2023,7th Decile,17141.94,False
Caloocan,Province,NCR,2023,8th Decile,18023.03,False
Caloocan,Province,NCR,2023,9th Decile,19089.52,False
Caloocan,Province,NCR,2023,All Income Groups,154161.91,False
Malabon,Province,NCR,2018,10th Decile,5484.72,False
Malabon,Province,NCR,2018,1st Decile,1866.51,False
Malabon,Province,NCR,2018,2nd Decile,2298.05,False
Malabon,Province,NCR,2018,3rd Decile,2408.53,False
Malabon,Province,NCR,2018,4th Decile,2682.49,False
Malabon,Province,NCR,2018,5th Decile,2647.08,False
Malabon,Province,NCR,2018,6th Decile,2968.51,False
Malabon,Province,NCR,2018,7th Decile,3298.03,False
Malabon,Province,NCR,2018,8th Decile,3918.36,False
Malabon,Province,NCR,2018,9th Decile,4178.4,False
Malabon,Province,NCR,2018,All Income Groups,31750.68,False
Malabon,Province,NCR,2021,10th Decile,5676.91,False
