Region,Province,City,year,month,EMP_w,observed,projection_reliance,ts_model
NCR,NCR,Muntinlupa City,2024,3,300063.9005688182,True,,
NCR,NCR,Muntinlupa City,2024,4,368332.09045345336,True,,
NCR,NCR,Muntinlupa City,2024,5,266731.1129170171,True,,
NCR,NCR,Muntinlupa City,2024,6,447784.67518954107,True,,
NCR,NCR,Muntinlupa City,2024,7,252757.3509323044,True,,
NCR,NCR,Muntinlupa City,2024,8,282507.94096427335,True,,
NCR,NCR,Muntinlupa City,2024,9,288135.6320872433,False,time_series,"ETS(A,?,A)_log"
NCR,NCR,Muntinlupa City,2024,10,311520.5497816206,False,time_series,"ETS(A,?,A)_log"
NCR,NCR,Muntinlupa City,2024,11,364979.33533712494,False,time_series,"ETS(A,?,A)_log"
NCR,NCR,Muntinlupa City,2024,12,323735.10444899177,False,time_series,"ETS(A,?,A)_log"
NCR,NCR,Navotas City,2024,1,75116.85223820132,True,,
NCR,NCR,Navotas City,2024,2,105925.05669239972,True,,
NCR,NCR,Navotas City,2024,3,71140.34310612005,True,,
NCR,NCR,Navotas City,2024,4,74968.16894161756,True,,
NCR,NCR,Navotas City,2024,5,110523.98486604192,True,,
NCR,NCR,Navotas City,2024,6,82207.50738217808,True,,
NCR,NCR,Navotas City,2024,7,80287.9547531796,True,,
NCR,NCR,Navotas City,2024,8,93190.58869051289,True,,
NCR,NCR,Navotas City,2024,9,75274.5524938512,False,time_series,seasonal_index
NCR,NCR,Navotas City,2024,10,72655.46657403975,False,time_series,seasonal_index
NCR,NCR,Navotas City,2024,11,91487.76231114657,False,time_series,seasonal_index
NCR,NCR,Navotas City,2024,12,81497.76195071144,False,time_series,seasonal_index
NCR,NCR,Paranaque City,2024,1,395053.86415291956,True,,
NCR,NCR,Paranaque City,2024,2,476501.1101651515,True,,
NCR,NCR,Paranaque City,2024,3,292677.963903583,True,,
NCR,NCR,Paranaque City,2024,4,401986.0556118343,True,,
NCR,NCR,Paranaque City,2024,5,386504.6950095928,True,,
NCR,NCR,Paranaque City,2024,6,408312.8810440973,True,,
NCR,NCR,Paranaque City,2024,7,413624.0923985891,True,,
NCR,NCR,Paranaque City,2024,8,398099.70578123024,True,,
NCR,NCR,Paranaque City,2024,9,389366.65784689016,False,time_series,"ETS(A,?,A)_log"
NCR,NCR,Paranaque City,2024,10,411076.2433505929,False,time_series,"ETS(A,?,A)_log"
NCR,NCR,Paranaque City,2024,11,416083.6620095314,False,time_series,"ETS(A,?,A)_log"
NCR,NCR,Paranaque City,2024,12,366976.06872598774,False,time_series,"ETS(A,?,A)_log"
NCR,NCR,Pasay City,2024,1,321980.60941278026,True,,
NCR,NCR,Pasay City,2024,2,319889.6996985608,True,,
NCR,NCR,Pasay City,2024,3,270527.27712097386,True,,
NCR,NCR,Pasay City,2024,4,315968.02607333555,True,,
NCR,NCR,Pasay City,2024,5,340802.69415615953,True,,
NCR,NCR,Pasay City,2024,6,331534.87812556507,True,,
NCR,NCR,Pasay City,2024,7,339845.9032244897,True,,
NCR,NCR,Pasay City,2024,8,294408.077258681,True,,
NCR,NCR,Pasay City,2024,9,355486.149157491,False,time_series,"ETS(A,?,A)_log"
NCR,NCR,Pasay City,2024,10,338278.0293686875,False,time_series,"ETS(A,?,A)_log"
NCR,NCR,Pasay City,2024,11,328436.5828496512,False,time_series,"ETS(A,?,A)_log"
NCR,NCR,Pasay City,2024,12,345462.5735536246,False,time_series,"ETS(A,?,A)_log"
NCR,NCR,Pasig City,2024,1,536106.9555693622,True,,
NCR,NCR,Pasig City,2024,2,502388.284379822,True,,
NCR,NCR,Pasig City,2024,3,593310.899921876,True,,
NCR,NCR,Pasig City,2024,4,526180.8096889235,True,,
NCR,NCR,Pasig City,2024,5,551714.7640998563,True,,
NCR,NCR,Pasig City,2024,6,527068.5382023283,True,,
NCR,NCR,Pasig City,2024,7,556783.9241003022,True,,
NCR,NCR,Pasig City,2024,8,526522.0897600295,True,,
NCR,NCR,Pasig City,2024,9,531989.8393636026,False,time_series,"ETS(A,?,A)_log"
NCR,NCR,Pasig City,2024,10,548053.3212124457,False,time_series,"ETS(A,?,A)_log"
NCR,NCR,Pasig City,2024,11,517175.2394601664,False,time_series,"ETS(A,?,A)_log"
NCR,NCR,Pasig City,2024,12,557501.8342412865,False,time_series,"ETS(A,?,A)_log"
NCR,NCR,Quezon City,2024,1,1742223.0507805978,True,,
NCR,NCR,Quezon City,2024,2,1682590.7097433463,True,,
NCR,NCR,Quezon City,2024,3,2057731.768430691,True,,
NCR,NCR,Quezon City,2024,4,1786168.4185504161,True,,
NCR,NCR,Quezon City,2024,5,1806716.3678379352,True,,
NCR,NCR,Quezon City,2024,6,1906621.537776889,True,,
NCR,NCR,Quezon City,2024,7,1738935.736319302,True,,
NCR,NCR,Quezon City,2024,8,1776386.8957256852,True,,
NCR,NCR,Quezon City,2024,9,1762267.7170892563,False,time_series,"ETS(A,?,A)_log"
NCR,NCR,Quezon City,2024,10,1810940.6448681222,False,time_series,"ETS(A,?,A)_log"
NCR,NCR,Quezon City,2024,11,1892331.019640981,False,time_series,"ETS(A,?,A)_log"
