Area,Area_Level,Region,IncomeGroup,Value_2018,Value_2021,Value_2023,pct_change_2018_2021,pct_change_2021_2023
Pateros,Province,NCR,9th Decile,799.69,628.52,1004.92,-21.40454426,59.886718
Pateros,Province,NCR,All Income Groups,6132.02,5094.35,7135.91,-16.92215616,40.07498503
Quezon,Province,Region IV-A (Calabarzon),10th Decile,28573.92,27950.32,28906.68,-2.182409694,3.4216424
Quezon,Province,Region IV-A (Calabarzon),1st Decile,4739.06,4796.6,7148.38,1.214164834,49.03014635
Quezon,Province,Region IV-A (Calabarzon),2nd Decile,5987.2,6300.99,8407.99,5.241014164,33.43918971
Quezon,Province,Region IV-A (Calabarzon),3rd Decile,6970.13,6944.43,8616.78,-0.368716222,24.08189009
Quezon,Province,Region IV-A (Calabarzon),4th Decile,7203.8,7537.52,9397.29,4.63255504,24.67350004
Quezon,Province,Region IV-A (Calabarzon),5th Decile,8103.12,7933.01,9531.77,-2.099314832,20.15325835
Quezon,Province,Region IV-A (Calabarzon),6th Decile,8451.44,8672.98,10208.91,2.621328436,17.70936864
Quezon,Province,Region IV-A (Calabarzon),7th Decile,9884.88,10094.18,11630.54,2.117375224,15.22025563
Quezon,Province,Region IV-A (Calabarzon),8th Decile,11712.3,11324.58,13607.76,-3.310366025,20.1612775
Quezon,Province,Region IV-A (Calabarzon),9th Decile,14244.78,14262.63,14819.26,0.125309061,3.902716399
Quezon,Province,Region IV-A (Calabarzon),All Income Groups,105870.62,105817.25,122275.35,-0.050410586,15.55332425
Quezon City,HUC/City,NCR,10th Decile,77346.23,72498.44,74062.25,-6.267648727,2.157025724
Quezon City,HUC/City,NCR,1st Decile,16200.91,17265.27,20501.01,6.569754415,18.7413229
Quezon City,HUC/City,NCR,2nd Decile,19913.52,19203.69,25201.84,-3.564563171,31.23436173
Quezon City,HUC/City,NCR,3rd Decile,20545.99,22399.5,24932.28,9.021273738,11.30730597
Quezon City,HUC/City,NCR,4th Decile,23706.56,23882.82,29128.12,0.743507282,21.9626493
Quezon City,HUC/City,NCR,5th Decile,26909.54,27449.09,30704.25,2.005050997,11.85889951
Quezon City,HUC/City,NCR,6th Decile,30034.67,27241.02,31496.79,-9.301417329,15.6226529
Quezon City,HUC/City,NCR,7th Decile,35953.16,31191.57,36983.61,-13.24387064,18.56924804
Quezon City,HUC/City,NCR,8th Decile,39623.6,35536.29,41553.4,-10.31534237,16.93229653
Quezon City,HUC/City,NCR,9th Decile,50215.87,39199.81,44645.26,-21.93740744,13.89152141
Quezon City,HUC/City,NCR,All Income Groups,340450.04,315867.49,359208.8,-7.220604233,13.72135828
Region Iii - Central Luzon,Region,Region III (Central Luzon),10th Decile,220170.62,222486.26,222290.8,1.051747958,-0.087852616
Region Iii - Central Luzon,Region,Region III (Central Luzon),1st Decile,40704.13,45272.97,62324.78,11.22451211,37.66443863
Region Iii - Central Luzon,Region,Region III (Central Luzon),2nd Decile,53981.85,58542.73,78402.18,8.448913848,33.92299949
Region Iii - Central Luzon,Region,Region III (Central Luzon),3rd Decile,61209.2,67233.02,88461.46,9.841363717,31.57442578
Region Iii - Central Luzon,Region,Region III (Central Luzon),4th Decile,68448.76,71139.71,95915.16,3.931334914,34.82647034
Region Iii - Central Luzon,Region,Region III (Central Luzon),5th Decile,74945.19,80694.12,102489.34,7.670845854,27.00967555
Region Iii - Central Luzon,Region,Region III (Central Luzon),6th Decile,85259.16,90308.7,112017.76,5.922577703,24.03872495
Region Iii - Central Luzon,Region,Region III (Central Luzon),7th Decile,92157.39,98768.22,122421.89,7.173412789,23.94866486
Region Iii - Central Luzon,Region,Region III (Central Luzon),8th Decile,105258.82,113102.82,134118.59,7.452107101,18.58111937
Region Iii - Central Luzon,Region,Region III (Central Luzon),9th Decile,127463.19,134972.99,153606.87,5.891740196,13.80563622
Region Iii - Central Luzon,Region,Region III (Central Luzon),All Income Groups,929598.3,982521.54,1172048.83,5.693130033,19.28988651
Rizal,Province,Region IV-A (Calabarzon),10th Decile,90025.73,78266.59,107718.31,-13.06197684,37.63000279
Rizal,Province,Region IV-A (Calabarzon),1st Decile,13703.73,15356.55,16888.04,12.06109577,9.972878023
Rizal,Province,Region IV-A (Calabarzon),2nd Decile,18250.45,18889.84,20830.74,3.503420464,10.27483557
Rizal,Province,Region IV-A (Calabarzon),3rd Decile,20804.79,21328.7,24165.49,2.51821816,13.30034179
Rizal,Province,Region IV-A (Calabarzon),4th Decile,22669.76,23396.67,27081.26,3.206518287,15.74835222
Rizal,Province,Region IV-A (Calabarzon),5th Decile,25312.35,26240.96,28256.09,3.668604456,7.679330329
Rizal,Province,Region IV-A (Calabarzon),6th Decile,29400.4,27043.22,31842.8,-8.017509966,17.74781258
Rizal,Province,Region IV-A (Calabarzon),7th Decile,31899.29,32114.31,40224.12,0.67405889,25.25294798
Rizal,Province,Region IV-A (Calabarzon),8th Decile,35762.28,34946.29,44402.91,-2.281705753,27.06044046
Rizal,Province,Region IV-A (Calabarzon),9th Decile,46075.02,44667.49,52516.61,-3.054865739,17.57233281
Rizal,Province,Region IV-A (Calabarzon),All Income Groups,333903.8,322250.62,393926.36,-3.489981246,22.24223494
San Juan,Province,NCR,10th Decile,5366.1,3518.9,6886.4,-34.42351056,95.69751911
San Juan,Province,NCR,1st Decile,667.05,869.95,927.18,30.41750993,6.578538996
San Juan,Province,NCR,2nd Decile,902.46,924.42,1427.25,2.433348846,54.39410657
San Juan,Province,NCR,3rd Decile,968.66,1228.94,1480.95,26.87010922,20.50628997
San Juan,Province,NCR,4th Decile,1100.89,1177.94,1511.59,6.998882722,28.32487223
San Juan,Province,NCR,5th Decile,1314.67,1465.38,1722.84,11.46371333,17.56950416
San Juan,Province,NCR,6th Decile,1406.52,1263.61,2020.34,-10.16053807,59.88635734
San Juan,Province,NCR,7th Decile,1623.23,1698.37,2265.23,4.629042095,33.37670826
San Juan,Province,NCR,8th Decile,1623.09,1634.49,1851.47,0.702364009,13.27508887
San Juan,Province,NCR,9th Decile,2051.87,2058.52,4226.9,0.324094606,105.3368439
San Juan,Province,NCR,All Income Groups,17024.55,15840.53,24320.15,-6.954780009,53.53116341
Taguig,Province,NCR,10th Decile,18998.48,19035.96,37096.64,0.19727894,94.87664399
Taguig,Province,NCR,1st Decile,5017.77,5348.52,6801.57,6.591573548,27.16732853
Taguig,Province,NCR,2nd Decile,6478.48,6852.11,8700.42,5.767247873,26.97431886
Taguig,Province,NCR,3rd Decile,7514.66,7221.94,10205.81,-3.895319283,41.31673761
Taguig,Province,NCR,4th Decile,7850.06,8291.47,11041.54,5.623014346,33.16746005
Taguig,Province,NCR,5th Decile,8255.89,8354.49,11741.16,1.194298858,40.53712435
Taguig,Province,NCR,6th Decile,9784.64,9219.16,14197.15,-5.779262191,53.99613414
Taguig,Province,NCR,7th Decile,11108.71,10476.48,14585.42,-5.69129989,39.22061608
Taguig,Province,NCR,8th Decile,12214.75,11279.65,17123.33,-7.655498475,51.80728125
Taguig,Province,NCR,9th Decile,12492.74,13546.87,18880.56,8.437940756,39.37212064
Taguig,Province,NCR,All Income Groups,99716.19,99626.64,150373.59,-0.089804875,50.93712886
Tarlac,Province,Region III (Central Luzon),10th Decile,20841.0,24773.83,27268.5,18.8706396,10.06977928
Tarlac,Province,Region III (Central Luzon),1st Decile,4231.54,5397.04,6617.01,27.54316395,22.60442761
Tarlac,Province,Region III (Central Luzon),2nd Decile,5327.98,6497.31,9334.0,21.94696677,43.65945291
Tarlac,Province,Region III (Central Luzon),3rd Decile,6496.71,7184.48,10067.02,10.58643529,40.12176247
Tarlac,Province,Region III (Central Luzon),4th Decile,6466.49,8173.06,10914.86,26.39097872,33.54679887
Tarlac,Province,Region III (Central Luzon),5th Decile,7405.57,8117.4,11876.29,9.612089279,46.306576
Tarlac,Province,Region III (Central Luzon),6th Decile,7916.9,9527.58,12847.06,20.34483194,34.84074655
Tarlac,Province,Region III (Central Luzon),7th Decile,9239.0,10801.66,12848.77,16.91373525,18.95180926
Tarlac,Province,Region III (Central Luzon),8th Decile,10547.86,12190.41,14509.09,15.57235306,19.02052515
Tarlac,Province,Region III (Central Luzon),9th Decile,13060.01,15315.64,18206.08,17.27127315,18.87247284
Tarlac,Province,Region III (Central Luzon),All Income Groups,91533.05,107978.41,134488.68,17.96658147,24.55145431
Valenzuela,Province,NCR,10th Decile,11164.38,10631.65,11374.83,-4.771693547,6.990260214
Valenzuela,Province,NCR,1st Decile,3463.15,3450.18,4429.33,-0.374514532,28.37967874
Valenzuela,Province,NCR,2nd Decile,4296.1,4106.42,4856.89,-4.415167245,18.27552954
Valenzuela,Province,NCR,3rd Decile,4310.59,4563.09,5187.11,5.857666816,13.67538225
Valenzuela,Province,NCR,4th Decile,5109.59,5289.66,5997.13,3.524157516,13.37458362
Valenzuela,Province,NCR,5th Decile,5256.32,5260.84,6898.67,0.08599172,31.13248074
Valenzuela,Province,NCR,6th Decile,6258.84,5728.56,7275.01,-8.472496501,26.99544039
Valenzuela,Province,NCR,7th Decile,6012.56,6971.48,7464.16,15.94861423,7.067079013
Valenzuela,Province,NCR,8th Decile,6724.42,7374.7,8269.32,9.670425107,12.13093414
Valenzuela,Province,NCR,9th Decile,7517.83,9328.28,8139.7,24.0820822,-12.74168443
Valenzuela,Province,NCR,All Income Groups,60113.79,62704.85,69892.16,4.310258927,11.46212773
Zambales,Province,Region III (Central Luzon),10th Decile,11264.34,9627.91,10483.62,-14.52752669,8.887806388
Zambales,Province,Region III (Central Luzon),1st Decile,1936.71,2308.95,3028.96,19.22022399,31.18343836
Zambales,Province,Region III (Central Luzon),2nd Decile,2672.41,2522.44,3585.27,-5.61178861,42.13499627
Zambales,Province,Region III (Central Luzon),3rd Decile,2950.4,2911.45,4008.02,-1.320159978,37.66405056
Zambales,Province,Region III (Central Luzon),4th Decile,3119.7,3143.7,4321.68,0.769304741,37.47113274
Zambales,Province,Region III (Central Luzon),5th Decile,3333.45,3492.34,4762.56,4.766533171,36.37160185
Zambales,Province,Region III (Central Luzon),6th Decile,4066.04,3715.66,4842.27,-8.61722954,30.32058907
Zambales,Province,Region III (Central Luzon),7th Decile,4757.47,4233.61,6020.65,-11.01131484,42.21078465
Zambales,Province,Region III (Central Luzon),8th Decile,5337.52,4568.97,5964.7,-14.39900928,30.54802286
Zambales,Province,Region III (Central Luzon),9th Decile,6511.52,6227.76,6981.47,-4.357815072,12.10242527
Zambales,Province,Region III (Central Luzon),All Income Groups,45949.56,42752.79,53999.2,-6.957128643,26.30567502
