Region,Area_display,Area_slug,Year,GRDP_Current,GRDP_Const2018,GRDP_Growth
Region IV-A (CALABARZON),Quezon,quezon,2018,2706994745.0,2706994745.0,7.094938479596702
Region IV-A (CALABARZON),Quezon,quezon,2019,2865792547.0,2831599919.0,4.60308148843489
Region IV-A (CALABARZON),Quezon,quezon,2020,2565120461.0,2534444265.0,-10.494266933901551
Region IV-A (CALABARZON),Quezon,quezon,2021,2785990792.0,2728935837.0,7.673933677922085
Region IV-A (CALABARZON),Quezon,quezon,2022,3140377483.0,2942514950.0,7.826461513100069
Region IV-A (CALABARZON),Quezon,quezon,2023,3436079161.0,3095255701.0,5.190823278569923
Region IV-A (CALABARZON),Rizal,rizal,2000,601691426.0,1050505077.0,
Region IV-A (CALABARZON),Rizal,rizal,2001,671228264.0,1068135114.0,1.678243864403517
Region IV-A (CALABARZON),Rizal,rizal,2002,713061159.0,1120500727.0,4.902527059886541
Region IV-A (CALABARZON),Rizal,rizal,2003,788436127.0,1179350176.0,5.2520670073603615
Region IV-A (CALABARZON),Rizal,rizal,2004,881529587.0,1244396888.0,5.515470580639481
Region IV-A (CALABARZON),Rizal,rizal,2005,987614867.0,1310160075.0,5.284743768983136
Region IV-A (CALABARZON),Rizal,rizal,2006,1093698856.0,1369674210.0,4.5425086701714745
Region IV-A (CALABARZON),Rizal,rizal,2007,1194749373.0,1446188225.0,5.586293035334289
Region IV-A (CALABARZON),Rizal,rizal,2008,1286125893.0,1497994676.0,3.582275813371383
Region IV-A (CALABARZON),Rizal,rizal,2009,1283795207.0,1486472826.0,-0.7691515987737763
Region IV-A (CALABARZON),Rizal,rizal,2010,1486403920.0,1638482343.0,10.2261887564435
Region IV-A (CALABARZON),Rizal,rizal,2011,1582459854.0,1676719329.0,2.333683128375341
Region IV-A (CALABARZON),Rizal,rizal,2012,1721867470.0,1809708699.0,7.931522449813655
Region IV-A (CALABARZON),Rizal,rizal,2013,1847878662.0,1942476533.0,7.336420169354563
Region IV-A (CALABARZON),Rizal,rizal,2014,2006907506.0,2054936917.0,5.789536300153597
Region IV-A (CALABARZON),Rizal,rizal,2015,2076801161.0,2196313576.0,6.879853966826177
Region IV-A (CALABARZON),Rizal,rizal,2016,2206254090.0,2346818115.0,6.852597946150474
Region IV-A (CALABARZON),Rizal,rizal,2017,2423069480.0,2527658901.0,7.705786181047958
Region IV-A (CALABARZON),Rizal,rizal,2018,2706994745.0,2706994745.0,7.094938479596702
Region IV-A (CALABARZON),Rizal,rizal,2019,2865792547.0,2831599919.0,4.60308148843489
Region IV-A (CALABARZON),Rizal,rizal,2020,2565120461.0,2534444265.0,-10.494266933901551
Region IV-A (CALABARZON),Rizal,rizal,2021,2785990792.0,2728935837.0,7.673933677922085
Region IV-A (CALABARZON),Rizal,rizal,2022,3140377483.0,2942514950.0,7.826461513100069
Region IV-A (CALABARZON),Rizal,rizal,2023,3436079161.0,3095255701.0,5.190823278569923
