Region,Year,Const2018,Current,Consumption_Growth,Area_display,Area_slug,Consumption_Source_Granularity,Is_Broadcast
NCR,2023,245606,291144,4.7275487273952255,Manila,manila,region,1
NCR,2023,245606,291144,4.7275487273952255,Marikina,marikina,region,1
NCR,2023,245606,291144,4.7275487273952255,Muntinlupa,muntinlupa,region,1
NCR,2023,245606,291144,4.7275487273952255,Navotas,navotas,region,1
NCR,2023,245606,291144,4.7275487273952255,Parañaque,paranaque,region,1
NCR,2023,245606,291144,4.7275487273952255,Pasay City,pasay city,region,1
NCR,2023,245606,291144,4.7275487273952255,Pasig,pasig,region,1
NCR,2023,245606,291144,4.7275487273952255,Pateros,pateros,region,1
NCR,2023,245606,291144,4.7275487273952255,Quezon City,quezon city,region,1
NCR,2023,245606,291144,4.7275487273952255,San Juan,san juan,region,1
NCR,2023,245606,291144,4.7275487273952255,Taguig,taguig,region,1
NCR,2023,245606,291144,4.7275487273952255,Valenzuela,valenzuela,region,1
Region III (Central Luzon),2018,151004,151004,,Angeles,angeles,region,1
Region III (Central Luzon),2018,151004,151004,,Aurora,aurora,region,1
Region III (Central Luzon),2018,151004,151004,,Bataan,bataan,region,1
Region III (Central Luzon),2018,151004,151004,,Bulacan,bulacan,region,1
Region III (Central Luzon),2018,151004,151004,,Nueva Ecija,nueva ecija,region,1
Region III (Central Luzon),2018,151004,151004,,Olongapo,olongapo,region,1
Region III (Central Luzon),2018,151004,151004,,Pampanga,pampanga,region,1
Region III (Central Luzon),2018,151004,151004,,Tarlac,tarlac,region,1
Region III (Central Luzon),2018,151004,151004,,Zambales,zambales,region,1
Region III (Central Luzon),2019,156501,160106,3.64030091918095,Angeles,angeles,region,1
Region III (Central Luzon),2019,156501,160106,3.64030091918095,Aurora,aurora,region,1
Region III (Central Luzon),2019,156501,160106,3.64030091918095,Bataan,bataan,region,1
Region III (Central Luzon),2019,156501,160106,3.64030091918095,Bulacan,bulacan,region,1
Region III (Central Luzon),2019,156501,160106,3.64030091918095,Nueva Ecija,nueva ecija,region,1
Region III (Central Luzon),2019,156501,160106,3.64030091918095,Olongapo,olongapo,region,1
Region III (Central Luzon),2019,156501,160106,3.64030091918095,Pampanga,pampanga,region,1
Region III (Central Luzon),2019,156501,160106,3.64030091918095,Tarlac,tarlac,region,1
Region III (Central Luzon),2019,156501,160106,3.64030091918095,Zambales,zambales,region,1
Region III (Central Luzon),2020,142924,149709,-8.675343927514845,Angeles,angeles,region,1
Region III (Central Luzon),2020,142924,149709,-8.675343927514845,Aurora,aurora,region,1
Region III (Central Luzon),2020,142924,149709,-8.675343927514845,Bataan,bataan,region,1
Region III (Central Luzon),2020,142924,149709,-8.675343927514845,Bulacan,bulacan,region,1
Region III (Central Luzon),2020,142924,149709,-8.675343927514845,Nueva Ecija,nueva ecija,region,1
Region III (Central Luzon),2020,142924,149709,-8.675343927514845,Olongapo,olongapo,region,1
Region III (Central Luzon),2020,142924,149709,-8.675343927514845,Pampanga,pampanga,region,1
Region III (Central Luzon),2020,142924,149709,-8.675343927514845,Tarlac,tarlac,region,1
Region III (Central Luzon),2020,142924,149709,-8.675343927514845,Zambales,zambales,region,1
Region III (Central Luzon),2021,142223,155646,-0.49047045982479887,Angeles,angeles,region,1
Region III (Central Luzon),2021,142223,155646,-0.49047045982479887,Aurora,aurora,region,1
Region III (Central Luzon),2021,142223,155646,-0.49047045982479887,Bataan,bataan,region,1
Region III (Central Luzon),2021,142223,155646,-0.49047045982479887,Bulacan,bulacan,region,1
Region III (Central Luzon),2021,142223,155646,-0.49047045982479887,Nueva Ecija,nueva ecija,region,1
Region III (Central Luzon),2021,142223,155646,-0.49047045982479887,Olongapo,olongapo,region,1
Region III (Central Luzon),2021,142223,155646,-0.49047045982479887,Pampanga,pampanga,region,1
Region III (Central Luzon),2021,142223,155646,-0.49047045982479887,Tarlac,tarlac,region,1
Region III (Central Luzon),2021,142223,155646,-0.49047045982479887,Zambales,zambales,region,1
Region III (Central Luzon),2022,150809,176296,6.036998235165902,Angeles,angeles,region,1
Region III (Central Luzon),2022,150809,176296,6.036998235165902,Aurora,aurora,region,1
Region III (Central Luzon),2022,150809,176296,6.036998235165902,Bataan,bataan,region,1
Region III (Central Luzon),2022,150809,176296,6.036998235165902,Bulacan,bulacan,region,1
Region III (Central Luzon),2022,150809,176296,6.036998235165902,Nueva Ecija,nueva ecija,region,1
Region III (Central Luzon),2022,150809,176296,6.036998235165902,Olongapo,olongapo,region,1
Region III (Central Luzon),2022,150809,176296,6.036998235165902,Pampanga,pampanga,region,1
Region III (Central Luzon),2022,150809,176296,6.036998235165902,Tarlac,tarlac,region,1
Region III (Central Luzon),2022,150809,176296,6.036998235165902,Zambales,zambales,region,1
Region III (Central Luzon),2023,157109,194820,4.177469514418908,Angeles,angeles,region,1
Region III (Central Luzon),2023,157109,194820,4.177469514418908,Aurora,aurora,region,1
Region III (Central Luzon),2023,157109,194820,4.177469514418908,Bataan,bataan,region,1
Region III (Central Luzon),2023,157109,194820,4.177469514418908,Bulacan,bulacan,region,1
Region III (Central Luzon),2023,157109,194820,4.177469514418908,Nueva Ecija,nueva ecija,region,1
Region III (Central Luzon),2023,157109,194820,4.177469514418908,Olongapo,olongapo,region,1
Region III (Central Luzon),2023,157109,194820,4.177469514418908,Pampanga,pampanga,region,1
Region III (Central Luzon),2023,157109,194820,4.177469514418908,Tarlac,tarlac,region,1
Region III (Central Luzon),2023,157109,194820,4.177469514418908,Zambales,zambales,region,1
Region IV-A (CALABARZON),2018,142974,142974,,Batangas,batangas,region,1
Region IV-A (CALABARZON),2018,142974,142974,,Cavite,cavite,region,1
Region IV-A (CALABARZON),2018,142974,142974,,Laguna,laguna,region,1
Region IV-A (CALABARZON),2018,142974,142974,,Lucena,lucena,region,1
Region IV-A (CALABARZON),2018,142974,142974,,Quezon,quezon,region,1
Region IV-A (CALABARZON),2018,142974,142974,,Rizal,rizal,region,1
Region IV-A (CALABARZON),2019,148586,151565,3.925189195238299,Batangas,batangas,region,1
Region IV-A (CALABARZON),2019,148586,151565,3.925189195238299,Cavite,cavite,region,1
Region IV-A (CALABARZON),2019,148586,151565,3.925189195238299,Laguna,laguna,region,1
Region IV-A (CALABARZON),2019,148586,151565,3.925189195238299,Lucena,lucena,region,1
Region IV-A (CALABARZON),2019,148586,151565,3.925189195238299,Quezon,quezon,region,1
Region IV-A (CALABARZON),2019,148586,151565,3.925189195238299,Rizal,rizal,region,1
Region IV-A (CALABARZON),2020,133961,139881,-9.842784649967019,Batangas,batangas,region,1
Region IV-A (CALABARZON),2020,133961,139881,-9.842784649967019,Cavite,cavite,region,1
Region IV-A (CALABARZON),2020,133961,139881,-9.842784649967019,Laguna,laguna,region,1
Region IV-A (CALABARZON),2020,133961,139881,-9.842784649967019,Lucena,lucena,region,1
Region IV-A (CALABARZON),2020,133961,139881,-9.842784649967019,Quezon,quezon,region,1
Region IV-A (CALABARZON),2020,133961,139881,-9.842784649967019,Rizal,rizal,region,1
Region IV-A (CALABARZON),2021,137597,149639,2.7142227961869603,Batangas,batangas,region,1
Region IV-A (CALABARZON),2021,137597,149639,2.7142227961869603,Cavite,cavite,region,1
Region IV-A (CALABARZON),2021,137597,149639,2.7142227961869603,Laguna,laguna,region,1
Region IV-A (CALABARZON),2021,137597,149639,2.7142227961869603,Lucena,lucena,region,1
Region IV-A (CALABARZON),2021,137597,149639,2.7142227961869603,Quezon,quezon,region,1
Region IV-A (CALABARZON),2021,137597,149639,2.7142227961869603,Rizal,rizal,region,1
Region IV-A (CALABARZON),2022,146502,167133,6.471798076992963,Batangas,batangas,region,1
Region IV-A (CALABARZON),2022,146502,167133,6.471798076992963,Cavite,cavite,region,1
Region IV-A (CALABARZON),2022,146502,167133,6.471798076992963,Laguna,laguna,region,1
Region IV-A (CALABARZON),2022,146502,167133,6.471798076992963,Lucena,lucena,region,1
Region IV-A (CALABARZON),2022,146502,167133,6.471798076992963,Quezon,quezon,region,1
Region IV-A (CALABARZON),2022,146502,167133,6.471798076992963,Rizal,rizal,region,1
Region IV-A (CALABARZON),2023,152754,182567,4.2675185321702,Batangas,batangas,region,1
Region IV-A (CALABARZON),2023,152754,182567,4.2675185321702,Cavite,cavite,region,1
Region IV-A (CALABARZON),2023,152754,182567,4.2675185321702,Laguna,laguna,region,1
Region IV-A (CALABARZON),2023,152754,182567,4.2675185321702,Lucena,lucena,region,1
Region IV-A (CALABARZON),2023,152754,182567,4.2675185321702,Quezon,quezon,region,1
Region IV-A (CALABARZON),2023,152754,182567,4.2675185321702,Rizal,rizal,region,1
