Area,Area_Level,Region,Year,IncomeGroup,Value,Prelim_Flag
Mandaluyong,Province,NCR,2023,9th Decile,12524.95,TRUE
Mandaluyong,Province,NCR,2023,All Income Groups,93875.35,TRUE
San Juan,Province,NCR,2018,10th Decile,5366.1,FALSE
San Juan,Province,NCR,2018,1st Decile,667.05,FALSE
San Juan,Province,NCR,2018,2nd Decile,902.46,FALSE
San Juan,Province,NCR,2018,3rd Decile,968.66,FALSE
San Juan,Province,NCR,2018,4th Decile,1100.89,FALSE
San Juan,Province,NCR,2018,5th Decile,1314.67,FALSE
San Juan,Province,NCR,2018,6th Decile,1406.52,FALSE
San Juan,Province,NCR,2018,7th Decile,1623.23,FALSE
San Juan,Province,NCR,2018,8th Decile,1623.09,FALSE
San Juan,Province,NCR,2018,9th Decile,2051.87,FALSE
San Juan,Province,NCR,2018,All Income Groups,17024.55,FALSE
San Juan,Province,NCR,2021,10th Decile,3518.9,FALSE
San Juan,Province,NCR,2021,1st Decile,869.95,FALSE
San Juan,Province,NCR,2021,2nd Decile,924.42,FALSE
San Juan,Province,NCR,2021,3rd Decile,1228.94,FALSE
San Juan,Province,NCR,2021,4th Decile,1177.94,FALSE
San Juan,Province,NCR,2021,5th Decile,1465.38,FALSE
San Juan,Province,NCR,2021,6th Decile,1263.61,FALSE
San Juan,Province,NCR,2021,7th Decile,1698.37,FALSE
San Juan,Province,NCR,2021,8th Decile,1634.49,FALSE
San Juan,Province,NCR,2021,9th Decile,2058.52,FALSE
San Juan,Province,NCR,2021,All Income Groups,15840.53,FALSE
San Juan,Province,NCR,2023,10th Decile,6886.4,TRUE
San Juan,Province,NCR,2023,1st Decile,927.18,TRUE
San Juan,Province,NCR,2023,2nd Decile,1427.25,TRUE
San Juan,Province,NCR,2023,3rd Decile,1480.95,TRUE
San Juan,Province,NCR,2023,4th Decile,1511.59,TRUE
San Juan,Province,NCR,2023,5th Decile,1722.84,TRUE
