Region,Area_display,Area_slug,price,price_per_sqm_floor,price_per_sqm_land,bedrooms,bathrooms,floor_area,land_area,latitude,longitude,description,location
NCR,Muntinlupa,muntinlupa,24000000,96000.0,80000.0,4.0,,250.0,300.0,14.4569804,121.0531587,For Sale: House and Lot in Sucat Muntinlupa (Pre-owned) w/ 2 Car Garage,"Sucat, Muntinlupa"
NCR,Pasig,pasig,25500000,72857.14286,170000.0,7.0,6.0,350.0,150.0,14.5658684,121.0855568,Modern Asian 3-Storey House with Pool in Greenwoods Executive Village Pasig City,"San Miguel, Pasig"
NCR,Marikina,marikina,6500000,21666.66667,17105.26316,5.0,3.0,300.0,380.0,14.6510742,121.1038227,"Unfinished House and Lot for Sale in Concepcion Uno, Marikina","Concepcion Uno, Marikina"
NCR,Muntinlupa,muntinlupa,13000000,92857.14286,54166.66667,3.0,3.0,140.0,240.0,14.3801129,121.0514828,"Alyza Single Detached in Victoria South of Alabang, Muntinlupa","Tunasan, Muntinlupa"
NCR,Pasig,pasig,25000000,65789.47368,166666.6667,6.0,6.0,380.0,150.0,14.5658684,121.0855568,"Modern Contemporary House for sale in Greenwoods Pasig city near Taguig, Makati","San Miguel, Pasig"
NCR,Quezon City,quezon city,5480000,58063.14897,91333.33333,3.0,2.0,94.38,60.0,,,Single Attached House and Lot For Sale in Zabarte Subd. Quezon City,"Penguin St., Zabarte Subd., Quezon City Kaligayahan, Quezon City"
NCR,Marikina,marikina,6500000,80246.91358,73189.95609,3.0,2.0,81.0,88.81,14.6589442,121.1118171,Preselling 3 Bedroom 2 Carpark In Parang Marikina,"Parang, Marikina"
NCR,Quezon City,quezon city,6950000,72395.83333,115833.3333,3.0,3.0,96.0,60.0,14.7055228,121.0742821,Townhouse For Sale in North Fairview with 1 Car Garage and 3 Bedrooms. PH2594,"Fairview, Quezon City"
NCR,Muntinlupa,muntinlupa,63500000,90714.28571,138043.4783,7.0,7.0,700.0,460.0,14.4185637,121.0447216,"7 Bedroom House and Lot For Sale at Muntinlupa, Metro Manila","Alabang, Muntinlupa"
NCR,Marikina,marikina,6600000,47142.85714,94285.71429,4.0,2.0,140.0,70.0,,,RFO 2 Storey Townhouse For Sale w/ 4BR in Marikina Heights PH2886,"Panorama St, 1811 Marikina, Philippines Marikina Heights, Marikina"
NCR,Muntinlupa,muntinlupa,50000000,105263.1579,147928.9941,4.0,4.0,475.0,338.0,14.3801129,121.0514828,"Modern 4BR House and Lot for sale - Lindenwood, Muntinlupa City","Tunasan, Muntinlupa"
NCR,Quezon City,quezon city,13000000,72222.22222,216666.6667,3.0,3.0,180.0,60.0,14.6361294,121.0335841,"Duplex House For Sale in New Intramuros Village, Quezon City","Diliman, Quezon City"
NCR,Quezon City,quezon city,10900000,77857.14286,136250.0,3.0,1.0,140.0,80.0,14.6679427,121.0340442,"80 sqm Lot with 3 Bedrooms near Congressional, Quezon City","Congressional Avenue, Quezon City"
NCR,Caloocan,caloocan,4438000,61638.88889,55475.0,3.0,2.0,72.0,80.0,14.7547818,121.0256669,For Sale: Single Attached 3 bedrooms in Caloocan nr in SM Fairview with parking,"Saranay Road Bagumbong Caloocan City Bagumbong, Caloocan"
NCR,Pasig,pasig,7000000,63636.36364,95890.41096,3.0,3.0,110.0,73.0,,,"2-Storey Townhouse for sale in Rosario, Pasig City, Metro Manila","De Castro Ave, Pasig, Philippines Rosario, Pasig"
NCR,Quezon City,quezon city,22600000,85061.53788,332352.9412,4.0,4.0,265.69,68.0,14.6442313,121.059698,"4 Storey Semi Furnished Townhouse For Sale in Teachers Village, Quezon City","Teachers Village East, Quezon City"
NCR,Quezon City,quezon city,16000000,91428.57143,238805.9701,3.0,3.0,175.0,67.0,14.6442313,121.059698,"Townhouse For Sale in Teachers Village, Quezon City near Araneta Center","Teachers Village East, Quezon City"
NCR,Pasig,pasig,8530000,64621.21212,94777.77778,3.0,2.0,132.0,90.0,14.5842641,121.1013028,New Townhouse For Sale - Exclusive Village in Pasig City,"Santa Lucia, Pasig"
NCR,Quezon City,quezon city,5000000,72463.76812,142857.1429,2.0,1.0,69.0,35.0,14.6641862,121.0201724,2 Bedroom Townhouse Unit for Sale at Quezon City in July Extension,"Project 8, Quezon City"
NCR,Pasig,pasig,15500000,86111.11111,129166.6667,5.0,3.0,180.0,120.0,14.5658684,121.0855568,5 Bedroom Sophisticated Brand New 2-Storey House for sale in Greenwoods Pasig,"San Miguel, Pasig"
NCR,Taguig,taguig,22749290,190737.7379,303323.8667,4.0,4.0,119.27,75.0,,,4 Bedrooms House and Lot For Sale near Makati and Global City Taguig,"M Residences at Mahogany Place 3, Acacia Estates, Taguig City Bambang, Taguig"
NCR,Taguig,taguig,24372955,146825.0301,324972.7333,4.0,3.0,166.0,75.0,14.525747,121.0729149,"RFO Prime Luxury New Townhouse For Sale at Acacia Estates, Taguig City","Bambang, Taguig"
NCR,Pasig,pasig,16500000,90659.34066,129921.2598,4.0,3.0,182.0,127.0,14.5658684,121.0855568,Newly Built Modern House in Greenwoods Executive Village (Corner Lot) for Sale!,"San Miguel, Pasig"
NCR,Taguig,taguig,45000000,121621.6216,225000.0,4.0,3.0,370.0,200.0,14.5095273,121.0380244,Modern 4BR House with Swimming Pool in AFPOVAI Taguig for Sale,"Western Bicutan, Taguig"
