Region,Area_display,Area_slug,Year,Housing_Type,Occupied_Housing_Units,Number_of_Households,Household_Population,Total_Units,count_one_floor,count_two_floors,count_three_floors,count_four_floors,count_five_to_10_floors,count_11plus_floors_or_more,count_not_reported,count_not_applicable,share_one_floor,share_two_floors,share_three_floors,share_four_floors,share_five_to_10_floors,share_11plus_floors_or_more,share_not_reported,share_not_applicable,avg_household_size,qc_hhsize_outlier,qc_total_replaced,utilization_gap,qc_utilization_gap_large
NCR,Las Piñas,las pinas,2020,Other Multi-Unit Residential,4813.0,5063.0,18613.0,4813.0,1746.0,2466.0,442.0,117.0,34.0,0.0,8.0,0.0,36.2767504674839,51.23623519634324,9.183461458549761,2.430916268439643,0.7064201121961355,0.0,0.166216496987326,0.0,3.676278886035947,False,False,250.0,False
NCR,Las Piñas,las pinas,2020,Other Types Of Building,5.0,5.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,2.4,False,False,0.0,False
NCR,Las Piñas,las pinas,2020,Single House,111899.0,123735.0,485181.0,111899.0,53445.0,51008.0,6627.0,750.0,0.0,0.0,69.0,0.0,47.76182092780096,45.583964110492495,5.922304935700944,0.6702472765618995,0.0,0.0,0.06166274944369476,0.0,3.921129833919263,False,False,11836.0,True
NCR,Makati,makati,2020,All Types Of Building,180256.0,186238.0,623662.0,180256.0,42489.0,49833.0,17172.0,8293.0,7858.0,53140.0,1462.0,9.0,23.571476122847507,27.645681697141843,9.526451269305875,4.600679034262383,4.3593555831706015,29.48029469199361,0.8110687022900763,0.004992898988105805,3.348736562892643,False,False,5982.0,False
NCR,Makati,makati,2020,Apartment/Accessoria/Row House,29614.0,30757.0,99638.0,29614.0,5352.0,12568.0,6466.0,3922.0,1260.0,36.0,10.0,0.0,18.072533261295334,42.43938677652462,21.83426757614642,13.243736070777334,4.254744377659215,0.12156412507597758,0.03376781252110488,0.0,3.239522710277335,False,False,1143.0,False
NCR,Makati,makati,2020,Commercial/Industrial/Agricultural,335.0,381.0,826.0,335.0,116.0,104.0,57.0,33.0,25.0,0.0,0.0,0.0,34.626865671641795,31.044776119402982,17.01492537313433,9.850746268656717,7.462686567164178,0.0,0.0,0.0,2.167979002624672,False,False,46.0,True
NCR,Makati,makati,2020,Condominium/Condotel,46489.0,47532.0,126482.0,46489.0,0.0,0.0,0.0,139.0,5090.0,41154.0,106.0,0.0,0.0,0.0,0.0,0.2989954612919185,10.948826604142916,88.52416700724902,0.2280109273161393,0.0,2.660986282925187,False,False,1043.0,False
NCR,Makati,makati,2020,Duplex,4892.0,5080.0,19597.0,4892.0,1696.0,2365.0,492.0,147.0,0.0,0.0,192.0,0.0,34.66884709730172,48.34423548650859,10.057236304170074,3.0049059689288637,0.0,0.0,3.9247751430907605,0.0,3.857677165354331,False,False,188.0,False
NCR,Makati,makati,2020,Institutional Living Quarter,26.0,26.0,62.0,26.0,8.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,30.76923076923077,65.38461538461539,0.0,3.8461538461538463,0.0,0.0,0.0,0.0,2.3846153846153846,False,False,0.0,False
NCR,Makati,makati,2020,Not Reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,False,False,0.0,False
NCR,Makati,makati,2020,Other Multi-Unit Residential,28077.0,28882.0,91497.0,28077.0,3510.0,5441.0,2951.0,2326.0,1483.0,11950.0,416.0,0.0,12.501335612779144,19.37885101684653,10.510382163336539,8.284360864764755,5.281903337251131,42.561527228692526,1.48163977632938,0.0,3.167959282598158,False,False,805.0,False
NCR,Makati,makati,2020,Other Types Of Building,9.0,16.0,25.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.5625,True,False,7.0,True
NCR,Makati,makati,2020,Single House,70814.0,73564.0,285535.0,70814.0,31807.0,29338.0,7206.0,1725.0,0.0,0.0,738.0,0.0,44.91625949670969,41.42966080153642,10.175953907419437,2.43595899115994,0.0,0.0,1.0421668031745135,0.0,3.8814501658419878,False,False,2750.0,False
NCR,Malabon,malabon,2020,All Types Of Building,88079.0,94232.0,379434.0,88079.0,39665.0,40717.0,6010.0,678.0,713.0,43.0,210.0,43.0,45.03343589277807,46.227818208653595,6.82341988442194,0.769763507760079,0.8095005619954814,0.048819809489208554,0.23842232541241384,0.048819809489208554,4.026593938364886,False,False,6153.0,True
NCR,Malabon,malabon,2020,Apartment/Accessoria/Row House,6139.0,6442.0,24899.0,6139.0,2178.0,2987.0,819.0,116.0,35.0,0.0,4.0,0.0,35.47809089428245,48.65613292067112,13.340935005701255,1.889558560026063,0.5701254275940707,0.0,0.06515719172503665,0.0,3.8651040049674013,False,False,303.0,False
NCR,Malabon,malabon,2020,Commercial/Industrial/Agricultural,467.0,544.0,1740.0,467.0,187.0,184.0,69.0,25.0,2.0,0.0,0.0,0.0,40.04282655246253,39.400428265524624,14.775160599571734,5.353319057815846,0.4282655246252677,0.0,0.0,0.0,3.198529411764706,False,False,77.0,True
NCR,Malabon,malabon,2020,Condominium/Condotel,63.0,68.0,269.0,63.0,0.0,0.0,0.0,0.0,0.0,32.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,50.79365079365079,49.2063492063492,0.0,3.9558823529411766,False,False,5.0,True
NCR,Malabon,malabon,2020,Duplex,1947.0,2055.0,8382.0,1947.0,818.0,985.0,111.0,26.0,0.0,0.0,7.0,0.0,42.01335387776066,50.590652285567536,5.701078582434515,1.335387776065742,0.0,0.0,0.35952747817154596,0.0,4.0788321167883215,False,False,108.0,True
NCR,Malabon,malabon,2020,Institutional Living Quarter,6.0,6.0,21.0,6.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,50.0,16.666666666666664,0.0,0.0,0.0,0.0,0.0,3.5,False,False,0.0,False
NCR,Malabon,malabon,2020,Not Reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,False,False,0.0,False
NCR,Malabon,malabon,2020,Other Multi-Unit Residential,2099.0,2138.0,8426.0,2099.0,540.0,616.0,209.0,35.0,676.0,11.0,12.0,0.0,25.726536445926634,29.34730824202001,9.95712243925679,1.6674606955693185,32.20581229156741,0.5240590757503573,0.5717008099094807,0.0,3.941066417212348,False,False,39.0,False
NCR,Malabon,malabon,2020,Other Types Of Building,43.0,44.0,143.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,3.25,False,False,1.0,False
NCR,Malabon,malabon,2020,Single House,77315.0,82935.0,335554.0,77315.0,35940.0,35942.0,4801.0,476.0,0.0,0.0,156.0,0.0,46.48515811938175,46.48774493953308,6.209661773265214,0.615663196016297,0.0,0.0,0.20177197180366035,0.0,4.045987821788147,False,False,5620.0,True
NCR,Mandaluyong,mandaluyong,2020,All Types Of Building,108859.0,116513.0,417467.0,108859.0,9099.0,45073.0,17948.0,9966.0,5909.0,18852.0,2004.0,8.0,8.35851881792043,41.40493666118557,16.48738276118649,9.154961923221784,5.428122617330676,17.31781478793669,1.8409134752294252,0.007348955988939821,3.5830079046973298,False,False,7654.0,True
NCR,Mandaluyong,mandaluyong,2020,Apartment/Accessoria/Row House,8311.0,8720.0,29078.0,8311.0,267.0,3894.0,1370.0,1733.0,966.0,75.0,6.0,0.0,3.212609794248586,46.853567561063656,16.484177595957163,20.851883046564794,11.623150042112862,0.9024184815305017,0.07219347852244014,0.0,3.3346330275229357,False,False,409.0,False
NCR,Mandaluyong,mandaluyong,2020,Commercial/Industrial/Agricultural,359.0,417.0,1014.0,359.0,75.0,135.0,97.0,19.0,32.0,0.0,1.0,0.0,20.891364902506965,37.60445682451253,27.019498607242337,5.2924791086350975,8.913649025069638,0.0,0.2785515320334262,0.0,2.431654676258993,False,False,58.0,True
NCR,Mandaluyong,mandaluyong,2020,Condominium/Condotel,21781.0,22652.0,64780.0,21781.0,0.0,0.0,0.0,36.0,3134.0,18576.0,35.0,0.0,0.0,0.0,0.0,0.16528166750837886,14.388687388090538,85.2853404343235,0.16069051007759058,0.0,2.8597916298781563,False,False,871.0,False
NCR,Mandaluyong,mandaluyong,2020,Duplex,2689.0,3003.0,11644.0,2689.0,193.0,1518.0,600.0,257.0,0.0,0.0,121.0,0.0,7.177389364075864,56.452212718482706,22.313127556712534,9.557456303458535,0.0,0.0,4.499814057270361,0.0,3.8774558774558776,False,False,314.0,True
NCR,Mandaluyong,mandaluyong,2020,Institutional Living Quarter,23.0,23.0,78.0,23.0,6.0,5.0,1.0,11.0,0.0,0.0,0.0,0.0,26.08695652173913,21.73913043478261,4.3478260869565215,47.82608695652174,0.0,0.0,0.0,0.0,3.391304347826087,False,False,0.0,False
NCR,Mandaluyong,mandaluyong,2020,Not Reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,False,False,0.0,False
NCR,Mandaluyong,mandaluyong,2020,Other Multi-Unit Residential,19864.0,20693.0,74141.0,19864.0,805.0,7914.0,5065.0,3882.0,1777.0,201.0,220.0,0.0,4.0525573902537255,39.8409182440596,25.498389045509462,19.54289166331051,8.945831655255738,1.0118807893677004,1.1075312122432541,0.0,3.5829024307736916,False,False,829.0,False
NCR,Mandaluyong,mandaluyong,2020,Other Types Of Building,8.0,8.0,19.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,2.375,False,False,0.0,False
NCR,Mandaluyong,mandaluyong,2020,Single House,55824.0,60997.0,236713.0,55824.0,7753.0,31607.0,10815.0,4028.0,0.0,0.0,1621.0,0.0,13.888291774147321,56.619016910289474,19.373387790197764,7.215534537116652,0.0,0.0,2.903768988248782,0.0,3.880731839270784,False,False,5173.0,True
NCR,Manila,manila,2020,All Types Of Building,447791.0,483508.0,1829294.0,447791.0,57192.0,212630.0,83186.0,35801.0,24969.0,22700.0,11083.0,230.0,12.772029808549076,47.48420580136716,18.576970059693025,7.995024464538143,5.576038821682436,5.069329218318367,2.475038578265307,0.05136324758648566,3.7833789720128728,False,False,35717.0,True
NCR,Manila,manila,2020,Apartment/Accessoria/Row House,40235.0,41922.0,151080.0,40235.0,2874.0,17972.0,9346.0,5571.0,3969.0,304.0,199.0,0.0,7.143034671306077,44.667577979371195,23.228532372312664,13.846153846153847,9.864545793463403,0.7555610786628557,0.49459425872996143,0.0,3.6038356948618864,False,False,1687.0,False
NCR,Manila,manila,2020,Commercial/Industrial/Agricultural,1715.0,1869.0,5600.0,1715.0,285.0,566.0,321.0,256.0,259.0,15.0,13.0,0.0,16.61807580174927,33.00291545189504,18.717201166180757,14.927113702623906,15.10204081632653,0.8746355685131195,0.7580174927113703,0.0,2.9962546816479403,False,False,154.0,True
NCR,Manila,manila,2020,Condominium/Condotel,23798.0,24097.0,75052.0,23798.0,0.0,0.0,0.0,68.0,3366.0,20190.0,174.0,0.0,0.0,0.0,0.0,0.2857382973359106,14.144045718127574,84.83906210605934,0.7311538784771829,0.0,3.1145785782462547,False,False,299.0,False
NCR,Manila,manila,2020,Duplex,12984.0,14503.0,58112.0,12984.0,1160.0,8067.0,2478.0,868.0,0.0,0.0,411.0,0.0,8.93407270486753,62.13031423290203,19.085027726432532,6.685150955021565,0.0,0.0,3.16543438077634,0.0,4.006895125146522,False,False,1519.0,True
NCR,Manila,manila,2020,Institutional Living Quarter,188.0,209.0,545.0,188.0,31.0,32.0,32.0,30.0,58.0,5.0,0.0,0.0,16.48936170212766,17.02127659574468,17.02127659574468,15.957446808510639,30.851063829787233,2.6595744680851063,0.0,0.0,2.6076555023923444,False,False,21.0,True
NCR,Manila,manila,2020,Not Reported,4.0,12.0,50.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,4.166666666666667,False,False,8.0,True
NCR,Manila,manila,2020,Other Multi-Unit Residential,115917.0,122986.0,450583.0,115917.0,4234.0,45126.0,27785.0,17393.0,17317.0,2186.0,1876.0,0.0,3.6526135079410262,38.92957892284997,23.969736966967744,15.004701639966529,14.939137486304856,1.8858321040054522,1.6183993719644227,0.0,3.6636934285203195,False,False,7069.0,True
NCR,Manila,manila,2020,Other Types Of Building,230.0,247.0,806.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,3.263157894736842,False,False,17.0,True
NCR,Manila,manila,2020,Single House,252720.0,277663.0,1087466.0,252720.0,48608.0,140867.0,43224.0,11615.0,0.0,0.0,8406.0,0.0,19.233934789490345,55.7403450459006,17.103513770180438,4.59599556821779,0.0,0.0,3.3262108262108265,0.0,3.91649589610427,False,False,24943.0,True
NCR,Marikina,marikina,2020,All Types Of Building,97768.0,104406.0,452940.0,97768.0,41374.0,46043.0,8860.0,1195.0,183.0,54.0,57.0,2.0,42.31855003682186,47.09414123230505,9.062269863349972,1.2222813190409951,0.1871778086899599,0.05523279600687342,0.058301284673921934,0.002045659111365682,4.33825642204471,False,False,6638.0,True
NCR,Marikina,marikina,2020,Apartment/Accessoria/Row House,12850.0,13256.0,53265.0,12850.0,4522.0,6455.0,1489.0,371.0,13.0,0.0,0.0,0.0,35.190661478599225,50.233463035019454,11.587548638132295,2.88715953307393,0.10116731517509728,0.0,0.0,0.0,4.0181804465902236,False,False,406.0,False
NCR,Marikina,marikina,2020,Commercial/Industrial/Agricultural,329.0,356.0,1165.0,329.0,144.0,124.0,45.0,12.0,4.0,0.0,0.0,0.0,43.76899696048632,37.68996960486322,13.677811550151976,3.64741641337386,1.21580547112462,0.0,0.0,0.0,3.2724719101123596,False,False,27.0,True
NCR,Marikina,marikina,2020,Condominium/Condotel,218.0,218.0,770.0,218.0,0.0,0.0,0.0,0.0,164.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,75.22935779816514,24.770642201834864,0.0,0.0,3.532110091743119,False,False,0.0,False
NCR,Marikina,marikina,2020,Duplex,4818.0,5092.0,21676.0,4818.0,1935.0,2450.0,376.0,54.0,0.0,0.0,3.0,0.0,40.16189290161893,50.850975508509755,7.804068078040681,1.1207970112079702,0.0,0.0,0.062266500622665005,0.0,4.256873527101336,False,False,274.0,True
NCR,Marikina,marikina,2020,Institutional Living Quarter,23.0,23.0,83.0,23.0,7.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,30.434782608695656,43.47826086956522,26.08695652173913,0.0,0.0,0.0,0.0,0.0,3.608695652173913,False,False,0.0,False
NCR,Marikina,marikina,2020,Not Reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,False,False,0.0,False
NCR,Marikina,marikina,2020,Other Multi-Unit Residential,2403.0,2481.0,10213.0,2403.0,717.0,1457.0,208.0,19.0,2.0,0.0,0.0,0.0,29.837702871410738,60.63254265501457,8.65584685809405,0.7906783187682065,0.08322929671244278,0.0,0.0,0.0,4.116485288190246,False,False,78.0,False
NCR,Marikina,marikina,2020,Other Types Of Building,2.0,2.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,3.5,False,False,0.0,False
