Region,Province,City,chosen_model,MASE_sNaive,MASE_sIndex,MASE_ETS,sMAPE_sNaive,sMAPE_sIndex,sMAPE_ETS
Region IV-A (CALABARZON),Cavite,Dasmarinas City,"ETS(A,?,A)_log",0.9334769801424612,0.8798735954669014,0.6103387483359116,0.726445631937188,0.7052768205978251,0.4858584899049268
Region IV-A (CALABARZON),Cavite,General Trias City,"ETS(A,?,A)_log",1.0626694048310452,1.2481761229187252,0.9465624245134664,0.7819911370248982,0.8401000092837961,0.7959848262275506
Region IV-A (CALABARZON),Cavite,Imus City,"ETS(A,?,A)_log",1.9971670590318489,1.848227421532165,1.467346587412746,0.8771719063664091,0.8307018723330223,0.6760972304646575
Region IV-A (CALABARZON),Cavite,Tagaytay City,"ETS(A,?,A)_log",1.13734773767679,1.2138097387923423,1.0523020576384363,0.9458317862855511,1.0014907874170673,1.0008073837103602
Region IV-A (CALABARZON),Cavite,Trece Martires City,"ETS(A,?,A)_log",0.460125143679942,0.5676085305210277,0.11395595637506759,1.1833793250993259,1.307986866841287,0.7465968562955493
Region IV-A (CALABARZON),Laguna,Binan City,"ETS(A,?,A)_log",1.085714733727157,0.8039013020423473,0.5779089204474298,1.0589337504662133,0.80453227353316,0.7118767706725259
Region IV-A (CALABARZON),Laguna,Cabuyao City,seasonal_index,0.9358628170133476,0.9743608889501281,0.960904540346729,0.7336407533770513,0.790917933549751,0.8276593467490002
Region IV-A (CALABARZON),Laguna,Calamba City,"ETS(A,?,A)_log",0.8430585984707555,0.7773789818334922,0.6057859725010667,0.6187971836346251,0.7255304300369739,0.5922776859394739
Region IV-A (CALABARZON),Laguna,San Pablo City,seasonal_index,0.7795247530281049,0.7586224705875892,0.7624941581116096,1.0739243688111468,0.9640435421187785,1.3931198953352402
Region IV-A (CALABARZON),Laguna,San Pedro City,"ETS(A,?,A)_log",1.5734218344812838,1.3368894241182827,1.2422464635691075,0.9549541696572486,0.904680585651579,0.8496125787606746
Region IV-A (CALABARZON),Laguna,Santa Rosa City,seasonal_index,0.8441695261436662,0.5491198661478477,0.8957501111214986,0.5682794255652003,0.3408588065338698,0.5878213450050509
Region IV-A (CALABARZON),Quezon,Lucena City,"ETS(A,?,A)_log",1.3226139709965465,1.3127527058460626,1.2140359789116624,0.11930527090000086,0.11879228286961135,0.10722698340195909
Region IV-A (CALABARZON),Quezon,Tayabas City,"ETS(A,?,A)_log",0.9584052998985342,0.49958422313055056,0.38750280512111357,1.2479634750152608,1.0056854727899418,1.4161444388151354
Region IV-A (CALABARZON),Rizal,Antipolo City,"ETS(A,?,A)_log",1.1479781699005351,0.971891167924331,0.8057991040816584,0.4877122429264749,0.42012086423611406,0.3328405423585274
