Model,Accuracy,Precision_macro,Recall_macro,F1_macro,F1_weighted
RandomForest,0.9880952380952381,0.9875380194518125,0.9875425469154339,0.9875391199328672,0.9880960612257529
GradientBoosting,0.9738095238095238,0.9746112422583012,0.9704841851985192,0.9725232127211177,0.9737956965342941
LogisticRegression,0.6958333333333333,0.727880653165062,0.5953229573496647,0.5741883435930919,0.6381238067122731
SVC,0.6261904761904762,0.653935389484626,0.467405133712605,0.4556938756228411,0.5487518161517624
