Area,Year,IncomeGroup,Value
Isabela,2018,10th Decile,27147.1
Isabela,2018,1st Decile,3887.29
Isabela,2018,2nd Decile,5343.77
Isabela,2018,3rd Decile,5705.15
Isabela,2018,4th Decile,6193.89
Isabela,2018,5th Decile,7181.7
Isabela,2018,6th Decile,7567.59
Isabela,2018,7th Decile,8331.02
Isabela,2018,8th Decile,10130.75
Isabela,2018,9th Decile,12632.16
Isabela,2018,All Income Groups,94120.41
Isabela,2021,10th Decile,40588.66
Isabela,2021,1st Decile,4529.05
Isabela,2021,2nd Decile,5797.67
Isabela,2021,3rd Decile,7023.41
Isabela,2021,4th Decile,7223.72
Isabela,2021,5th Decile,8325.14
Isabela,2021,6th Decile,9032.7
Isabela,2021,7th Decile,10107.81
Isabela,2021,8th Decile,11802.56
Isabela,2021,9th Decile,16381.11
Isabela,2021,All Income Groups,120811.82
Isabela,2023,10th Decile,28144.26
Isabela,2023,1st Decile,6922.26
Isabela,2023,2nd Decile,8470.13
Isabela,2023,3rd Decile,8752.04
Isabela,2023,4th Decile,9697.3
Isabela,2023,5th Decile,10342.74
Isabela,2023,6th Decile,11001.55
Isabela,2023,7th Decile,12314.68
Isabela,2023,8th Decile,14317.06
Isabela,2023,9th Decile,18014.85
Isabela,2023,All Income Groups,127976.88
Nueva Vizcaya,2018,10th Decile,10861.54
Nueva Vizcaya,2018,1st Decile,1392.07
Nueva Vizcaya,2018,2nd Decile,1764.85
Nueva Vizcaya,2018,3rd Decile,1983.72
Nueva Vizcaya,2018,4th Decile,2314.16
Nueva Vizcaya,2018,5th Decile,2812.21
Nueva Vizcaya,2018,6th Decile,2770.0
Nueva Vizcaya,2018,7th Decile,3318.15
Nueva Vizcaya,2018,8th Decile,4028.38
Nueva Vizcaya,2018,9th Decile,5286.13
Nueva Vizcaya,2018,All Income Groups,36531.22
Nueva Vizcaya,2021,10th Decile,9478.24
Nueva Vizcaya,2021,1st Decile,1557.79
Nueva Vizcaya,2021,2nd Decile,2023.83
Nueva Vizcaya,2021,3rd Decile,2212.65
Nueva Vizcaya,2021,4th Decile,2459.04
Nueva Vizcaya,2021,5th Decile,2591.67
Nueva Vizcaya,2021,6th Decile,2856.35
Nueva Vizcaya,2021,7th Decile,3374.16
Nueva Vizcaya,2021,8th Decile,3971.41
Nueva Vizcaya,2021,9th Decile,4868.99
Nueva Vizcaya,2021,All Income Groups,35394.13
Nueva Vizcaya,2023,10th Decile,10049.21
Nueva Vizcaya,2023,1st Decile,2203.22
Nueva Vizcaya,2023,2nd Decile,2502.46
Nueva Vizcaya,2023,3rd Decile,2660.76
Nueva Vizcaya,2023,4th Decile,3031.42
Nueva Vizcaya,2023,5th Decile,3258.92
Nueva Vizcaya,2023,6th Decile,3465.7
Nueva Vizcaya,2023,7th Decile,4045.03
Nueva Vizcaya,2023,8th Decile,4482.5
Nueva Vizcaya,2023,9th Decile,5092.64
Nueva Vizcaya,2023,All Income Groups,40791.86
Quirino,2018,10th Decile,4401.35
Quirino,2018,1st Decile,521.85
Quirino,2018,2nd Decile,637.8
Quirino,2018,3rd Decile,713.02
Quirino,2018,4th Decile,777.37
Quirino,2018,5th Decile,906.6
Quirino,2018,6th Decile,923.98
Quirino,2018,7th Decile,1044.04
Quirino,2018,8th Decile,1239.52
Quirino,2018,9th Decile,1579.59
Quirino,2018,All Income Groups,12745.1
Quirino,2021,10th Decile,4322.72
Quirino,2021,1st Decile,674.45
Quirino,2021,2nd Decile,789.34
Quirino,2021,3rd Decile,879.14
Quirino,2021,4th Decile,1030.55
Quirino,2021,5th Decile,1125.16
Quirino,2021,6th Decile,1147.45
Quirino,2021,7th Decile,1272.68
Quirino,2021,8th Decile,1626.55
Quirino,2021,9th Decile,2089.93
Quirino,2021,All Income Groups,14957.96
Quirino,2023,10th Decile,4160.75
Quirino,2023,1st Decile,726.54
Quirino,2023,2nd Decile,830.72
Quirino,2023,3rd Decile,928.47
Quirino,2023,4th Decile,943.91
Quirino,2023,5th Decile,1182.19
Quirino,2023,6th Decile,1164.04
Quirino,2023,7th Decile,1327.76
Quirino,2023,8th Decile,1680.78
Quirino,2023,9th Decile,2049.76
Quirino,2023,All Income Groups,14994.93
REGION III - CENTRAL LUZON,2018,10th Decile,220170.62
REGION III - CENTRAL LUZON,2018,1st Decile,40704.13
REGION III - CENTRAL LUZON,2018,2nd Decile,53981.85
REGION III - CENTRAL LUZON,2018,3rd Decile,61209.2
REGION III - CENTRAL LUZON,2018,4th Decile,68448.76
REGION III - CENTRAL LUZON,2018,5th Decile,74945.19
REGION III - CENTRAL LUZON,2018,6th Decile,85259.16
REGION III - CENTRAL LUZON,2018,7th Decile,92157.39
REGION III - CENTRAL LUZON,2018,8th Decile,105258.82
REGION III - CENTRAL LUZON,2018,9th Decile,127463.19
REGION III - CENTRAL LUZON,2018,All Income Groups,929598.3
REGION III - CENTRAL LUZON,2021,10th Decile,222486.26
REGION III - CENTRAL LUZON,2021,1st Decile,45272.97
REGION III - CENTRAL LUZON,2021,2nd Decile,58542.73
REGION III - CENTRAL LUZON,2021,3rd Decile,67233.02
REGION III - CENTRAL LUZON,2021,4th Decile,71139.71
REGION III - CENTRAL LUZON,2021,5th Decile,80694.12
REGION III - CENTRAL LUZON,2021,6th Decile,90308.7
REGION III - CENTRAL LUZON,2021,7th Decile,98768.22
REGION III - CENTRAL LUZON,2021,8th Decile,113102.82
REGION III - CENTRAL LUZON,2021,9th Decile,134972.99
REGION III - CENTRAL LUZON,2021,All Income Groups,982521.54
REGION III - CENTRAL LUZON,2023,10th Decile,222290.8
REGION III - CENTRAL LUZON,2023,1st Decile,62324.78
REGION III - CENTRAL LUZON,2023,2nd Decile,78402.18
REGION III - CENTRAL LUZON,2023,3rd Decile,88461.46
REGION III - CENTRAL LUZON,2023,4th Decile,95915.16
REGION III - CENTRAL LUZON,2023,5th Decile,102489.34
REGION III - CENTRAL LUZON,2023,6th Decile,112017.76
REGION III - CENTRAL LUZON,2023,7th Decile,122421.89
REGION III - CENTRAL LUZON,2023,8th Decile,134118.59
REGION III - CENTRAL LUZON,2023,9th Decile,153606.87
REGION III - CENTRAL LUZON,2023,All Income Groups,1172048.83
Aurora,2018,10th Decile,4800.27
Aurora,2018,1st Decile,613.6
Aurora,2018,2nd Decile,727.45
Aurora,2018,3rd Decile,861.82
Aurora,2018,4th Decile,870.65
Aurora,2018,5th Decile,944.17
Aurora,2018,6th Decile,996.03
Aurora,2018,7th Decile,1089.4
Aurora,2018,8th Decile,1606.7
Aurora,2018,9th Decile,2217.29
Aurora,2018,All Income Groups,14727.37
Aurora,2021,10th Decile,4721.34
Aurora,2021,1st Decile,615.34
Aurora,2021,2nd Decile,772.23
Aurora,2021,3rd Decile,911.73
Aurora,2021,4th Decile,1000.28
Aurora,2021,5th Decile,1072.69
Aurora,2021,6th Decile,1196.01
Aurora,2021,7th Decile,1431.43
Aurora,2021,8th Decile,1595.95
Aurora,2021,9th Decile,2103.14
Aurora,2021,All Income Groups,15420.13
Aurora,2023,10th Decile,5186.72
Aurora,2023,1st Decile,840.35
Aurora,2023,2nd Decile,1015.84
Aurora,2023,3rd Decile,1090.25
Aurora,2023,4th Decile,1108.23
Aurora,2023,5th Decile,1271.27
Aurora,2023,6th Decile,1341.3
Aurora,2023,7th Decile,1429.71
Aurora,2023,8th Decile,1808.66
Aurora,2023,9th Decile,2374.78
Aurora,2023,All Income Groups,17467.09
Bataan,2018,10th Decile,20379.59
Bataan,2018,1st Decile,2960.18
Bataan,2018,2nd Decile,4007.2
Bataan,2018,3rd Decile,4614.35
Bataan,2018,4th Decile,5231.8
Bataan,2018,5th Decile,6113.36
Bataan,2018,6th Decile,6483.69
Bataan,2018,7th Decile,6840.08
Bataan,2018,8th Decile,8444.53
Bataan,2018,9th Decile,9551.95
Bataan,2018,All Income Groups,74626.73
Bataan,2021,10th Decile,22452.36
Bataan,2021,1st Decile,2889.87
Bataan,2021,2nd Decile,4054.09
Bataan,2021,3rd Decile,4705.24
Bataan,2021,4th Decile,5218.69
Bataan,2021,5th Decile,5561.95
Bataan,2021,6th Decile,6382.95
Bataan,2021,7th Decile,7075.05
Bataan,2021,8th Decile,8559.97
Bataan,2021,9th Decile,9471.29
Bataan,2021,All Income Groups,76371.47
Bataan,2023,10th Decile,20238.28
Bataan,2023,1st Decile,3663.45
Bataan,2023,2nd Decile,4612.39
Bataan,2023,3rd Decile,5101.35
Bataan,2023,4th Decile,6257.03
Bataan,2023,5th Decile,6880.33
Bataan,2023,6th Decile,7385.34
Bataan,2023,7th Decile,7945.03
Bataan,2023,8th Decile,9469.98
Bataan,2023,9th Decile,11637.52
Bataan,2023,All Income Groups,83190.7
Bulacan,2018,10th Decile,64276.4
Bulacan,2018,1st Decile,13347.37
Bulacan,2018,2nd Decile,16170.3
Bulacan,2018,3rd Decile,19603.63
Bulacan,2018,4th Decile,21732.12
Bulacan,2018,5th Decile,24108.05
Bulacan,2018,6th Decile,27779.06
Bulacan,2018,7th Decile,27796.07
Bulacan,2018,8th Decile,31916.33
Bulacan,2018,9th Decile,42411.01
Bulacan,2018,All Income Groups,289140.33
Bulacan,2021,10th Decile,69618.47
Bulacan,2021,1st Decile,13696.51
Bulacan,2021,2nd Decile,19038.71
Bulacan,2021,3rd Decile,20477.3
Bulacan,2021,4th Decile,21213.87
Bulacan,2021,5th Decile,25647.67
Bulacan,2021,6th Decile,26006.34
Bulacan,2021,7th Decile,30471.34
Bulacan,2021,8th Decile,33663.69
Bulacan,2021,9th Decile,41397.88
Bulacan,2021,All Income Groups,301231.77
Bulacan,2023,10th Decile,61163.82
Bulacan,2023,1st Decile,19188.78
Bulacan,2023,2nd Decile,23684.81
Bulacan,2023,3rd Decile,26399.89
Bulacan,2023,4th Decile,28168.57
Bulacan,2023,5th Decile,28215.41
Bulacan,2023,6th Decile,33627.41
Bulacan,2023,7th Decile,36692.92
Bulacan,2023,8th Decile,38859.48
Bulacan,2023,9th Decile,46692.62
Bulacan,2023,All Income Groups,342693.71
Nueva Ecija,2018,10th Decile,48245.94
Nueva Ecija,2018,1st Decile,6864.4
Nueva Ecija,2018,2nd Decile,8628.78
Nueva Ecija,2018,3rd Decile,9538.76
Nueva Ecija,2018,4th Decile,10806.35
Nueva Ecija,2018,5th Decile,12333.21
Nueva Ecija,2018,6th Decile,13045.16
Nueva Ecija,2018,7th Decile,14603.62
Nueva Ecija,2018,8th Decile,17431.09
Nueva Ecija,2018,9th Decile,24036.77
Nueva Ecija,2018,All Income Groups,165534.08
Nueva Ecija,2021,10th Decile,36262.2
Nueva Ecija,2021,1st Decile,7913.22
Nueva Ecija,2021,2nd Decile,9155.88
Nueva Ecija,2021,3rd Decile,9983.68
Nueva Ecija,2021,4th Decile,11449.88
Nueva Ecija,2021,5th Decile,12792.84
Nueva Ecija,2021,6th Decile,13588.87
Nueva Ecija,2021,7th Decile,15138.33
Nueva Ecija,2021,8th Decile,16188.33
Nueva Ecija,2021,9th Decile,20590.88
Nueva Ecija,2021,All Income Groups,153064.11
Nueva Ecija,2023,10th Decile,36090.64
Nueva Ecija,2023,1st Decile,11480.74
Nueva Ecija,2023,2nd Decile,13683.66
Nueva Ecija,2023,3rd Decile,14776.88
Nueva Ecija,2023,4th Decile,16578.2
Nueva Ecija,2023,5th Decile,16799.76
Nueva Ecija,2023,6th Decile,18761.34
Nueva Ecija,2023,7th Decile,19950.4
Nueva Ecija,2023,8th Decile,22610.58
Nueva Ecija,2023,9th Decile,23756.34
Nueva Ecija,2023,All Income Groups,194488.54
Pampanga (Excluding City of Angeles),2018,10th Decile,35098.49
Pampanga (Excluding City of Angeles),2018,1st Decile,11025.36
Pampanga (Excluding City of Angeles),2018,2nd Decile,13280.67
Pampanga (Excluding City of Angeles),2018,3rd Decile,14567.2
Pampanga (Excluding City of Angeles),2018,4th Decile,16014.04
Pampanga (Excluding City of Angeles),2018,5th Decile,16386.91
Pampanga (Excluding City of Angeles),2018,6th Decile,17921.42
Pampanga (Excluding City of Angeles),2018,7th Decile,17929.12
Pampanga (Excluding City of Angeles),2018,8th Decile,19813.78
Pampanga (Excluding City of Angeles),2018,9th Decile,24561.5
Pampanga (Excluding City of Angeles),2018,All Income Groups,186598.49
Pampanga (Excluding City of Angeles),2021,10th Decile,38397.42
Pampanga (Excluding City of Angeles),2021,1st Decile,12836.63
Pampanga (Excluding City of Angeles),2021,2nd Decile,14281.04
Pampanga (Excluding City of Angeles),2021,3rd Decile,14939.41
Pampanga (Excluding City of Angeles),2021,4th Decile,18069.98
Pampanga (Excluding City of Angeles),2021,5th Decile,18017.38
Pampanga (Excluding City of Angeles),2021,6th Decile,20090.63
Pampanga (Excluding City of Angeles),2021,7th Decile,21338.51
Pampanga (Excluding City of Angeles),2021,8th Decile,23676.55
Pampanga (Excluding City of Angeles),2021,9th Decile,26576.93
Pampanga (Excluding City of Angeles),2021,All Income Groups,208224.49
Pampanga (Excluding City of Angeles),2023,10th Decile,43920.54
Pampanga (Excluding City of Angeles),2023,1st Decile,16335.87
Pampanga (Excluding City of Angeles),2023,2nd Decile,18777.17
Pampanga (Excluding City of Angeles),2023,3rd Decile,20174.45
Pampanga (Excluding City of Angeles),2023,4th Decile,22525.39
Pampanga (Excluding City of Angeles),2023,5th Decile,21067.45
Pampanga (Excluding City of Angeles),2023,6th Decile,24400.81
Pampanga (Excluding City of Angeles),2023,7th Decile,26185.87
Pampanga (Excluding City of Angeles),2023,8th Decile,27841.23
Pampanga (Excluding City of Angeles),2023,9th Decile,30527.82
Pampanga (Excluding City of Angeles),2023,All Income Groups,251756.6
City of Angeles,2018,10th Decile,7610.29
City of Angeles,2018,1st Decile,2354.89
City of Angeles,2018,2nd Decile,2710.55
City of Angeles,2018,3rd Decile,2890.25
City of Angeles,2018,4th Decile,3244.12
City of Angeles,2018,5th Decile,3542.74
City of Angeles,2018,6th Decile,3573.39
City of Angeles,2018,7th Decile,4073.35
City of Angeles,2018,8th Decile,4388.53
City of Angeles,2018,9th Decile,4835.36
City of Angeles,2018,All Income Groups,39223.47
City of Angeles,2021,10th Decile,12089.72
City of Angeles,2021,1st Decile,3435.55
City of Angeles,2021,2nd Decile,3815.46
City of Angeles,2021,3rd Decile,4256.86
City of Angeles,2021,4th Decile,4407.98
City of Angeles,2021,5th Decile,5035.15
City of Angeles,2021,6th Decile,5289.04
City of Angeles,2021,7th Decile,5551.37
City of Angeles,2021,8th Decile,6160.52
City of Angeles,2021,9th Decile,6786.25
City of Angeles,2021,All Income Groups,56827.9
City of Angeles,2023,10th Decile,10251.47
City of Angeles,2023,1st Decile,4790.08
City of Angeles,2023,2nd Decile,5672.65
City of Angeles,2023,3rd Decile,5843.41
City of Angeles,2023,4th Decile,6195.45
City of Angeles,2023,5th Decile,6770.01
City of Angeles,2023,6th Decile,6937.27
City of Angeles,2023,7th Decile,7303.45
City of Angeles,2023,8th Decile,7785.74
City of Angeles,2023,9th Decile,8178.31
City of Angeles,2023,All Income Groups,69727.85
Tarlac,2018,10th Decile,20841.0
Tarlac,2018,1st Decile,4231.54
Tarlac,2018,2nd Decile,5327.98
Tarlac,2018,3rd Decile,6496.71
Tarlac,2018,4th Decile,6466.49
Tarlac,2018,5th Decile,7405.57
Tarlac,2018,6th Decile,7916.9
Tarlac,2018,7th Decile,9239.0
Tarlac,2018,8th Decile,10547.86
Tarlac,2018,9th Decile,13060.01
Tarlac,2018,All Income Groups,91533.05
Tarlac,2021,10th Decile,24773.83
Tarlac,2021,1st Decile,5397.04
Tarlac,2021,2nd Decile,6497.31
Tarlac,2021,3rd Decile,7184.48
Tarlac,2021,4th Decile,8173.06
Tarlac,2021,5th Decile,8117.4
Tarlac,2021,6th Decile,9527.58
Tarlac,2021,7th Decile,10801.66
Tarlac,2021,8th Decile,12190.41
Tarlac,2021,9th Decile,15315.64
Tarlac,2021,All Income Groups,107978.41
Tarlac,2023,10th Decile,27268.5
Tarlac,2023,1st Decile,6617.01
Tarlac,2023,2nd Decile,9334.0
Tarlac,2023,3rd Decile,10067.02
Tarlac,2023,4th Decile,10914.86
Tarlac,2023,5th Decile,11876.29
Tarlac,2023,6th Decile,12847.06
Tarlac,2023,7th Decile,12848.77
Tarlac,2023,8th Decile,14509.09
Tarlac,2023,9th Decile,18206.08
Tarlac,2023,All Income Groups,134488.68
Zambales (Excluding City of Olongapo),2018,10th Decile,11264.34
Zambales (Excluding City of Olongapo),2018,1st Decile,1936.71
Zambales (Excluding City of Olongapo),2018,2nd Decile,2672.41
Zambales (Excluding City of Olongapo),2018,3rd Decile,2950.4
Zambales (Excluding City of Olongapo),2018,4th Decile,3119.7
Zambales (Excluding City of Olongapo),2018,5th Decile,3333.45
Zambales (Excluding City of Olongapo),2018,6th Decile,4066.04
Zambales (Excluding City of Olongapo),2018,7th Decile,4757.47
Zambales (Excluding City of Olongapo),2018,8th Decile,5337.52
Zambales (Excluding City of Olongapo),2018,9th Decile,6511.52
Zambales (Excluding City of Olongapo),2018,All Income Groups,45949.56
Zambales (Excluding City of Olongapo),2021,10th Decile,9627.91
Zambales (Excluding City of Olongapo),2021,1st Decile,2308.95
Zambales (Excluding City of Olongapo),2021,2nd Decile,2522.44
Zambales (Excluding City of Olongapo),2021,3rd Decile,2911.45
Zambales (Excluding City of Olongapo),2021,4th Decile,3143.7
Zambales (Excluding City of Olongapo),2021,5th Decile,3492.34
Zambales (Excluding City of Olongapo),2021,6th Decile,3715.66
Zambales (Excluding City of Olongapo),2021,7th Decile,4233.61
Zambales (Excluding City of Olongapo),2021,8th Decile,4568.97
Zambales (Excluding City of Olongapo),2021,9th Decile,6227.76
Zambales (Excluding City of Olongapo),2021,All Income Groups,42752.79
Zambales (Excluding City of Olongapo),2023,10th Decile,10483.62
Zambales (Excluding City of Olongapo),2023,1st Decile,3028.96
Zambales (Excluding City of Olongapo),2023,2nd Decile,3585.27
Zambales (Excluding City of Olongapo),2023,3rd Decile,4008.02
Zambales (Excluding City of Olongapo),2023,4th Decile,4321.68
Zambales (Excluding City of Olongapo),2023,5th Decile,4762.56
Zambales (Excluding City of Olongapo),2023,6th Decile,4842.27
Zambales (Excluding City of Olongapo),2023,7th Decile,6020.65
Zambales (Excluding City of Olongapo),2023,8th Decile,5964.7
Zambales (Excluding City of Olongapo),2023,9th Decile,6981.47
Zambales (Excluding City of Olongapo),2023,All Income Groups,53999.2
City of Olongapo,2018,10th Decile,4717.99
City of Olongapo,2018,1st Decile,1131.24
City of Olongapo,2018,2nd Decile,1421.29
City of Olongapo,2018,3rd Decile,1591.07
City of Olongapo,2018,4th Decile,1578.96
City of Olongapo,2018,5th Decile,1869.6
City of Olongapo,2018,6th Decile,2193.13
City of Olongapo,2018,7th Decile,2316.67
City of Olongapo,2018,8th Decile,2603.01
City of Olongapo,2018,9th Decile,2842.26
City of Olongapo,2018,All Income Groups,22265.22
City of Olongapo,2021,10th Decile,4045.72
City of Olongapo,2021,1st Decile,1125.59
City of Olongapo,2021,2nd Decile,1364.91
City of Olongapo,2021,3rd Decile,1498.35
City of Olongapo,2021,4th Decile,1620.3
City of Olongapo,2021,5th Decile,1906.31
City of Olongapo,2021,6th Decile,1918.49
City of Olongapo,2021,7th Decile,2229.36
City of Olongapo,2021,8th Decile,2370.3
City of Olongapo,2021,9th Decile,2571.14
City of Olongapo,2021,All Income Groups,20650.47
City of Olongapo,2023,10th Decile,4949.24
City of Olongapo,2023,1st Decile,1275.6
City of Olongapo,2023,2nd Decile,1597.58
City of Olongapo,2023,3rd Decile,1722.11
City of Olongapo,2023,4th Decile,2085.23
City of Olongapo,2023,5th Decile,2162.14
City of Olongapo,2023,6th Decile,2230.99
City of Olongapo,2023,7th Decile,2552.52
City of Olongapo,2023,8th Decile,2554.26
City of Olongapo,2023,9th Decile,3106.78
City of Olongapo,2023,All Income Groups,24236.46
REGION IVA - CALABARZON,2018,10th Decile,360854.86
REGION IVA - CALABARZON,2018,1st Decile,54781.78
REGION IVA - CALABARZON,2018,2nd Decile,74341.12
REGION IVA - CALABARZON,2018,3rd Decile,87897.35
REGION IVA - CALABARZON,2018,4th Decile,98515.5
REGION IVA - CALABARZON,2018,5th Decile,114417.39
REGION IVA - CALABARZON,2018,6th Decile,128966.66
REGION IVA - CALABARZON,2018,7th Decile,146255.85
REGION IVA - CALABARZON,2018,8th Decile,168480.23
REGION IVA - CALABARZON,2018,9th Decile,209917.92
REGION IVA - CALABARZON,2018,All Income Groups,1444428.65
REGION IVA - CALABARZON,2021,10th Decile,349436.59
REGION IVA - CALABARZON,2021,1st Decile,61298.83
REGION IVA - CALABARZON,2021,2nd Decile,80857.0
REGION IVA - CALABARZON,2021,3rd Decile,93968.81
REGION IVA - CALABARZON,2021,4th Decile,108809.4
REGION IVA - CALABARZON,2021,5th Decile,118461.02
REGION IVA - CALABARZON,2021,6th Decile,135159.05
REGION IVA - CALABARZON,2021,7th Decile,149952.62
REGION IVA - CALABARZON,2021,8th Decile,173252.1
REGION IVA - CALABARZON,2021,9th Decile,202523.93
REGION IVA - CALABARZON,2021,All Income Groups,1473719.35
REGION IVA - CALABARZON,2023,10th Decile,439259.36
REGION IVA - CALABARZON,2023,1st Decile,80670.76
REGION IVA - CALABARZON,2023,2nd Decile,100678.6
REGION IVA - CALABARZON,2023,3rd Decile,117182.1
REGION IVA - CALABARZON,2023,4th Decile,131639.23
REGION IVA - CALABARZON,2023,5th Decile,147110.0
REGION IVA - CALABARZON,2023,6th Decile,162806.73
REGION IVA - CALABARZON,2023,7th Decile,189844.33
REGION IVA - CALABARZON,2023,8th Decile,210363.29
REGION IVA - CALABARZON,2023,9th Decile,256395.36
REGION IVA - CALABARZON,2023,All Income Groups,1835949.76
Batangas,2018,10th Decile,63447.48
Batangas,2018,1st Decile,10695.71
Batangas,2018,2nd Decile,12515.48
Batangas,2018,3rd Decile,15720.82
Batangas,2018,4th Decile,16173.37
Batangas,2018,5th Decile,19888.3
Batangas,2018,6th Decile,21272.83
Batangas,2018,7th Decile,22652.89
Batangas,2018,8th Decile,27584.76
Batangas,2018,9th Decile,35574.04
Batangas,2018,All Income Groups,245525.68
Batangas,2021,10th Decile,61097.96
Batangas,2021,1st Decile,13491.75
Batangas,2021,2nd Decile,15926.96
Batangas,2021,3rd Decile,18281.64
Batangas,2021,4th Decile,19775.34
Batangas,2021,5th Decile,20659.39
Batangas,2021,6th Decile,25011.22
Batangas,2021,7th Decile,26880.54
Batangas,2021,8th Decile,34258.81
Batangas,2021,9th Decile,34933.99
Batangas,2021,All Income Groups,270317.58
Batangas,2023,10th Decile,76706.73
Batangas,2023,1st Decile,15812.56
Batangas,2023,2nd Decile,18803.46
Batangas,2023,3rd Decile,21804.79
Batangas,2023,4th Decile,24124.34
Batangas,2023,5th Decile,27332.17
Batangas,2023,6th Decile,28811.43
Batangas,2023,7th Decile,31639.43
Batangas,2023,8th Decile,37867.52
Batangas,2023,9th Decile,44228.13
Batangas,2023,All Income Groups,327130.55
Cavite,2018,10th Decile,83899.16
Cavite,2018,1st Decile,16117.17
Cavite,2018,2nd Decile,23321.84
Cavite,2018,3rd Decile,26593.72
Cavite,2018,4th Decile,27944.31
Cavite,2018,5th Decile,31693.93
Cavite,2018,6th Decile,38671.54
Cavite,2018,7th Decile,39938.19
Cavite,2018,8th Decile,48075.92
Cavite,2018,9th Decile,55236.85
Cavite,2018,All Income Groups,391492.64
Cavite,2021,10th Decile,100082.52
Cavite,2021,1st Decile,18926.84
Cavite,2021,2nd Decile,24877.93
Cavite,2021,3rd Decile,29622.38
Cavite,2021,4th Decile,32946.0
Cavite,2021,5th Decile,36300.78
Cavite,2021,6th Decile,38078.24
Cavite,2021,7th Decile,43195.63
Cavite,2021,8th Decile,46207.2
Cavite,2021,9th Decile,56578.75
Cavite,2021,All Income Groups,426816.26
Cavite,2023,10th Decile,110395.01
Cavite,2023,1st Decile,25575.28
Cavite,2023,2nd Decile,33277.06
Cavite,2023,3rd Decile,35966.51
Cavite,2023,4th Decile,39130.95
Cavite,2023,5th Decile,44609.95
Cavite,2023,6th Decile,51832.31
Cavite,2023,7th Decile,52854.2
Cavite,2023,8th Decile,57280.39
Cavite,2023,9th Decile,76099.32
Cavite,2023,All Income Groups,527020.97
Laguna,2018,10th Decile,82422.04
Laguna,2018,1st Decile,13051.98
Laguna,2018,2nd Decile,18221.79
Laguna,2018,3rd Decile,20325.42
Laguna,2018,4th Decile,25085.78
Laguna,2018,5th Decile,27496.58
Laguna,2018,6th Decile,30374.5
Laguna,2018,7th Decile,34663.55
Laguna,2018,8th Decile,42149.4
Laguna,2018,9th Decile,50780.31
Laguna,2018,All Income Groups,344571.35
Laguna,2021,10th Decile,69829.63
Laguna,2021,1st Decile,14014.76
Laguna,2021,2nd Decile,18402.11
Laguna,2021,3rd Decile,22174.15
Laguna,2021,4th Decile,24572.53
Laguna,2021,5th Decile,26591.21
Laguna,2021,6th Decile,30778.49
Laguna,2021,7th Decile,35469.85
Laguna,2021,8th Decile,39439.6
Laguna,2021,9th Decile,45302.0
Laguna,2021,All Income Groups,326574.32
Laguna,2023,10th Decile,102337.19
Laguna,2023,1st Decile,20268.14
Laguna,2023,2nd Decile,25889.19
Laguna,2023,3rd Decile,28537.96
Laguna,2023,4th Decile,32799.71
Laguna,2023,5th Decile,35510.49
Laguna,2023,6th Decile,42435.89
Laguna,2023,7th Decile,43380.88
Laguna,2023,8th Decile,51280.57
Laguna,2023,9th Decile,58380.15
Laguna,2023,All Income Groups,440820.18
Quezon (Excluding City of Lucena),2018,10th Decile,28573.92
Quezon (Excluding City of Lucena),2018,1st Decile,4739.06
Quezon (Excluding City of Lucena),2018,2nd Decile,5987.2
Quezon (Excluding City of Lucena),2018,3rd Decile,6970.13
Quezon (Excluding City of Lucena),2018,4th Decile,7203.8
Quezon (Excluding City of Lucena),2018,5th Decile,8103.12
Quezon (Excluding City of Lucena),2018,6th Decile,8451.44
Quezon (Excluding City of Lucena),2018,7th Decile,9884.88
Quezon (Excluding City of Lucena),2018,8th Decile,11712.3
Quezon (Excluding City of Lucena),2018,9th Decile,14244.78
Quezon (Excluding City of Lucena),2018,All Income Groups,105870.62
Quezon (Excluding City of Lucena),2021,10th Decile,27950.32
Quezon (Excluding City of Lucena),2021,1st Decile,4796.6
Quezon (Excluding City of Lucena),2021,2nd Decile,6300.99
Quezon (Excluding City of Lucena),2021,3rd Decile,6944.43
Quezon (Excluding City of Lucena),2021,4th Decile,7537.52
Quezon (Excluding City of Lucena),2021,5th Decile,7933.01
Quezon (Excluding City of Lucena),2021,6th Decile,8672.98
Quezon (Excluding City of Lucena),2021,7th Decile,10094.18
Quezon (Excluding City of Lucena),2021,8th Decile,11324.58
Quezon (Excluding City of Lucena),2021,9th Decile,14262.63
Quezon (Excluding City of Lucena),2021,All Income Groups,105817.25
Quezon (Excluding City of Lucena),2023,10th Decile,28906.68
Quezon (Excluding City of Lucena),2023,1st Decile,7148.38
Quezon (Excluding City of Lucena),2023,2nd Decile,8407.99
Quezon (Excluding City of Lucena),2023,3rd Decile,8616.78
Quezon (Excluding City of Lucena),2023,4th Decile,9397.29
Quezon (Excluding City of Lucena),2023,5th Decile,9531.77
Quezon (Excluding City of Lucena),2023,6th Decile,10208.91
Quezon (Excluding City of Lucena),2023,7th Decile,11630.54
Quezon (Excluding City of Lucena),2023,8th Decile,13607.76
Quezon (Excluding City of Lucena),2023,9th Decile,14819.26
Quezon (Excluding City of Lucena),2023,All Income Groups,122275.35
City of Lucena,2018,10th Decile,5318.08
City of Lucena,2018,1st Decile,1043.15
City of Lucena,2018,2nd Decile,1219.79
City of Lucena,2018,3rd Decile,1579.76
City of Lucena,2018,4th Decile,1538.79
City of Lucena,2018,5th Decile,1770.62
City of Lucena,2018,6th Decile,1890.71
City of Lucena,2018,7th Decile,2131.37
