YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION,Region,City/Province
2023,1,30,0.0,31.6,24.2,57,6,60,Region III (Central Luzon),"Olongapo, Zambales"
2023,1,31,0.0,30.5,21.6,61,6,60,Region III (Central Luzon),"Olongapo, Zambales"
2023,2,1,0.0,32.3,23.6,65,4,60,Region III (Central Luzon),"Olongapo, Zambales"
2023,2,2,0.0,32.9,24.1,66,5,80,Region III (Central Luzon),"Olongapo, Zambales"
2023,2,4,0.0,32.1,22.1,61,5,70,Region III (Central Luzon),"Olongapo, Zambales"
2023,12,29,0.0,33.5,23.4,68,4,70,Region III (Central Luzon),"Muñoz, Nueva Ecija"
2023,2,5,0.0,32.0,24.3,60,5,60,Region III (Central Luzon),"Olongapo, Zambales"
2023,2,6,0.0,31.1,24.9,69,3,60,Region III (Central Luzon),"Olongapo, Zambales"
2023,2,7,0.0,32.0,23.3,69,4,80,Region III (Central Luzon),"Olongapo, Zambales"
2023,2,8,-1.0,32.5,21.8,69,4,80,Region III (Central Luzon),"Olongapo, Zambales"
2023,2,9,0.0,31.0,20.9,60,4,70,Region III (Central Luzon),"Olongapo, Zambales"
2023,2,10,0.0,32.5,20.7,62,4,70,Region III (Central Luzon),"Olongapo, Zambales"
2023,2,11,0.0,33.2,22.4,64,3,70,Region III (Central Luzon),"Olongapo, Zambales"
2023,2,12,0.0,33.5,20.4,62,4,70,Region III (Central Luzon),"Olongapo, Zambales"
2023,2,13,0.0,33.5,20.9,66,3,80,Region III (Central Luzon),"Olongapo, Zambales"
2023,2,14,0.0,33.4,21.8,72,3,70,Region III (Central Luzon),"Olongapo, Zambales"
2023,1,23,0.0,32.9,22.0,65,3,70,Region III (Central Luzon),"Olongapo, Zambales"
2023,1,22,0.0,31.4,23.7,68,3,100,Region III (Central Luzon),"Olongapo, Zambales"
2023,1,21,0.0,32.2,24.7,63,5,60,Region III (Central Luzon),"Olongapo, Zambales"
2023,1,20,0.0,30.3,24.3,66,6,50,Region III (Central Luzon),"Olongapo, Zambales"
2023,12,30,0.0,33.0,24.3,73,3,70,Region III (Central Luzon),"Muñoz, Nueva Ecija"
2023,12,31,0.0,33.8,25.0,76,2,70,Region III (Central Luzon),"Muñoz, Nueva Ecija"
2023,1,1,0.0,32.8,24.5,68,5,70,Region III (Central Luzon),"Olongapo, Zambales"
2023,1,2,4.5,33.3,23.9,64,5,60,Region III (Central Luzon),"Olongapo, Zambales"
2023,1,3,0.6,29.7,24.7,78,4,60,Region III (Central Luzon),"Olongapo, Zambales"
2023,1,4,3.0,31.7,22.7,65,6,70,Region III (Central Luzon),"Olongapo, Zambales"
2023,1,5,4.5,25.9,22.8,84,4,80,Region III (Central Luzon),"Olongapo, Zambales"
2023,1,6,0.0,30.6,24.6,73,5,80,Region III (Central Luzon),"Olongapo, Zambales"
2023,1,7,0.0,30.9,23.4,62,6,70,Region III (Central Luzon),"Olongapo, Zambales"
2023,1,8,0.0,29.6,22.4,63,5,60,Region III (Central Luzon),"Olongapo, Zambales"
2023,1,9,0.0,31.0,22.7,65,4,80,Region III (Central Luzon),"Olongapo, Zambales"
2023,1,10,0.0,30.6,22.2,70,3,80,Region III (Central Luzon),"Olongapo, Zambales"
2023,1,11,0.0,31.0,22.9,64,4,60,Region III (Central Luzon),"Olongapo, Zambales"
2023,1,12,0.0,30.8,22.6,64,4,70,Region III (Central Luzon),"Olongapo, Zambales"
2023,1,13,0.0,30.8,21.6,68,4,60,Region III (Central Luzon),"Olongapo, Zambales"
2023,1,14,0.0,32.1,23.9,76,3,60,Region III (Central Luzon),"Olongapo, Zambales"
2023,1,15,13.1,30.3,23.3,78,2,40,Region III (Central Luzon),"Olongapo, Zambales"
2023,1,16,0.0,29.7,24.3,73,4,40,Region III (Central Luzon),"Olongapo, Zambales"
2023,1,17,0.0,30.0,25.2,66,5,70,Region III (Central Luzon),"Olongapo, Zambales"
2023,1,18,0.0,31.5,24.6,67,5,70,Region III (Central Luzon),"Olongapo, Zambales"
2023,1,19,0.0,32.1,24.6,61,5,60,Region III (Central Luzon),"Olongapo, Zambales"
2023,11,8,0.0,34.8,25.2,72,3,90,Region III (Central Luzon),"Muñoz, Nueva Ecija"
2023,11,6,0.0,35.6,24.6,69,4,70,Region III (Central Luzon),"Muñoz, Nueva Ecija"
2023,7,28,18.4,29.2,23.0,92,2,180,Region III (Central Luzon),"Muñoz, Nueva Ecija"
2023,9,3,18.0,31.3,25.2,94,1,180,Region III (Central Luzon),"Muñoz, Nueva Ecija"
2023,8,24,1.3,31.4,24.5,88,1,340,Region III (Central Luzon),"Muñoz, Nueva Ecija"
2023,8,25,15.0,32.4,24.6,87,1,250,Region III (Central Luzon),"Muñoz, Nueva Ecija"
2023,8,26,8.0,29.8,24.4,88,1,270,Region III (Central Luzon),"Muñoz, Nueva Ecija"
2023,8,27,3.0,28.8,24.2,93,2,270,Region III (Central Luzon),"Muñoz, Nueva Ecija"
2023,8,28,4.0,32.6,25.0,86,2,180,Region III (Central Luzon),"Muñoz, Nueva Ecija"
2023,8,29,17.6,32.1,24.2,87,1,180,Region III (Central Luzon),"Muñoz, Nueva Ecija"
