Housing_Unit_Type,Region,City/Province,Year,Occupied Housing Units,Number of Households /a,Household Population /a,Total,One Floor,Two Floors,Three Floors,Four Floors,Five to 10 Floors,11 Floors or more,Not Reported,Not applicable
All Types Of Building,Cordillera Administrative Region (Car),Mountain Province,2020,37534.0,37601.0,157798.0,37534.0,18212.0,17133.0,1671.0,388.0,84.0,0.0,45.0,1.0
Apartment/Accessoria/Row House,Cordillera Administrative Region (Car),Mountain Province,2020,192.0,194.0,616.0,192.0,4.0,28.0,29.0,81.0,50.0,0.0,0.0,0.0
Commercial/Industrial/Agricultural,Cordillera Administrative Region (Car),Mountain Province,2020,16.0,16.0,47.0,16.0,2.0,4.0,6.0,1.0,3.0,0.0,0.0,0.0
Condominium/Condotel,Cordillera Administrative Region (Car),Mountain Province,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duplex,Cordillera Administrative Region (Car),Mountain Province,2020,54.0,56.0,206.0,54.0,2.0,10.0,6.0,19.0,0.0,0.0,17.0,0.0
Institutional Living Quarter,Cordillera Administrative Region (Car),Mountain Province,2020,11.0,11.0,46.0,11.0,1.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0
Not Reported,Cordillera Administrative Region (Car),Mountain Province,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Multi-Unit Residential,Cordillera Administrative Region (Car),Mountain Province,2020,107.0,113.0,296.0,107.0,0.0,12.0,26.0,38.0,31.0,0.0,0.0,0.0
Other Types Of Building,Cordillera Administrative Region (Car),Mountain Province,2020,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Single House,Cordillera Administrative Region (Car),Mountain Province,2020,37153.0,37210.0,156586.0,37153.0,18203.0,17078.0,1604.0,240.0,0.0,0.0,28.0,0.0
All Types Of Building,Mimaropa Region,City Of Puerto Princesa,2020,80050.0,82100.0,302493.0,80050.0,69701.0,9844.0,418.0,39.0,33.0,0.0,15.0,0.0
Apartment/Accessoria/Row House,Mimaropa Region,City Of Puerto Princesa,2020,3276.0,3332.0,8687.0,3276.0,1872.0,1250.0,151.0,3.0,0.0,0.0,0.0,0.0
Commercial/Industrial/Agricultural,Mimaropa Region,City Of Puerto Princesa,2020,176.0,187.0,630.0,176.0,103.0,48.0,19.0,3.0,3.0,0.0,0.0,0.0
Condominium/Condotel,Mimaropa Region,City Of Puerto Princesa,2020,12.0,12.0,55.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
Duplex,Mimaropa Region,City Of Puerto Princesa,2020,2079.0,2117.0,7255.0,2079.0,1765.0,307.0,7.0,0.0,0.0,0.0,0.0,0.0
Institutional Living Quarter,Mimaropa Region,City Of Puerto Princesa,2020,43.0,50.0,88.0,43.0,17.0,2.0,4.0,2.0,18.0,0.0,0.0,0.0
Not Reported,Mimaropa Region,City Of Puerto Princesa,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Multi-Unit Residential,Mimaropa Region,City Of Puerto Princesa,2020,1548.0,1571.0,4608.0,1548.0,1040.0,496.0,12.0,0.0,0.0,0.0,0.0,0.0
Other Types Of Building,Mimaropa Region,City Of Puerto Princesa,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Single House,Mimaropa Region,City Of Puerto Princesa,2020,72916.0,74831.0,281170.0,72916.0,64904.0,7741.0,225.0,31.0,0.0,0.0,15.0,0.0
All Types Of Building,Mimaropa Region,Marinduque,2020,59263.0,60547.0,238815.0,59263.0,53345.0,5638.0,257.0,18.0,0.0,0.0,4.0,1.0
Apartment/Accessoria/Row House,Mimaropa Region,Marinduque,2020,212.0,217.0,695.0,212.0,62.0,129.0,21.0,0.0,0.0,0.0,0.0,0.0
Commercial/Industrial/Agricultural,Mimaropa Region,Marinduque,2020,38.0,39.0,116.0,38.0,16.0,19.0,2.0,1.0,0.0,0.0,0.0,0.0
Condominium/Condotel,Mimaropa Region,Marinduque,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duplex,Mimaropa Region,Marinduque,2020,525.0,532.0,1992.0,525.0,386.0,134.0,5.0,0.0,0.0,0.0,0.0,0.0
Institutional Living Quarter,Mimaropa Region,Marinduque,2020,5.0,5.0,21.0,5.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
Not Reported,Mimaropa Region,Marinduque,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Multi-Unit Residential,Mimaropa Region,Marinduque,2020,138.0,141.0,484.0,138.0,79.0,56.0,3.0,0.0,0.0,0.0,0.0,0.0
Other Types Of Building,Mimaropa Region,Marinduque,2020,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Single House,Mimaropa Region,Marinduque,2020,58344.0,59612.0,235506.0,58344.0,52801.0,5297.0,225.0,17.0,0.0,0.0,4.0,0.0
All Types Of Building,Mimaropa Region,Occidental Mindoro,2020,125023.0,126627.0,521436.0,125023.0,117584.0,7240.0,163.0,17.0,0.0,0.0,18.0,1.0
Apartment/Accessoria/Row House,Mimaropa Region,Occidental Mindoro,2020,846.0,851.0,2803.0,846.0,618.0,202.0,26.0,0.0,0.0,0.0,0.0,0.0
Commercial/Industrial/Agricultural,Mimaropa Region,Occidental Mindoro,2020,75.0,77.0,258.0,75.0,52.0,14.0,9.0,0.0,0.0,0.0,0.0,0.0
Condominium/Condotel,Mimaropa Region,Occidental Mindoro,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duplex,Mimaropa Region,Occidental Mindoro,2020,1856.0,1878.0,6849.0,1856.0,1626.0,229.0,1.0,0.0,0.0,0.0,0.0,0.0
Institutional Living Quarter,Mimaropa Region,Occidental Mindoro,2020,7.0,7.0,17.0,7.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
Not Reported,Mimaropa Region,Occidental Mindoro,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Multi-Unit Residential,Mimaropa Region,Occidental Mindoro,2020,628.0,631.0,2256.0,628.0,518.0,105.0,5.0,0.0,0.0,0.0,0.0,0.0
Other Types Of Building,Mimaropa Region,Occidental Mindoro,2020,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Single House,Mimaropa Region,Occidental Mindoro,2020,121610.0,123182.0,509252.0,121610.0,114766.0,6688.0,121.0,17.0,0.0,0.0,18.0,0.0
All Types Of Building,Mimaropa Region,Oriental Mindoro,2020,212416.0,215071.0,906654.0,212416.0,196483.0,15202.0,652.0,49.0,2.0,1.0,26.0,1.0
Apartment/Accessoria/Row House,Mimaropa Region,Oriental Mindoro,2020,4816.0,4851.0,17000.0,4816.0,2492.0,2119.0,187.0,17.0,0.0,0.0,1.0,0.0
Commercial/Industrial/Agricultural,Mimaropa Region,Oriental Mindoro,2020,322.0,331.0,1165.0,322.0,195.0,102.0,21.0,1.0,2.0,1.0,0.0,0.0
Condominium/Condotel,Mimaropa Region,Oriental Mindoro,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duplex,Mimaropa Region,Oriental Mindoro,2020,3938.0,3994.0,15613.0,3938.0,3297.0,627.0,13.0,1.0,0.0,0.0,0.0,0.0
Institutional Living Quarter,Mimaropa Region,Oriental Mindoro,2020,31.0,31.0,90.0,31.0,11.0,11.0,5.0,3.0,0.0,0.0,1.0,0.0
Not Reported,Mimaropa Region,Oriental Mindoro,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Multi-Unit Residential,Mimaropa Region,Oriental Mindoro,2020,571.0,581.0,2207.0,571.0,400.0,159.0,10.0,2.0,0.0,0.0,0.0,0.0
Other Types Of Building,Mimaropa Region,Oriental Mindoro,2020,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Single House,Mimaropa Region,Oriental Mindoro,2020,202737.0,205282.0,870578.0,202737.0,190088.0,12184.0,416.0,25.0,0.0,0.0,24.0,0.0
All Types Of Building,Mimaropa Region,Palawan *,2020,228788.0,230809.0,934601.0,228788.0,215079.0,13437.0,210.0,38.0,1.0,0.0,23.0,0.0
Apartment/Accessoria/Row House,Mimaropa Region,Palawan *,2020,1795.0,1809.0,5748.0,1795.0,1556.0,228.0,8.0,3.0,0.0,0.0,0.0,0.0
Commercial/Industrial/Agricultural,Mimaropa Region,Palawan *,2020,370.0,372.0,1265.0,370.0,252.0,87.0,24.0,6.0,1.0,0.0,0.0,0.0
Condominium/Condotel,Mimaropa Region,Palawan *,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duplex,Mimaropa Region,Palawan *,2020,1522.0,1534.0,5699.0,1522.0,1278.0,235.0,7.0,2.0,0.0,0.0,0.0,0.0
Institutional Living Quarter,Mimaropa Region,Palawan *,2020,49.0,50.0,135.0,49.0,30.0,6.0,9.0,4.0,0.0,0.0,0.0,0.0
Not Reported,Mimaropa Region,Palawan *,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Multi-Unit Residential,Mimaropa Region,Palawan *,2020,706.0,711.0,2339.0,706.0,540.0,158.0,8.0,0.0,0.0,0.0,0.0,0.0
Other Types Of Building,Mimaropa Region,Palawan *,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Single House,Mimaropa Region,Palawan *,2020,224346.0,226333.0,919415.0,224346.0,211423.0,12723.0,154.0,23.0,0.0,0.0,23.0,0.0
All Types Of Building,Mimaropa Region,Romblon,2020,75895.0,77635.0,308068.0,75895.0,69100.0,6281.0,436.0,71.0,0.0,0.0,6.0,1.0
Apartment/Accessoria/Row House,Mimaropa Region,Romblon,2020,471.0,477.0,1765.0,471.0,255.0,174.0,33.0,9.0,0.0,0.0,0.0,0.0
Commercial/Industrial/Agricultural,Mimaropa Region,Romblon,2020,30.0,31.0,101.0,30.0,19.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0
Condominium/Condotel,Mimaropa Region,Romblon,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duplex,Mimaropa Region,Romblon,2020,1032.0,1044.0,3951.0,1032.0,724.0,291.0,13.0,4.0,0.0,0.0,0.0,0.0
Institutional Living Quarter,Mimaropa Region,Romblon,2020,11.0,11.0,32.0,11.0,3.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0
Not Reported,Mimaropa Region,Romblon,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Multi-Unit Residential,Mimaropa Region,Romblon,2020,231.0,243.0,911.0,231.0,111.0,104.0,14.0,2.0,0.0,0.0,0.0,0.0
Other Types Of Building,Mimaropa Region,Romblon,2020,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Single House,Mimaropa Region,Romblon,2020,74119.0,75828.0,301307.0,74119.0,67988.0,5699.0,374.0,52.0,0.0,0.0,6.0,0.0
All Types Of Building,National Capital Region (Ncr),City Of Caloocan,2020,379922.0,404137.0,1658765.0,379922.0,232594.0,112233.0,24340.0,5662.0,4071.0,37.0,978.0,7.0
Apartment/Accessoria/Row House,National Capital Region (Ncr),City Of Caloocan,2020,48933.0,51129.0,195467.0,48933.0,18522.0,19673.0,7390.0,2333.0,938.0,20.0,57.0,0.0
Commercial/Industrial/Agricultural,National Capital Region (Ncr),City Of Caloocan,2020,1382.0,1639.0,4678.0,1382.0,591.0,544.0,148.0,69.0,24.0,0.0,6.0,0.0
Condominium/Condotel,National Capital Region (Ncr),City Of Caloocan,2020,1077.0,1093.0,3560.0,1077.0,0.0,0.0,0.0,7.0,848.0,13.0,209.0,0.0
Duplex,National Capital Region (Ncr),City Of Caloocan,2020,17821.0,18937.0,78340.0,17821.0,10979.0,5748.0,863.0,139.0,0.0,0.0,92.0,0.0
Institutional Living Quarter,National Capital Region (Ncr),City Of Caloocan,2020,34.0,38.0,132.0,34.0,12.0,15.0,2.0,1.0,4.0,0.0,0.0,0.0
Not Reported,National Capital Region (Ncr),City Of Caloocan,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Multi-Unit Residential,National Capital Region (Ncr),City Of Caloocan,2020,15721.0,16535.0,65188.0,15721.0,6336.0,4962.0,1520.0,603.0,2257.0,4.0,39.0,0.0
Other Types Of Building,National Capital Region (Ncr),City Of Caloocan,2020,7.0,7.0,13.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
Single House,National Capital Region (Ncr),City Of Caloocan,2020,294947.0,314759.0,1311387.0,294947.0,196154.0,81291.0,14417.0,2510.0,0.0,0.0,575.0,0.0
All Types Of Building,National Capital Region (Ncr),City Of Las Piñas,2020,142990.0,156756.0,603685.0,142990.0,64174.0,65781.0,10169.0,1661.0,542.0,567.0,91.0,5.0
Apartment/Accessoria/Row House,National Capital Region (Ncr),City Of Las Piñas,2020,17511.0,18448.0,64651.0,17511.0,5775.0,8492.0,2522.0,616.0,92.0,14.0,0.0,0.0
Commercial/Industrial/Agricultural,National Capital Region (Ncr),City Of Las Piñas,2020,494.0,602.0,1681.0,494.0,268.0,154.0,63.0,5.0,4.0,0.0,0.0,0.0
Condominium/Condotel,National Capital Region (Ncr),City Of Las Piñas,2020,1091.0,1131.0,3399.0,1091.0,0.0,0.0,0.0,119.0,412.0,553.0,7.0,0.0
Duplex,National Capital Region (Ncr),City Of Las Piñas,2020,7140.0,7735.0,29995.0,7140.0,2924.0,3657.0,498.0,54.0,0.0,0.0,7.0,0.0
Institutional Living Quarter,National Capital Region (Ncr),City Of Las Piñas,2020,37.0,37.0,153.0,37.0,16.0,4.0,17.0,0.0,0.0,0.0,0.0,0.0
Not Reported,National Capital Region (Ncr),City Of Las Piñas,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Multi-Unit Residential,National Capital Region (Ncr),City Of Las Piñas,2020,4813.0,5063.0,18613.0,4813.0,1746.0,2466.0,442.0,117.0,34.0,0.0,8.0,0.0
Other Types Of Building,National Capital Region (Ncr),City Of Las Piñas,2020,5.0,5.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Single House,National Capital Region (Ncr),City Of Las Piñas,2020,111899.0,123735.0,485181.0,111899.0,53445.0,51008.0,6627.0,750.0,0.0,0.0,69.0,0.0
All Types Of Building,National Capital Region (Ncr),City Of Makati,2020,180256.0,186238.0,623662.0,180256.0,42489.0,49833.0,17172.0,8293.0,7858.0,53140.0,1462.0,9.0
Apartment/Accessoria/Row House,National Capital Region (Ncr),City Of Makati,2020,29614.0,30757.0,99638.0,29614.0,5352.0,12568.0,6466.0,3922.0,1260.0,36.0,10.0,0.0
Commercial/Industrial/Agricultural,National Capital Region (Ncr),City Of Makati,2020,335.0,381.0,826.0,335.0,116.0,104.0,57.0,33.0,25.0,0.0,0.0,0.0
Condominium/Condotel,National Capital Region (Ncr),City Of Makati,2020,46489.0,47532.0,126482.0,46489.0,0.0,0.0,0.0,139.0,5090.0,41154.0,106.0,0.0
Duplex,National Capital Region (Ncr),City Of Makati,2020,4892.0,5080.0,19597.0,4892.0,1696.0,2365.0,492.0,147.0,0.0,0.0,192.0,0.0
Institutional Living Quarter,National Capital Region (Ncr),City Of Makati,2020,26.0,26.0,62.0,26.0,8.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0
Not Reported,National Capital Region (Ncr),City Of Makati,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Multi-Unit Residential,National Capital Region (Ncr),City Of Makati,2020,28077.0,28882.0,91497.0,28077.0,3510.0,5441.0,2951.0,2326.0,1483.0,11950.0,416.0,0.0
Other Types Of Building,National Capital Region (Ncr),City Of Makati,2020,9.0,16.0,25.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
Single House,National Capital Region (Ncr),City Of Makati,2020,70814.0,73564.0,285535.0,70814.0,31807.0,29338.0,7206.0,1725.0,0.0,0.0,738.0,0.0
All Types Of Building,National Capital Region (Ncr),City Of Malabon,2020,88079.0,94232.0,379434.0,88079.0,39665.0,40717.0,6010.0,678.0,713.0,43.0,210.0,43.0
Apartment/Accessoria/Row House,National Capital Region (Ncr),City Of Malabon,2020,6139.0,6442.0,24899.0,6139.0,2178.0,2987.0,819.0,116.0,35.0,0.0,4.0,0.0
Commercial/Industrial/Agricultural,National Capital Region (Ncr),City Of Malabon,2020,467.0,544.0,1740.0,467.0,187.0,184.0,69.0,25.0,2.0,0.0,0.0,0.0
Condominium/Condotel,National Capital Region (Ncr),City Of Malabon,2020,63.0,68.0,269.0,63.0,0.0,0.0,0.0,0.0,0.0,32.0,31.0,0.0
Duplex,National Capital Region (Ncr),City Of Malabon,2020,1947.0,2055.0,8382.0,1947.0,818.0,985.0,111.0,26.0,0.0,0.0,7.0,0.0
Institutional Living Quarter,National Capital Region (Ncr),City Of Malabon,2020,6.0,6.0,21.0,6.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
Not Reported,National Capital Region (Ncr),City Of Malabon,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Multi-Unit Residential,National Capital Region (Ncr),City Of Malabon,2020,2099.0,2138.0,8426.0,2099.0,540.0,616.0,209.0,35.0,676.0,11.0,12.0,0.0
Other Types Of Building,National Capital Region (Ncr),City Of Malabon,2020,43.0,44.0,143.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0
Single House,National Capital Region (Ncr),City Of Malabon,2020,77315.0,82935.0,335554.0,77315.0,35940.0,35942.0,4801.0,476.0,0.0,0.0,156.0,0.0
All Types Of Building,National Capital Region (Ncr),City Of Mandaluyong,2020,108859.0,116513.0,417467.0,108859.0,9099.0,45073.0,17948.0,9966.0,5909.0,18852.0,2004.0,8.0
Apartment/Accessoria/Row House,National Capital Region (Ncr),City Of Mandaluyong,2020,8311.0,8720.0,29078.0,8311.0,267.0,3894.0,1370.0,1733.0,966.0,75.0,6.0,0.0
Commercial/Industrial/Agricultural,National Capital Region (Ncr),City Of Mandaluyong,2020,359.0,417.0,1014.0,359.0,75.0,135.0,97.0,19.0,32.0,0.0,1.0,0.0
Condominium/Condotel,National Capital Region (Ncr),City Of Mandaluyong,2020,21781.0,22652.0,64780.0,21781.0,0.0,0.0,0.0,36.0,3134.0,18576.0,35.0,0.0
Duplex,National Capital Region (Ncr),City Of Mandaluyong,2020,2689.0,3003.0,11644.0,2689.0,193.0,1518.0,600.0,257.0,0.0,0.0,121.0,0.0
Institutional Living Quarter,National Capital Region (Ncr),City Of Mandaluyong,2020,23.0,23.0,78.0,23.0,6.0,5.0,1.0,11.0,0.0,0.0,0.0,0.0
Not Reported,National Capital Region (Ncr),City Of Mandaluyong,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Multi-Unit Residential,National Capital Region (Ncr),City Of Mandaluyong,2020,19864.0,20693.0,74141.0,19864.0,805.0,7914.0,5065.0,3882.0,1777.0,201.0,220.0,0.0
Other Types Of Building,National Capital Region (Ncr),City Of Mandaluyong,2020,8.0,8.0,19.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
Single House,National Capital Region (Ncr),City Of Mandaluyong,2020,55824.0,60997.0,236713.0,55824.0,7753.0,31607.0,10815.0,4028.0,0.0,0.0,1621.0,0.0
All Types Of Building,National Capital Region (Ncr),City Of Manila,2020,447791.0,483508.0,1829294.0,447791.0,57192.0,212630.0,83186.0,35801.0,24969.0,22700.0,11083.0,230.0
Apartment/Accessoria/Row House,National Capital Region (Ncr),City Of Manila,2020,40235.0,41922.0,151080.0,40235.0,2874.0,17972.0,9346.0,5571.0,3969.0,304.0,199.0,0.0
Commercial/Industrial/Agricultural,National Capital Region (Ncr),City Of Manila,2020,1715.0,1869.0,5600.0,1715.0,285.0,566.0,321.0,256.0,259.0,15.0,13.0,0.0
Condominium/Condotel,National Capital Region (Ncr),City Of Manila,2020,23798.0,24097.0,75052.0,23798.0,0.0,0.0,0.0,68.0,3366.0,20190.0,174.0,0.0
Duplex,National Capital Region (Ncr),City Of Manila,2020,12984.0,14503.0,58112.0,12984.0,1160.0,8067.0,2478.0,868.0,0.0,0.0,411.0,0.0
Institutional Living Quarter,National Capital Region (Ncr),City Of Manila,2020,188.0,209.0,545.0,188.0,31.0,32.0,32.0,30.0,58.0,5.0,0.0,0.0
Not Reported,National Capital Region (Ncr),City Of Manila,2020,4.0,12.0,50.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Other Multi-Unit Residential,National Capital Region (Ncr),City Of Manila,2020,115917.0,122986.0,450583.0,115917.0,4234.0,45126.0,27785.0,17393.0,17317.0,2186.0,1876.0,0.0
Other Types Of Building,National Capital Region (Ncr),City Of Manila,2020,230.0,247.0,806.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0
Single House,National Capital Region (Ncr),City Of Manila,2020,252720.0,277663.0,1087466.0,252720.0,48608.0,140867.0,43224.0,11615.0,0.0,0.0,8406.0,0.0
All Types Of Building,National Capital Region (Ncr),City Of Marikina,2020,97768.0,104406.0,452940.0,97768.0,41374.0,46043.0,8860.0,1195.0,183.0,54.0,57.0,2.0
Apartment/Accessoria/Row House,National Capital Region (Ncr),City Of Marikina,2020,12850.0,13256.0,53265.0,12850.0,4522.0,6455.0,1489.0,371.0,13.0,0.0,0.0,0.0
Commercial/Industrial/Agricultural,National Capital Region (Ncr),City Of Marikina,2020,329.0,356.0,1165.0,329.0,144.0,124.0,45.0,12.0,4.0,0.0,0.0,0.0
Condominium/Condotel,National Capital Region (Ncr),City Of Marikina,2020,218.0,218.0,770.0,218.0,0.0,0.0,0.0,0.0,164.0,54.0,0.0,0.0
Duplex,National Capital Region (Ncr),City Of Marikina,2020,4818.0,5092.0,21676.0,4818.0,1935.0,2450.0,376.0,54.0,0.0,0.0,3.0,0.0
Institutional Living Quarter,National Capital Region (Ncr),City Of Marikina,2020,23.0,23.0,83.0,23.0,7.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0
Not Reported,National Capital Region (Ncr),City Of Marikina,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Multi-Unit Residential,National Capital Region (Ncr),City Of Marikina,2020,2403.0,2481.0,10213.0,2403.0,717.0,1457.0,208.0,19.0,2.0,0.0,0.0,0.0
Other Types Of Building,National Capital Region (Ncr),City Of Marikina,2020,2.0,2.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Single House,National Capital Region (Ncr),City Of Marikina,2020,77125.0,82978.0,365761.0,77125.0,34049.0,35547.0,6736.0,739.0,0.0,0.0,54.0,0.0
All Types Of Building,National Capital Region (Ncr),City Of Muntinlupa,2020,126655.0,138176.0,518584.0,126655.0,65619.0,48159.0,8242.0,2241.0,1079.0,944.0,363.0,8.0
Apartment/Accessoria/Row House,National Capital Region (Ncr),City Of Muntinlupa,2020,25944.0,27442.0,93832.0,25944.0,9042.0,12049.0,3806.0,1010.0,35.0,0.0,2.0,0.0
Commercial/Industrial/Agricultural,National Capital Region (Ncr),City Of Muntinlupa,2020,203.0,229.0,640.0,203.0,108.0,61.0,12.0,19.0,0.0,0.0,3.0,0.0
Condominium/Condotel,National Capital Region (Ncr),City Of Muntinlupa,2020,1771.0,1835.0,4167.0,1771.0,0.0,0.0,0.0,0.0,825.0,944.0,2.0,0.0
Duplex,National Capital Region (Ncr),City Of Muntinlupa,2020,5444.0,6122.0,23046.0,5444.0,3258.0,2021.0,146.0,12.0,0.0,0.0,7.0,0.0
Institutional Living Quarter,National Capital Region (Ncr),City Of Muntinlupa,2020,5.0,5.0,27.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Not Reported,National Capital Region (Ncr),City Of Muntinlupa,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Multi-Unit Residential,National Capital Region (Ncr),City Of Muntinlupa,2020,3730.0,3969.0,14370.0,3730.0,1115.0,1403.0,265.0,728.0,219.0,0.0,0.0,0.0
Other Types Of Building,National Capital Region (Ncr),City Of Muntinlupa,2020,8.0,12.0,30.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
Single House,National Capital Region (Ncr),City Of Muntinlupa,2020,89550.0,98562.0,382472.0,89550.0,52094.0,32622.0,4013.0,472.0,0.0,0.0,349.0,0.0
All Types Of Building,National Capital Region (Ncr),City Of Navotas,2020,55476.0,63061.0,246351.0,55476.0,26766.0,23710.0,4226.0,524.0,128.0,0.0,112.0,10.0
Apartment/Accessoria/Row House,National Capital Region (Ncr),City Of Navotas,2020,3511.0,3849.0,15057.0,3511.0,1342.0,1495.0,511.0,152.0,6.0,0.0,5.0,0.0
Commercial/Industrial/Agricultural,National Capital Region (Ncr),City Of Navotas,2020,183.0,250.0,597.0,183.0,104.0,65.0,13.0,1.0,0.0,0.0,0.0,0.0
Condominium/Condotel,National Capital Region (Ncr),City Of Navotas,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duplex,National Capital Region (Ncr),City Of Navotas,2020,1449.0,1624.0,6265.0,1449.0,536.0,754.0,141.0,13.0,0.0,0.0,5.0,0.0
Institutional Living Quarter,National Capital Region (Ncr),City Of Navotas,2020,9.0,9.0,29.0,9.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Not Reported,National Capital Region (Ncr),City Of Navotas,2020,2.0,2.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Other Multi-Unit Residential,National Capital Region (Ncr),City Of Navotas,2020,3393.0,3609.0,14842.0,3393.0,839.0,1816.0,589.0,20.0,122.0,0.0,7.0,0.0
Other Types Of Building,National Capital Region (Ncr),City Of Navotas,2020,10.0,10.0,38.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
Single House,National Capital Region (Ncr),City Of Navotas,2020,46919.0,53708.0,209511.0,46919.0,23938.0,19578.0,2972.0,338.0,0.0,0.0,93.0,0.0
All Types Of Building,National Capital Region (Ncr),City Of Parañaque,2020,170674.0,182109.0,685951.0,170674.0,68316.0,78220.0,14114.0,3007.0,3283.0,3113.0,612.0,9.0
Apartment/Accessoria/Row House,National Capital Region (Ncr),City Of Parañaque,2020,19490.0,20751.0,71028.0,19490.0,4653.0,9164.0,3637.0,1447.0,572.0,2.0,15.0,0.0
Commercial/Industrial/Agricultural,National Capital Region (Ncr),City Of Parañaque,2020,682.0,834.0,1904.0,682.0,287.0,281.0,65.0,38.0,7.0,4.0,0.0,0.0
Condominium/Condotel,National Capital Region (Ncr),City Of Parañaque,2020,5764.0,5924.0,16096.0,5764.0,0.0,0.0,0.0,19.0,2653.0,3085.0,7.0,0.0
Duplex,National Capital Region (Ncr),City Of Parañaque,2020,5234.0,5734.0,21657.0,5234.0,1770.0,2928.0,445.0,58.0,0.0,0.0,33.0,0.0
Institutional Living Quarter,National Capital Region (Ncr),City Of Parañaque,2020,38.0,46.0,83.0,38.0,18.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0
