Region,City/Province,Year,"Occupied Housing Units, Number of Households, Household Population, by Type of Building and Province/Highly Urbanized City: Philippines, 2020",Unnamed: 2,Unnamed: 3,Unnamed: 4,"Occupied Housing Units by Floor Area, Number of Occupants in Each Housing Unit and Province/Highly Urbanized City: Philippines, 2020",Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,"Occupied Housing Units by Type of Building, Number of Floors, and Province/Highly Urbanized City: Philippines, 2020"
CORDILLERA ADMINISTRATIVE REGION (CAR),Benguet,2020,,0,0,0,,,,,,,,,,,,,
CORDILLERA ADMINISTRATIVE REGION (CAR),Ifugao,2020,,0,0,0,,,,,,,,,,,,,
CORDILLERA ADMINISTRATIVE REGION (CAR),Kalinga,2020,,0,0,0,,,,,,,,,,,,,
CORDILLERA ADMINISTRATIVE REGION (CAR),Mountain Province,2020,,0,0,0,,,,,,,,,,,,,
CORDILLERA ADMINISTRATIVE REGION (CAR),City of Baguio,2020,,0,0,0,,,,,,,,,,,,,
REGION I (ILOCOS REGION),Ilocos Norte,2020,,0,0,0,,,,,,,,,,,,,
REGION I (ILOCOS REGION),Ilocos Sur,2020,,0,0,0,,,,,,,,,,,,,
REGION I (ILOCOS REGION),La Union,2020,,0,0,0,,,,,,,,,,,,,
REGION I (ILOCOS REGION),Pangasinan,2020,,3,3,7,,,,,,,,,,,,,
REGION II (CAGAYAN VALLEY),Batanes,2020,,0,0,0,,,,,,,,,,,,,
REGION II (CAGAYAN VALLEY),Cagayan,2020,,0,0,0,,,,,,,,,,,,,
REGION II (CAGAYAN VALLEY),Isabela,2020,,2,2,11,,,,,,,,,,,,,
REGION II (CAGAYAN VALLEY),Nueva Vizcaya,2020,,0,0,0,,,,,,,,,,,,,
REGION II (CAGAYAN VALLEY),Quirino,2020,,0,0,0,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),Aurora,2020,,0,0,0,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),Bataan,2020,,2,2,7,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),Bulacan,2020,,2,2,7,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),Nueva Ecija,2020,,0,0,0,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),Pampanga,2020,,2,2,9,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),Tarlac,2020,,2,2,13,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),Zambales,2020,,0,0,0,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),City of Angeles,2020,,0,0,0,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),City of Olongapo,2020,,0,0,0,,,,,,,,,,,,,
REGION IV-A (CALABARZON),Batangas,2020,,2,2,9,,,,,,,,,,,,,
REGION IV-A (CALABARZON),Cavite,2020,,7,7,25,,,,,,,,,,,,,
REGION IV-A (CALABARZON),Laguna,2020,,2,2,6,,,,,,,,,,,,,
REGION IV-A (CALABARZON),Quezon,2020,,0,0,0,,,,,,,,,,,,,
REGION IV-A (CALABARZON),Rizal,2020,,2,2,8,,,,,,,,,,,,,
REGION IV-A (CALABARZON),City of Lucena,2020,,0,0,0,,,,,,,,,,,,,
MIMAROPA REGION,Marinduque,2020,,0,0,0,,,,,,,,,,,,,
MIMAROPA REGION,Occidental Mindoro,2020,,0,0,0,,,,,,,,,,,,,
MIMAROPA REGION,Oriental Mindoro,2020,,0,0,0,,,,,,,,,,,,,
MIMAROPA REGION,Palawan,2020,,0,0,0,,,,,,,,,,,,,
MIMAROPA REGION,Romblon,2020,,0,0,0,,,,,,,,,,,,,
MIMAROPA REGION,City of Puerto Princesa,2020,,0,0,0,,,,,,,,,,,,,
REGION V (BICOL REGION),Albay,2020,,0,0,0,,,,,,,,,,,,,
REGION V (BICOL REGION),Camarines Norte,2020,,0,0,0,,,,,,,,,,,,,
REGION V (BICOL REGION),Camarines Sur,2020,,0,0,0,,,,,,,,,,,,,
REGION V (BICOL REGION),Catanduanes,2020,,0,0,0,,,,,,,,,,,,,
REGION V (BICOL REGION),Masbate,2020,,0,0,0,,,,,,,,,,,,,
REGION V (BICOL REGION),Sorsogon,2020,,0,0,0,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Aklan,2020,,0,0,0,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Antique,2020,,0,0,0,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Capiz,2020,,0,0,0,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Guimaras,2020,,0,0,0,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Iloilo,2020,,0,0,0,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Negros Occidental,2020,,0,0,0,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),City of Bacolod,2020,,0,0,0,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),City of Iloilo,2020,,0,0,0,,,,,,,,,,,,,
REGION VII (CENTRAL VISAYAS),Bohol,2020,,0,0,0,,,,,,,,,,,,,
REGION VII (CENTRAL VISAYAS),Cebu,2020,,0,0,0,,,,,,,,,,,,,
REGION VII (CENTRAL VISAYAS),Negros Oriental,2020,,2,2,10,,,,,,,,,,,,,
REGION VII (CENTRAL VISAYAS),Siquijor,2020,,0,0,0,,,,,,,,,,,,,
REGION VII (CENTRAL VISAYAS),City of Cebu,2020,,0,0,0,,,,,,,,,,,,,
REGION VII (CENTRAL VISAYAS),City of Lapu-Lapu (Opon),2020,,0,0,0,,,,,,,,,,,,,
REGION VII (CENTRAL VISAYAS),City of Mandaue,2020,,0,0,0,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Biliran,2020,,0,0,0,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Eastern Samar,2020,,0,0,0,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Leyte,2020,,0,0,0,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Northern Samar,2020,,0,0,0,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Samar (Western Samar),2020,,0,0,0,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Southern Leyte,2020,,0,0,0,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),City of Tacloban,2020,,0,0,0,,,,,,,,,,,,,
REGION IX (ZAMBOANGA PENINSULA),Zamboanga del Norte,2020,,0,0,0,,,,,,,,,,,,,
REGION IX (ZAMBOANGA PENINSULA),Zamboanga del Sur,2020,,0,0,0,,,,,,,,,,,,,
REGION IX (ZAMBOANGA PENINSULA),Zamboanga Sibugay,2020,,0,0,0,,,,,,,,,,,,,
REGION IX (ZAMBOANGA PENINSULA),City of Isabela*,2020,,0,0,0,,,,,,,,,,,,,
REGION IX (ZAMBOANGA PENINSULA),City of Zamboanga,2020,,4,5,23,,,,,,,,,,,,,
REGION X (NORTHERN MINDANAO),Bukidnon,2020,,1,1,5,,,,,,,,,,,,,
REGION X (NORTHERN MINDANAO),Camiguin,2020,,0,0,0,,,,,,,,,,,,,
REGION X (NORTHERN MINDANAO),Lanao del Norte,2020,,0,0,0,,,,,,,,,,,,,
REGION X (NORTHERN MINDANAO),Misamis Occidental,2020,,0,0,0,,,,,,,,,,,,,
REGION X (NORTHERN MINDANAO),Misamis Oriental,2020,,2,2,8,,,,,,,,,,,,,
REGION X (NORTHERN MINDANAO),City of Cagayan de Oro,2020,,0,0,0,,,,,,,,,,,,,
REGION X (NORTHERN MINDANAO),City of Iligan,2020,,2,2,6,,,,,,,,,,,,,
REGION XI (DAVAO REGION),Davao de Oro (Compostela Valley),2020,,2,2,6,,,,,,,,,,,,,
REGION XI (DAVAO REGION),Davao del Norte,2020,,0,0,0,,,,,,,,,,,,,
REGION XI (DAVAO REGION),Davao del Sur,2020,,0,0,0,,,,,,,,,,,,,
REGION XI (DAVAO REGION),Davao Occidental,2020,,0,0,0,,,,,,,,,,,,,
REGION XI (DAVAO REGION),Davao Oriental,2020,,2,2,6,,,,,,,,,,,,,
REGION XI (DAVAO REGION),City of Davao,2020,,2,2,7,,,,,,,,,,,,,
REGION XII (SOCCSKSARGEN),Cotabato (North Cotabato),2020,,0,0,0,,,,,,,,,,,,,
REGION XII (SOCCSKSARGEN),Sarangani,2020,,0,0,0,,,,,,,,,,,,,
REGION XII (SOCCSKSARGEN),South Cotabato,2020,,0,0,0,,,,,,,,,,,,,
REGION XII (SOCCSKSARGEN),Sultan Kudarat,2020,,2,2,9,,,,,,,,,,,,,
REGION XII (SOCCSKSARGEN),City of General Santos (Dadiangas),2020,,0,0,0,,,,,,,,,,,,,
REGION XIII (CARAGA),Agusan del Norte,2020,,0,0,0,,,,,,,,,,,,,
REGION XIII (CARAGA),Agusan del Sur,2020,,0,0,0,,,,,,,,,,,,,
REGION XIII (CARAGA),Dinagat Islands,2020,,0,0,0,,,,,,,,,,,,,
REGION XIII (CARAGA),Surigao del Norte,2020,,0,0,0,,,,,,,,,,,,,
REGION XIII (CARAGA),Surigao del Sur,2020,,0,0,0,,,,,,,,,,,,,
REGION XIII (CARAGA),City of Butuan,2020,,0,0,0,,,,,,,,,,,,,
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),Basilan,2020,,0,0,0,,,,,,,,,,,,,
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),Lanao del Sur,2020,,0,0,0,,,,,,,,,,,,,
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),Maguindanao,2020,,0,0,0,,,,,,,,,,,,,
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),Sulu,2020,,2,2,12,,,,,,,,,,,,,
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),Tawi-Tawi,2020,,0,0,0,,,,,,,,,,,,,
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),Eight (8) Area Clusters**,2020,,0,0,0,,,,,,,,,,,,,
NATIONAL CAPITAL REGION (NCR),City of Manila,2020,,447791,14474,41008,,80663,94739,86224,46459,25515,19080,13388,10253,7730,8028,230,
NATIONAL CAPITAL REGION (NCR),City of Mandaluyong,2020,,108859,1746,7395,,19531,25621,19987,11530,4553,3140,1981,1534,2138,9695,8,
NATIONAL CAPITAL REGION (NCR),City of Marikina,2020,,97768,933,2574,,10087,24090,19187,11972,7576,5898,4812,3730,6872,35,2,
NATIONAL CAPITAL REGION (NCR),City of Pasig,2020,,196744,1924,7837,,27753,46465,50754,23077,11819,7075,5398,4136,6303,4201,2,
NATIONAL CAPITAL REGION (NCR),Quezon City,2020,,697332,15740,46768,,102628,140569,155243,78267,39092,28963,24134,20161,33746,11990,31,
NATIONAL CAPITAL REGION (NCR),City of San Juan,2020,,29503,567,1650,,3496,5295,4867,3274,1990,1479,1334,1032,1366,3138,15,
NATIONAL CAPITAL REGION (NCR),City of Caloocan,2020,,379922,6705,16822,,45309,71910,91577,55983,34915,23826,18189,7116,7333,230,7,
NATIONAL CAPITAL REGION (NCR),City of Malabon,2020,,88079,1209,5012,,19550,25585,16947,9007,4691,2004,1746,1067,1049,169,43,
NATIONAL CAPITAL REGION (NCR),City of Navotas,2020,,55476,3141,6852,,12950,9810,9437,5856,3846,1438,1036,588,423,89,10,
NATIONAL CAPITAL REGION (NCR),City of Valenzuela,2020,,177749,3524,8559,,31012,52999,36420,16862,7848,6597,6291,3265,4309,62,1,
NATIONAL CAPITAL REGION (NCR),City of Las Piñas,2020,,142990,1434,5524,,17543,28551,29880,16663,10370,8734,7864,7285,9065,72,5,
NATIONAL CAPITAL REGION (NCR),City of Makati,2020,,180256,1801,7000,,20545,28680,27511,16230,8065,6365,4971,3239,6315,49525,9,
NATIONAL CAPITAL REGION (NCR),City of Muntinlupa,2020,,126655,778,5887,,18755,27365,34477,13367,6439,4689,4352,5072,4287,1179,8,
NATIONAL CAPITAL REGION (NCR),City of Parañaque,2020,,170674,3453,11269,,26571,33518,28914,16337,10042,9486,8623,8028,12378,2046,9,
NATIONAL CAPITAL REGION (NCR),Pasay City,2020,,114778,1219,8803,,24261,24732,20332,10064,4479,3972,2598,1759,1361,11185,13,
NATIONAL CAPITAL REGION (NCR),City of Taguig,2020,,228341,2715,12900,,36812,53627,58053,27256,12102,9821,5618,3286,2973,3172,6,
NATIONAL CAPITAL REGION (NCR),Pateros,2020,,14103,53,330,,1848,3621,3958,1758,945,603,509,271,191,16,0,
CORDILLERA ADMINISTRATIVE REGION (CAR),Abra,2020,,56928,75,388,,2461,10755,15546,9858,6781,4920,3044,1547,1536,17,0,
CORDILLERA ADMINISTRATIVE REGION (CAR),Apayao,2020,,28385,167,1591,,5102,7451,6282,3144,1886,1268,756,422,307,3,6,
CORDILLERA ADMINISTRATIVE REGION (CAR),Benguet,2020,,115716,307,3249,,15787,21573,23220,17113,10710,10184,5617,4101,3822,1,32,
CORDILLERA ADMINISTRATIVE REGION (CAR),Ifugao,2020,,48379,186,1926,,8760,12281,9566,6461,3681,2402,1416,810,875,15,0,
CORDILLERA ADMINISTRATIVE REGION (CAR),Kalinga,2020,,47778,51,303,,1721,11786,11897,8287,5715,3910,2115,1171,822,0,0,
CORDILLERA ADMINISTRATIVE REGION (CAR),Mountain Province,2020,,37534,79,1214,,5216,9015,7837,5703,3564,2448,1331,743,383,0,1,
CORDILLERA ADMINISTRATIVE REGION (CAR),City of Baguio,2020,,97948,194,1884,,7193,12751,17981,16538,11535,11153,6913,5724,6073,1,8,
REGION I (ILOCOS REGION),Ilocos Norte,2020,,141731,1203,4959,,12470,27382,34844,22097,15114,10828,6158,3712,2953,5,6,
REGION I (ILOCOS REGION),Ilocos Sur,2020,,164711,5981,15887,,19855,20910,28297,22247,17232,13280,9152,5622,6233,12,3,
REGION I (ILOCOS REGION),La Union,2020,,192998,1095,6287,,21563,37581,43377,31149,20495,14335,8394,4751,3938,28,5,
REGION I (ILOCOS REGION),Pangasinan,2020,,732008,15568,45109,,88134,129750,153420,118183,74654,50636,28277,14543,12840,858,36,
REGION II (CAGAYAN VALLEY),Batanes,2020,,5174,309,435,,558,743,1119,703,405,365,221,174,138,3,1,
REGION II (CAGAYAN VALLEY),Cagayan,2020,,291652,5048,19389,,43683,60693,66202,36040,24401,16350,9978,5119,4715,34,0,
REGION II (CAGAYAN VALLEY),Isabela,2020,,405425,5610,20061,,47325,78298,97821,60983,40492,25920,15074,7521,6264,56,0,
REGION II (CAGAYAN VALLEY),Nueva Vizcaya,2020,,124274,2687,8560,,17614,20028,24570,18471,11881,9003,5141,3031,3264,20,4,
REGION II (CAGAYAN VALLEY),Quirino,2020,,49067,22,144,,1964,14869,14139,8227,5098,2772,1288,394,135,13,2,
REGION III (CENTRAL LUZON),Aurora,2020,,56540,368,2854,,8821,11989,12091,8309,4972,3470,1920,1033,681,28,4,
REGION III (CENTRAL LUZON),Bataan,2020,,199002,2085,7332,,21960,32601,39462,34009,22017,16770,10517,5931,6243,69,6,
REGION III (CENTRAL LUZON),Bulacan,2020,,865286,13048,31644,,81963,132609,250835,141420,77842,56189,34072,20013,22317,3135,199,
REGION III (CENTRAL LUZON),Nueva Ecija,2020,,546068,10429,34515,,84524,112876,104177,70513,48111,35608,21048,11841,12170,249,7,
REGION III (CENTRAL LUZON),Pampanga,2020,,540236,12189,20465,,41352,63730,95402,86647,70156,69251,35106,19261,25947,720,10,
REGION III (CENTRAL LUZON),Tarlac,2020,,350479,4548,15998,,35911,56435,69555,59543,40908,29994,17454,9531,9728,843,31,
REGION III (CENTRAL LUZON),Zambales,2020,,161255,961,6611,,24026,35611,36414,25472,13939,9550,4607,2248,1730,70,16,
REGION III (CENTRAL LUZON),City of Angeles,2020,,109497,3505,1220,,6132,9974,21404,19179,14855,11633,6734,4492,10068,285,16,
REGION III (CENTRAL LUZON),City of Olongapo,2020,,63821,193,1691,,7318,12710,14797,11345,6406,4015,2634,1507,1201,2,2,
REGION IV-A (CALABARZON),Batangas,2020,,674774,15386,39324,,84351,104888,129432,105206,69001,54828,34165,19491,18481,158,63,
REGION IV-A (CALABARZON),Cavite,2020,,1036970,7802,24569,,69178,134010,323087,191248,117265,79361,45230,22472,21167,1304,277,
REGION IV-A (CALABARZON),Laguna,2020,,834930,10850,26840,,62522,103651,239447,142802,94199,65910,38810,28139,21646,93,21,
REGION IV-A (CALABARZON),Quezon,2020,,463376,9126,39303,,96718,91847,83534,61264,34252,23742,11916,6439,5057,175,3,
REGION IV-A (CALABARZON),Rizal,2020,,746907,10682,25276,,63438,110269,224387,126569,66292,45617,31335,19532,23319,177,14,
REGION IV-A (CALABARZON),City of Lucena,2020,,63782,290,1495,,5078,9151,17635,12801,7009,4874,2690,1614,1139,6,0,
MIMAROPA REGION,Marinduque,2020,,59263,4400,9342,,14538,9625,7628,4706,2838,2391,1759,1029,950,56,1,
MIMAROPA REGION,Occidental Mindoro,2020,,125023,4350,18062,,31637,26908,18492,10042,5824,4329,2497,1618,1231,32,1,
MIMAROPA REGION,Oriental Mindoro,2020,,212416,6010,25659,,54190,44170,34134,19307,11190,7821,5198,2446,2253,37,1,
MIMAROPA REGION,Palawan,2020,,228788,28062,51731,,57424,38073,25064,11265,6433,3978,3194,1813,1607,144,0,
MIMAROPA REGION,Romblon,2020,,75895,1667,8390,,17780,16055,12569,7262,4564,3418,1939,1143,1089,18,1,
MIMAROPA REGION,City of Puerto Princesa,2020,,80050,6327,11317,,13999,11307,11538,8048,5885,5242,3124,1677,1545,41,0,
REGION V (BICOL REGION),Albay,2020,,305362,17253,40088,,53182,55088,54134,31359,19127,15471,8699,5477,5357,120,7,
REGION V (BICOL REGION),Camarines Norte,2020,,142094,1117,9286,,30527,30621,28192,15937,10658,7232,4669,2152,1613,80,10,
REGION V (BICOL REGION),Camarines Sur,2020,,445150,16068,49796,,86316,94468,83597,44243,26252,18611,11618,7159,6614,387,21,
REGION V (BICOL REGION),Catanduanes,2020,,59815,330,2222,,7885,12042,14452,7700,5298,4764,2579,1442,1054,37,10,
REGION V (BICOL REGION),Masbate,2020,,204668,9796,35588,,61361,43402,23565,11067,7304,4680,3551,2169,2123,59,3,
REGION V (BICOL REGION),Sorsogon,2020,,185489,4299,15045,,33175,44182,40344,18696,11065,8425,4848,2810,2518,80,2,
REGION VI (WESTERN VISAYAS),Aklan,2020,,147890,961,6907,,27672,34814,28836,19238,10421,8144,4794,3106,2945,51,1,
REGION VI (WESTERN VISAYAS),Antique,2020,,146370,3770,18484,,36860,30438,20281,13444,8085,6653,3766,2146,2315,126,2,
REGION VI (WESTERN VISAYAS),Capiz,2020,,199268,4847,18654,,46553,41904,30426,19689,12439,9849,6390,4291,4077,140,9,
REGION VI (WESTERN VISAYAS),Guimaras,2020,,47137,1413,7130,,11963,9689,7365,3827,2175,1526,996,604,428,19,2,
REGION VI (WESTERN VISAYAS),Iloilo,2020,,499274,13481,47463,,101770,90342,76748,54214,37563,31418,19531,11981,13904,832,27,
REGION VI (WESTERN VISAYAS),Negros Occidental,2020,,619110,21479,80326,,162327,116994,79536,55625,39450,26132,17173,9850,10036,182,0,
REGION VI (WESTERN VISAYAS),City of Bacolod,2020,,138999,1987,5505,,12777,17602,22628,28588,17995,12502,7820,5114,6426,49,6,
REGION VI (WESTERN VISAYAS),City of Iloilo,2020,,98154,506,3151,,8853,10857,16463,19382,11979,9367,6384,4900,6095,204,13,
REGION VII (CENTRAL VISAYAS),Bohol,2020,,319246,12962,36778,,70047,59219,48372,30191,19689,15921,10423,6971,8171,486,16,
REGION VII (CENTRAL VISAYAS),Cebu,2020,,774454,40735,108817,,184642,127254,106156,76501,44772,34845,21989,13008,15485,231,19,
REGION VII (CENTRAL VISAYAS),Negros Oriental,2020,,343272,18648,59793,,105927,58005,36645,21709,13407,10904,7725,4977,5332,188,12,
REGION VII (CENTRAL VISAYAS),Siquijor,2020,,25698,143,954,,3333,5594,6503,4134,2098,1227,812,542,355,2,1,
REGION VII (CENTRAL VISAYAS),City of Cebu,2020,,219984,5492,17674,,38009,43959,41280,29185,13759,11554,6956,5038,6992,72,14,
REGION VII (CENTRAL VISAYAS),City of Lapu-Lapu (Opon),2020,,127300,4385,12379,,22196,21860,25734,18242,9640,5529,3337,1787,2204,6,1,
REGION VII (CENTRAL VISAYAS),City of Mandaue,2020,,99903,3062,11263,,20116,19955,18801,10774,5573,3982,2373,1587,2387,26,4,
REGION VIII (EASTERN VISAYAS),Biliran,2020,,42634,304,1618,,5469,10022,10307,5734,3511,2576,1563,841,687,2,0,
REGION VIII (EASTERN VISAYAS),Eastern Samar,2020,,114960,751,4335,,16204,26634,26392,16423,10274,6463,3967,1925,1538,50,4,
REGION VIII (EASTERN VISAYAS),Leyte,2020,,438893,12747,49653,,102953,88986,64847,41055,26494,19532,13853,8868,9799,87,19,
REGION VIII (EASTERN VISAYAS),Northern Samar,2020,,137759,10470,22637,,28455,25921,24286,10248,5878,4103,2513,1845,1356,46,1,
REGION VIII (EASTERN VISAYAS),Samar (Western Samar),2020,,178614,356,4564,,38030,44546,37414,21782,14116,8898,4941,2473,1319,171,4,
REGION VIII (EASTERN VISAYAS),Southern Leyte,2020,,100046,2398,9020,,20304,18599,17290,10854,6829,5688,3986,2482,2578,13,5,
REGION VIII (EASTERN VISAYAS),City of Tacloban,2020,,55353,677,2436,,7342,7541,11791,8304,5444,4396,2809,2422,2181,4,6,
REGION IX (ZAMBOANGA PENINSULA),Zamboanga del Norte,2020,,240805,10961,40829,,72619,44253,27550,15397,9875,7860,4838,3038,3469,116,0,
REGION IX (ZAMBOANGA PENINSULA),Zamboanga del Sur,2020,,232500,1568,12654,,50049,74882,43516,22857,11467,7471,4177,2357,1426,65,11,
REGION IX (ZAMBOANGA PENINSULA),Zamboanga Sibugay,2020,,151206,2027,15917,,46940,38048,23474,10927,5984,3148,2255,1123,1097,265,1,
REGION IX (ZAMBOANGA PENINSULA),City of Isabela*,2020,,24305,128,402,,3183,5298,4459,3395,2510,1999,1208,773,899,49,2,
REGION IX (ZAMBOANGA PENINSULA),City of Zamboanga,2020,,209521,3612,9528,,16891,19317,35481,38896,28630,24758,14481,8068,9442,401,16,
REGION X (NORTHERN MINDANAO),Bukidnon,2020,,347980,16863,56878,,90534,61461,39948,25717,18697,14238,10135,6579,6759,162,9,
REGION X (NORTHERN MINDANAO),Camiguin,2020,,21821,291,1169,,2928,3123,3762,2969,2239,2183,1307,816,1034,0,0,
REGION X (NORTHERN MINDANAO),Lanao del Norte,2020,,137943,1738,10022,,26482,30286,24469,17278,10757,7246,5067,2619,1943,36,0,
REGION X (NORTHERN MINDANAO),Misamis Occidental,2020,,145529,7042,20327,,36494,27322,18721,11773,7731,6347,4159,2685,2846,77,5,
REGION X (NORTHERN MINDANAO),Misamis Oriental,2020,,218537,2933,13449,,54286,55578,39346,22686,12604,8701,4474,2450,1966,59,5,
REGION X (NORTHERN MINDANAO),City of Cagayan de Oro,2020,,177951,1903,7739,,23703,34268,35106,30853,18435,12519,6423,3649,3327,21,5,
REGION X (NORTHERN MINDANAO),City of Iligan,2020,,81781,773,3963,,10089,11997,14345,14374,8820,7350,4451,2661,2943,14,1,
REGION XI (DAVAO REGION),Davao de Oro (Compostela Valley),2020,,184649,7288,29271,,55159,41514,23320,11127,6036,4762,2804,1667,1587,108,6,
REGION XI (DAVAO REGION),Davao del Norte,2020,,264129,6428,21231,,61078,53154,44479,29840,18361,14582,7262,4165,3358,183,8,
REGION XI (DAVAO REGION),Davao del Sur,2020,,176400,9537,30853,,51869,31117,18758,11524,7385,5924,4126,2569,2664,59,15,
REGION XI (DAVAO REGION),Davao Occidental,2020,,76739,1939,16487,,30202,15884,7184,2473,1074,659,459,176,153,49,0,
REGION XI (DAVAO REGION),Davao Oriental,2020,,134328,2694,12855,,33234,29660,18888,11971,8379,7590,4888,2307,1753,108,1,
REGION XI (DAVAO REGION),City of Davao,2020,,449615,12994,36407,,57900,56787,73779,73964,47080,40943,23301,14366,11875,173,46,
REGION XII (SOCCSKSARGEN),Cotabato (North Cotabato),2020,,300107,15777,55074,,92157,59348,33113,16792,10829,7217,4426,2702,2550,49,73,
REGION XII (SOCCSKSARGEN),Sarangani,2020,,130972,3887,24229,,47485,27178,13837,6223,3701,1973,1307,639,484,29,0,
REGION XII (SOCCSKSARGEN),South Cotabato,2020,,238720,2420,20001,,67432,65278,41203,19221,9567,6550,3616,2033,1361,32,6,
REGION XII (SOCCSKSARGEN),Sultan Kudarat,2020,,195885,1873,17316,,47100,53414,35708,19192,9912,5403,2959,1649,1295,63,1,
REGION XII (SOCCSKSARGEN),City of General Santos (Dadiangas),2020,,171495,1872,13523,,34537,32961,31932,24035,14370,9707,4686,2072,1723,62,15,
REGION XIII (CARAGA),Agusan del Norte,2020,,88064,4316,13868,,22843,15316,10042,6136,4634,4120,2661,1813,2241,74,0,
REGION XIII (CARAGA),Agusan del Sur,2020,,171961,835,9555,,47024,50711,32266,16062,7026,4047,2317,1295,760,51,12,
REGION XIII (CARAGA),Dinagat Islands,2020,,28447,1992,4461,,7400,5473,3754,1711,1136,715,662,561,557,25,0,
REGION XIII (CARAGA),Surigao del Norte,2020,,123575,4537,14884,,25858,23187,19395,12193,8505,6072,4035,2516,2360,31,2,
REGION XIII (CARAGA),Surigao del Sur,2020,,147305,732,5336,,24313,36104,32014,21191,11417,7424,4217,2525,2011,15,6,
REGION XIII (CARAGA),City of Butuan,2020,,86483,2672,7065,,12714,11820,12509,11600,9715,7856,4941,2654,2807,123,7,
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (,Basilan,2020,,69327,538,2540,,9018,16916,16907,10540,6982,3550,1277,522,311,223,3,
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (,Lanao del Sur,2020,,130552,1764,4812,,10783,17742,21589,21412,19490,14128,9311,5114,4034,355,18,
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (,Maguindanao,2020,,266763,3286,12588,,41053,60388,47913,39317,26955,15687,9044,4536,5571,420,5,
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (,Sulu,2020,,146622,1526,7146,,26664,33683,24423,16395,11320,8046,4532,1928,1069,9890,0,
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (,Tawi-Tawi,2020,,65741,268,2063,,9854,17798,14119,9033,5030,3597,2426,1018,504,31,0,
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (,Eight (8) Area Clusters**,2020,,45870,2703,4169,,4974,4570,5670,9656,7907,2999,1281,532,1408,1,0,
NATIONAL CAPITAL REGION (NCR),City of Manila,2020,,55811,2478,6170,,10307,10911,9352,4986,2723,2299,1811,1326,1362,2029,57,
NATIONAL CAPITAL REGION (NCR),City of Mandaluyong,2020,,17729,361,1274,,2641,4401,2908,1615,541,410,277,239,353,2708,1,
NATIONAL CAPITAL REGION (NCR),City of Marikina,2020,,6794,136,349,,886,1463,1153,732,458,405,363,327,511,11,0,
NATIONAL CAPITAL REGION (NCR),City of Pasig,2020,,24949,313,1419,,3942,5934,5817,2630,1284,741,582,501,713,1072,1,
NATIONAL CAPITAL REGION (NCR),Quezon City,2020,,76179,2790,7534,,12828,14383,14334,7411,3860,2836,2490,2040,3479,2184,10,
NATIONAL CAPITAL REGION (NCR),City of San Juan,2020,,3640,118,331,,484,619,518,372,218,153,183,124,115,403,2,
NATIONAL CAPITAL REGION (NCR),City of Caloocan,2020,,20250,540,1350,,3181,4007,4297,2261,1551,971,1015,457,595,23,2,
NATIONAL CAPITAL REGION (NCR),City of Malabon,2020,,5856,147,650,,1459,1511,880,503,231,123,111,99,100,30,12,
