Region,IncomeGroup,Value,Year
Surigao Del Sur,5th Decile,34930.16,2018
Dinagat Islands,6th Decile,6043.75,2018
BARMM - BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (includes the 63 barangays from Cotabato for 2023)2/,8th Decile,119579.86,2018
Basilan,9th Decile,8684.03,2018
Lanao Del Sur,10th Decile,29124.44,2018
Maguindanao ,All Income Groups,34961.75,2018
Maguindanao del Norte,1st Decile,,2018
Maguindanao del Sur,2nd Decile,,2018
Sulu,3rd Decile,20287.74,2018
Tawi-Tawi,4th Decile,12812.47,2018
Cotabato City,5th Decile,13709.42,2018
"Source: Family Income and Expenditure Survey, Philippine Statistics Authority",6th Decile,,2018
Notes:,8th Decile,,2018
p - Estimates are preliminary and may change,9th Decile,,2018
"1/ The 2018 and 2021 estimates still include the 63 barangays from North Cotabato. Meanwhile, in 2023, these are part of BARMM already. Hence, estimates for 2018 and 2021, and 2023 for Region XII are not comparable.",10th Decile,,2018
"2/ The 2018 and 2021 estimates exclude the 63 barangays from North Cotabato, which are now part of BARMM in 2023. Hence, estimates for 2018 and 2021, and 2023 for BARMM are not comparable.",All Income Groups,,2018
Details may not add up to total due to rounding.,1st Decile,,2018
PHILIPPINES,2nd Decile,280591.27,2018
NATIONAL CAPITAL REGION,4th Decile,70127.21,2018
NCR I,5th Decile,,2018
City of Manila,6th Decile,9229,2018
NCR II,7th Decile,,2018
City of Mandaluyong,8th Decile,2706.97,2018
City of San Juan,9th Decile,667.05,2018
Quezon City,10th Decile,16200.91,2018
City of Marikina,All Income Groups,2172.53,2018
City of Pasig,1st Decile,4054.37,2018
NCR III,2nd Decile,,2018
City of Caloocan,3rd Decile,6913.78,2018
City of Malabon,4th Decile,1866.51,2018
City of Navotas,5th Decile,1138.95,2018
City of Valenzuela,6th Decile,3463.15,2018
NCR IV,7th Decile,,2018
City of Las Piñas,8th Decile,3428.67,2018
City of Muntinlupa,9th Decile,3094.77,2018
City of Parañaque,10th Decile,4137.54,2018
Pasay City,All Income Groups,2444.21,2018
City of Makati,1st Decile,4657.52,2018
Pateros,2nd Decile,279.47,2018
City of Taguig,3rd Decile,5017.77,2018
CAR - CORDILLERA ADMINISTRATIVE REGION,5th Decile,5049.78,2018
Abra,6th Decile,519.91,2018
Benguet (Excluding City of Baguio),7th Decile,1423.52,2018
City of Baguio,8th Decile,1657.22,2018
Ifugao,9th Decile,647.24,2018
Kalinga,10th Decile,605.93,2018
Mountain Province,All Income Groups,428.79,2018
Apayao,1st Decile,239.85,2018
REGION I - ILOCOS REGION,3rd Decile,16594.67,2018
Ilocos Norte,4th Decile,2322.36,2018
Ilocos Sur,5th Decile,2035.32,2018
La Union,6th Decile,2762.85,2018
Pangasinan,7th Decile,9770.43,2018
REGION II - CAGAYAN VALLEY,9th Decile,8825.97,2018
Batanes,10th Decile,84.69,2018
Cagayan,All Income Groups,3004.87,2018
Isabela,1st Decile,3887.29,2018
Nueva Vizcaya,2nd Decile,1392.07,2018
Quirino,3rd Decile,521.85,2018
REGION III - CENTRAL LUZON,5th Decile,40704.13,2018
Aurora,6th Decile,613.6,2018
Bataan,7th Decile,2960.18,2018
Bulacan,8th Decile,13347.37,2018
Nueva Ecija,9th Decile,6864.4,2018
Pampanga (Excluding City of Angeles),10th Decile,11025.36,2018
City of Angeles,All Income Groups,2354.89,2018
Tarlac,1st Decile,4231.54,2018
Zambales (Excluding City of Olongapo),2nd Decile,1936.71,2018
City of Olongapo,3rd Decile,1131.24,2018
REGION IVA - CALABARZON,5th Decile,54781.78,2018
Batangas,6th Decile,10695.71,2018
Cavite,7th Decile,16117.17,2018
Laguna,8th Decile,13051.98,2018
Quezon (Excluding City of Lucena),9th Decile,4739.06,2018
City of Lucena,10th Decile,1043.15,2018
Rizal,All Income Groups,13703.73,2018
MIMAROPA REGION,2nd Decile,8121.15,2018
Marinduque,3rd Decile,633.02,2018
Occidental Mindoro,4th Decile,1003.57,2018
Oriental Mindoro,5th Decile,2568.51,2018
Palawan (Excluding City of Puerto Princesa),6th Decile,2606.68,2018
City of Puerto Princesa,7th Decile,1083.5,2018
Romblon,8th Decile,759.53,2018
REGION V - BICOL REGION,10th Decile,14024.51,2018
Albay,All Income Groups,3545.11,2018
Camarines Norte,1st Decile,1485.9,2018
Camarines Sur,2nd Decile,4648.54,2018
Catanduanes,3rd Decile,687.97,2018
Masbate,4th Decile,1929.56,2018
Sorsogon,5th Decile,2058.37,2018
REGION VI - WESTERN VISAYAS,7th Decile,13816.31,2018
Aklan,8th Decile,1807.77,2018
Antique,9th Decile,1669.34,2018
Capiz,10th Decile,2651.39,2018
Iloilo (Excluding City of Iloilo),All Income Groups,5895.71,2018
City of Iloilo,1st Decile,1903.43,2018
Guimaras,2nd Decile,573.54,2018
NEGROS ISLAND REGION,4th Decile,10737.01,2018
Negros Occidental (Excluding City of Bacolod),5th Decile,5884.7,2018
City of Bacolod,6th Decile,2138.8,2018
Negros Oriental,7th Decile,2915.12,2018
Siquijor,8th Decile,295.6,2018
REGION VII - CENTRAL VISAYAS,10th Decile,17947.97,2018
Bohol,All Income Groups,3766.01,2018
Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),1st Decile,8269.54,2018
City of Cebu,2nd Decile,3525.12,2018
City of Lapu-Lapu (Opon),3rd Decile,1703.09,2018
City of Mandaue ,4th Decile,1793.44,2018
REGION VIII - EASTERN VISAYAS,6th Decile,10200.67,2018
Eastern Samar,7th Decile,1082.48,2018
Leyte (Excluding City of Tacloban),8th Decile,3886.22,2018
City of Tacloban,9th Decile,780.29,2018
Northern Samar,10th Decile,1472.2,2018
Samar (Western Samar),All Income Groups,1768.24,2018
Southern Leyte,1st Decile,1028.66,2018
Biliran,2nd Decile,499.61,2018
REGION IX - ZAMBOANGA PENINSULA,4th Decile,8144.53,2018
Zamboanga Del Norte,5th Decile,2122.99,2018
Zamboanga Del Sur (Excluding City of Zamboanga),6th Decile,1971.44,2018
City of Zamboanga,7th Decile,3583.12,2018
Zamboanga Sibugay,8th Decile,1481.84,2018
Isabela City,9th Decile,264.66,2018
REGION X - NORTHERN MINDANAO,All Income Groups,12418.63,2018
Bukidnon,1st Decile,3411.84,2018
Camiguin,2nd Decile,236.61,2018
Lanao Del Norte (Excluding City of Iligan),3rd Decile,1747.8,2018
City of Iligan,4th Decile,961.09,2018
Misamis Occidental,5th Decile,1529.69,2018
"Misamis Oriental 
(Excluding City of Cagayan de Oro)",6th Decile,2285.39,2018
City of Cagayan de Oro,7th Decile,2446.19,2018
REGION XI - DAVAO REGION,9th Decile,13885.01,2018
Davao Del Norte,10th Decile,3057.46,2018
Davao Del Sur (Excluding City of Davao),All Income Groups,1959.94,2018
City of Davao,1st Decile,6400.97,2018
Davao Oriental,2nd Decile,1630.02,2018
Davao De Oro,3rd Decile,1860.43,2018
Davao Occidental,4th Decile,662.69,2018
REGION XII - SOCCSKSARGEN1/,6th Decile,8571.95,2018
Cotabato (North Cotabato),7th Decile,3019.2,2018
South Cotabato (Excluding City of General Santos),8th Decile,2193.88,2018
City of General Santos (Dadiangas),9th Decile,1913.42,2018
Sultan Kudarat,10th Decile,1522.08,2018
Sarangani,All Income Groups,782.25,2018
CARAGA,2nd Decile,6063.85,2018
Agusan Del Norte (Excluding City of Butuan),3rd Decile,772.06,2018
City of Butuan,4th Decile,870.42,2018
Agusan Del Sur,5th Decile,1521.04,2018
Surigao Del Norte,6th Decile,1247.26,2018
Surigao Del Sur,7th Decile,1449.63,2018
Dinagat Islands,8th Decile,268.52,2018
BARMM - BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (includes the 63 barangays from Cotabato for 2023)2/,10th Decile,7465.75,2018
Basilan,All Income Groups,569.45,2018
Lanao Del Sur,1st Decile,1718.77,2018
Maguindanao ,2nd Decile,2062.87,2018
Maguindanao del Norte,3rd Decile,,2018
Maguindanao del Sur,4th Decile,,2018
Sulu,5th Decile,1758.95,2018
Tawi-Tawi,6th Decile,943.37,2018
Cotabato City,7th Decile,750.61,2018
"Source: Family Income and Expenditure Survey, Philippine Statistics Authority",8th Decile,,2018
Notes:,10th Decile,,2018
p - Estimates are preliminary and may change,All Income Groups,,2018
"1/ The 2018 and 2021 estimates still include the 63 barangays from North Cotabato. Meanwhile, in 2023, these are part of BARMM already. Hence, estimates for 2018 and 2021, and 2023 for Region XII are not comparable.",1st Decile,,2018
"2/ The 2018 and 2021 estimates exclude the 63 barangays from North Cotabato, which are now part of BARMM in 2023. Hence, estimates for 2018 and 2021, and 2023 for BARMM are not comparable.",2nd Decile,,2018
Details may not add up to total due to rounding.,3rd Decile,,2018
PHILIPPINES,4th Decile,357379.72,2018
NATIONAL CAPITAL REGION,6th Decile,87785.99,2018
NCR I,7th Decile,,2018
City of Manila,8th Decile,12068.34,2018
NCR II,9th Decile,,2018
City of Mandaluyong,10th Decile,3517.13,2018
City of San Juan,All Income Groups,902.46,2018
Quezon City,1st Decile,19913.52,2018
