Region,IncomeGroup,Value,Year
Negros Oriental,8th Decile,7023.01,2018
Siquijor,9th Decile,674.13,2018
REGION VII - CENTRAL VISAYAS,All Income Groups,45201.08,2018
Bohol,1st Decile,8036.15,2018
Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),2nd Decile,20319.78,2018
City of Cebu,3rd Decile,9662.29,2018
City of Lapu-Lapu (Opon),4th Decile,4144.71,2018
City of Mandaue ,5th Decile,3640.59,2018
REGION VIII - EASTERN VISAYAS,7th Decile,19195.26,2018
Eastern Samar,8th Decile,1812.82,2018
Leyte (Excluding City of Tacloban),9th Decile,7471.74,2018
City of Tacloban,10th Decile,2035.42,2018
Northern Samar,All Income Groups,2727.03,2018
Samar (Western Samar),1st Decile,3443.09,2018
Southern Leyte,2nd Decile,1762.14,2018
Biliran,3rd Decile,877.54,2018
REGION IX - ZAMBOANGA PENINSULA,5th Decile,16593.21,2018
Zamboanga Del Norte,6th Decile,4070.57,2018
Zamboanga Del Sur (Excluding City of Zamboanga),7th Decile,3433.45,2018
City of Zamboanga,8th Decile,5426.35,2018
Zamboanga Sibugay,9th Decile,2594.28,2018
Isabela City,10th Decile,388.53,2018
REGION X - NORTHERN MINDANAO,1st Decile,25184.63,2018
Bukidnon,2nd Decile,6173.07,2018
Camiguin,3rd Decile,507.91,2018
Lanao Del Norte (Excluding City of Iligan),4th Decile,2593.15,2018
City of Iligan,5th Decile,2288.01,2018
Misamis Occidental,6th Decile,2519.72,2018
"Misamis Oriental 
(Excluding City of Cagayan de Oro)",7th Decile,4830.9,2018
City of Cagayan de Oro,8th Decile,6528.84,2018
REGION XI - DAVAO REGION,10th Decile,32113.43,2018
Davao Del Norte,All Income Groups,5931.99,2018
Davao Del Sur (Excluding City of Davao),1st Decile,3708.88,2018
City of Davao,2nd Decile,15620,2018
Davao Oriental,3rd Decile,2272.43,2018
Davao De Oro,4th Decile,3524,2018
Davao Occidental,5th Decile,1130.53,2018
REGION XII - SOCCSKSARGEN1/,7th Decile,22792.72,2018
Cotabato (North Cotabato),8th Decile,7653.46,2018
South Cotabato (Excluding City of General Santos),9th Decile,5305.57,2018
City of General Santos (Dadiangas),10th Decile,4105.33,2018
Sultan Kudarat,All Income Groups,3599.58,2018
Sarangani,1st Decile,2055.93,2018
CARAGA,3rd Decile,12704.65,2018
Agusan Del Norte (Excluding City of Butuan),4th Decile,1544.63,2018
City of Butuan,5th Decile,2104.16,2018
Agusan Del Sur,6th Decile,2880.55,2018
Surigao Del Norte,7th Decile,2507.27,2018
Surigao Del Sur,8th Decile,2999.14,2018
Dinagat Islands,9th Decile,497.01,2018
BARMM - BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (includes the 63 barangays from Cotabato for 2023)2/,All Income Groups,10904.85,2018
Basilan,1st Decile,820.05,2018
Lanao Del Sur,2nd Decile,2628.65,2018
Maguindanao ,3rd Decile,3247.63,2018
Maguindanao del Norte,4th Decile,,2018
Maguindanao del Sur,5th Decile,,2018
Sulu,6th Decile,1883,2018
Tawi-Tawi,7th Decile,1165.19,2018
Cotabato City,8th Decile,1252.62,2018
"Source: Family Income and Expenditure Survey, Philippine Statistics Authority",9th Decile,,2018
Notes:,All Income Groups,,2018
p - Estimates are preliminary and may change,1st Decile,,2018
"1/ The 2018 and 2021 estimates still include the 63 barangays from North Cotabato. Meanwhile, in 2023, these are part of BARMM already. Hence, estimates for 2018 and 2021, and 2023 for Region XII are not comparable.",2nd Decile,,2018
"2/ The 2018 and 2021 estimates exclude the 63 barangays from North Cotabato, which are now part of BARMM in 2023. Hence, estimates for 2018 and 2021, and 2023 for BARMM are not comparable.",3rd Decile,,2018
Details may not add up to total due to rounding.,4th Decile,,2018
PHILIPPINES,5th Decile,918043.59,2018
NATIONAL CAPITAL REGION,7th Decile,173262.16,2018
NCR I,8th Decile,,2018
City of Manila,9th Decile,22872.7,2018
NCR II,10th Decile,,2018
City of Mandaluyong,All Income Groups,7644.74,2018
City of San Juan,1st Decile,1623.09,2018
Quezon City,2nd Decile,39623.6,2018
City of Marikina,3rd Decile,5974.21,2018
City of Pasig,4th Decile,10888.25,2018
NCR III,5th Decile,,2018
City of Caloocan,6th Decile,16910.58,2018
City of Malabon,7th Decile,3918.36,2018
City of Navotas,8th Decile,2393.69,2018
City of Valenzuela,9th Decile,6724.42,2018
NCR IV,10th Decile,,2018
City of Las Piñas,All Income Groups,8712.04,2018
City of Muntinlupa,1st Decile,6691.37,2018
City of Parañaque,2nd Decile,10781.51,2018
Pasay City,3rd Decile,6178.42,2018
City of Makati,4th Decile,12882.17,2018
Pateros,5th Decile,769.43,2018
City of Taguig,6th Decile,12214.75,2018
CAR - CORDILLERA ADMINISTRATIVE REGION,8th Decile,17329.16,2018
Abra,9th Decile,1541.38,2018
Benguet (Excluding City of Baguio),10th Decile,4611.99,2018
City of Baguio,All Income Groups,6323.42,2018
Ifugao,1st Decile,1439.37,2018
Kalinga,2nd Decile,1722.41,2018
Mountain Province,3rd Decile,1042.43,2018
Apayao,4th Decile,690.81,2018
REGION I - ILOCOS REGION,6th Decile,37542.77,2018
Ilocos Norte,7th Decile,5448.41,2018
Ilocos Sur,8th Decile,5230.05,2018
La Union,9th Decile,6504.8,2018
Pangasinan,10th Decile,18931.92,2018
REGION II - CAGAYAN VALLEY,1st Decile,25006.66,2018
Batanes,2nd Decile,205.79,2018
Cagayan,3rd Decile,9349.09,2018
Isabela,4th Decile,10130.75,2018
Nueva Vizcaya,5th Decile,4028.38,2018
Quirino,6th Decile,1239.52,2018
REGION III - CENTRAL LUZON,8th Decile,105258.82,2018
Aurora,9th Decile,1606.7,2018
Bataan,10th Decile,8444.53,2018
Bulacan,All Income Groups,31916.33,2018
Nueva Ecija,1st Decile,17431.09,2018
Pampanga (Excluding City of Angeles),2nd Decile,19813.78,2018
City of Angeles,3rd Decile,4388.53,2018
Tarlac,4th Decile,10547.86,2018
Zambales (Excluding City of Olongapo),5th Decile,5337.52,2018
City of Olongapo,6th Decile,2603.01,2018
REGION IVA - CALABARZON,8th Decile,168480.23,2018
Batangas,9th Decile,27584.76,2018
Cavite,10th Decile,48075.92,2018
Laguna,All Income Groups,42149.4,2018
Quezon (Excluding City of Lucena),1st Decile,11712.3,2018
City of Lucena,2nd Decile,3033.83,2018
Rizal,3rd Decile,35762.28,2018
MIMAROPA REGION,5th Decile,19611.39,2018
Marinduque,6th Decile,1532.68,2018
Occidental Mindoro,7th Decile,2769.89,2018
Oriental Mindoro,8th Decile,5986.94,2018
Palawan (Excluding City of Puerto Princesa),9th Decile,5162.36,2018
City of Puerto Princesa,10th Decile,2956.2,2018
Romblon,All Income Groups,1280.36,2018
REGION V - BICOL REGION,2nd Decile,30017.84,2018
Albay,3rd Decile,7748.6,2018
Camarines Norte,4th Decile,2997.47,2018
Camarines Sur,5th Decile,10432.8,2018
Catanduanes,6th Decile,1494.87,2018
Masbate,7th Decile,3482,2018
Sorsogon,8th Decile,4106.79,2018
REGION VI - WESTERN VISAYAS,10th Decile,33154.74,2018
Aklan,All Income Groups,3959.54,2018
Antique,1st Decile,3961.16,2018
Capiz,2nd Decile,4336.97,2018
Iloilo (Excluding City of Iloilo),3rd Decile,14801.35,2018
City of Iloilo,4th Decile,4727.84,2018
Guimaras,5th Decile,1067.26,2018
NEGROS ISLAND REGION,7th Decile,29198.45,2018
Negros Occidental (Excluding City of Bacolod),8th Decile,13575.52,2018
City of Bacolod,9th Decile,5816.69,2018
Negros Oriental,10th Decile,9185.05,2018
Siquijor,All Income Groups,676.41,2018
REGION VII - CENTRAL VISAYAS,2nd Decile,53244.03,2018
Bohol,3rd Decile,9427.52,2018
Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),4th Decile,21435.97,2018
City of Cebu,5th Decile,10773.79,2018
City of Lapu-Lapu (Opon),6th Decile,4931.52,2018
City of Mandaue ,7th Decile,4262.58,2018
REGION VIII - EASTERN VISAYAS,9th Decile,24117.97,2018
Eastern Samar,10th Decile,2379.32,2018
Leyte (Excluding City of Tacloban),All Income Groups,9014.11,2018
City of Tacloban,1st Decile,2665.88,2018
Northern Samar,2nd Decile,3191.93,2018
Samar (Western Samar),3rd Decile,3446.21,2018
Southern Leyte,4th Decile,2198.01,2018
Biliran,5th Decile,1033.23,2018
REGION IX - ZAMBOANGA PENINSULA,7th Decile,18852,2018
Zamboanga Del Norte,8th Decile,4713.95,2018
Zamboanga Del Sur (Excluding City of Zamboanga),9th Decile,3939.66,2018
City of Zamboanga,10th Decile,6825.71,2018
Zamboanga Sibugay,All Income Groups,3012.16,2018
Isabela City,1st Decile,494.54,2018
REGION X - NORTHERN MINDANAO,3rd Decile,29955.26,2018
Bukidnon,4th Decile,7997.13,2018
Camiguin,5th Decile,578.12,2018
Lanao Del Norte (Excluding City of Iligan),6th Decile,3006.84,2018
City of Iligan,7th Decile,2739.4,2018
Misamis Occidental,8th Decile,3080.13,2018
"Misamis Oriental 
(Excluding City of Cagayan de Oro)",9th Decile,5276.73,2018
City of Cagayan de Oro,10th Decile,7405.98,2018
REGION XI - DAVAO REGION,1st Decile,38355.71,2018
Davao Del Norte,2nd Decile,6983.37,2018
Davao Del Sur (Excluding City of Davao),3rd Decile,4299.54,2018
City of Davao,4th Decile,19023.11,2018
Davao Oriental,5th Decile,2636.86,2018
Davao De Oro,6th Decile,4123.2,2018
Davao Occidental,7th Decile,1225.02,2018
REGION XII - SOCCSKSARGEN1/,9th Decile,26961.41,2018
Cotabato (North Cotabato),10th Decile,8612.27,2018
South Cotabato (Excluding City of General Santos),All Income Groups,6418.15,2018
City of General Santos (Dadiangas),1st Decile,5063.75,2018
Sultan Kudarat,2nd Decile,4155.86,2018
Sarangani,3rd Decile,2413.95,2018
CARAGA,5th Decile,14940.93,2018
Agusan Del Norte (Excluding City of Butuan),6th Decile,1875.32,2018
City of Butuan,7th Decile,2655.35,2018
Agusan Del Sur,8th Decile,3338.35,2018
Surigao Del Norte,9th Decile,2974,2018
Surigao Del Sur,10th Decile,3641.69,2018
Dinagat Islands,All Income Groups,593.81,2018
BARMM - BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (includes the 63 barangays from Cotabato for 2023)2/,2nd Decile,12057.98,2018
Basilan,3rd Decile,837.38,2018
Lanao Del Sur,4th Decile,2903.76,2018
Maguindanao ,5th Decile,3647.88,2018
Maguindanao del Norte,6th Decile,,2018
Maguindanao del Sur,7th Decile,,2018
Sulu,8th Decile,1892.92,2018
Tawi-Tawi,9th Decile,1326.92,2018
Cotabato City,10th Decile,1545.29,2018
"Source: Family Income and Expenditure Survey, Philippine Statistics Authority",All Income Groups,,2018
Notes:,2nd Decile,,2018
p - Estimates are preliminary and may change,3rd Decile,,2018
"1/ The 2018 and 2021 estimates still include the 63 barangays from North Cotabato. Meanwhile, in 2023, these are part of BARMM already. Hence, estimates for 2018 and 2021, and 2023 for Region XII are not comparable.",4th Decile,,2018
"2/ The 2018 and 2021 estimates exclude the 63 barangays from North Cotabato, which are now part of BARMM in 2023. Hence, estimates for 2018 and 2021, and 2023 for BARMM are not comparable.",5th Decile,,2018
Details may not add up to total due to rounding.,6th Decile,,2018
PHILIPPINES,7th Decile,1178010.77,2018
NATIONAL CAPITAL REGION,9th Decile,211020.73,2018
NCR I,10th Decile,,2018
City of Manila,All Income Groups,25676.51,2018
NCR II,1st Decile,,2018
City of Mandaluyong,2nd Decile,10370.08,2018
City of San Juan,3rd Decile,2051.87,2018
Quezon City,4th Decile,50215.87,2018
City of Marikina,5th Decile,6844.62,2018
City of Pasig,6th Decile,11771.78,2018
NCR III,7th Decile,,2018
City of Caloocan,8th Decile,19393.07,2018
City of Malabon,9th Decile,4178.4,2018
City of Navotas,10th Decile,2598.63,2018
City of Valenzuela,All Income Groups,7517.83,2018
NCR IV,1st Decile,,2018
City of Las Piñas,2nd Decile,12413.93,2018
City of Muntinlupa,3rd Decile,8691.8,2018
City of Parañaque,4th Decile,14856.41,2018
Pasay City,5th Decile,7014.22,2018
City of Makati,6th Decile,14364.95,2018
Pateros,7th Decile,799.69,2018
City of Taguig,8th Decile,12492.74,2018
CAR - CORDILLERA ADMINISTRATIVE REGION,10th Decile,23351.73,2018
Abra,All Income Groups,1934.13,2018
Benguet (Excluding City of Baguio),1st Decile,6032.35,2018
City of Baguio,2nd Decile,7081.84,2018
Ifugao,3rd Decile,2098.69,2018
Kalinga,4th Decile,2241.12,2018
Mountain Province,5th Decile,1354.96,2018
Apayao,6th Decile,959.45,2018
REGION I - ILOCOS REGION,8th Decile,49936.34,2018
Ilocos Norte,9th Decile,6538.52,2018
Ilocos Sur,10th Decile,6942.35,2018
La Union,All Income Groups,9790.56,2018
Pangasinan,1st Decile,26502.81,2018
REGION II - CAGAYAN VALLEY,3rd Decile,31586.18,2018
Batanes,4th Decile,276.3,2018
Cagayan,5th Decile,11827.4,2018
Isabela,6th Decile,12632.16,2018
Nueva Vizcaya,7th Decile,5286.13,2018
Quirino,8th Decile,1579.59,2018
REGION III - CENTRAL LUZON,10th Decile,127463.19,2018
Aurora,All Income Groups,2217.29,2018
Bataan,1st Decile,9551.95,2018
Bulacan,2nd Decile,42411.01,2018
Nueva Ecija,3rd Decile,24036.77,2018
Pampanga (Excluding City of Angeles),4th Decile,24561.5,2018
City of Angeles,5th Decile,4835.36,2018
Tarlac,6th Decile,13060.01,2018
Zambales (Excluding City of Olongapo),7th Decile,6511.52,2018
City of Olongapo,8th Decile,2842.26,2018
REGION IVA - CALABARZON,10th Decile,209917.92,2018
Batangas,All Income Groups,35574.04,2018
Cavite,1st Decile,55236.85,2018
Laguna,2nd Decile,50780.31,2018
Quezon (Excluding City of Lucena),3rd Decile,14244.78,2018
City of Lucena,4th Decile,3538.47,2018
Rizal,5th Decile,46075.02,2018
MIMAROPA REGION,7th Decile,25744.75,2018
Marinduque,8th Decile,1943.16,2018
Occidental Mindoro,9th Decile,4133.1,2018
Oriental Mindoro,10th Decile,7939.16,2018
Palawan (Excluding City of Puerto Princesa),All Income Groups,5787.66,2018
City of Puerto Princesa,1st Decile,3235.32,2018
Romblon,2nd Decile,1844.49,2018
REGION V - BICOL REGION,4th Decile,42474.87,2018
Albay,5th Decile,11527.5,2018
Camarines Norte,6th Decile,4145.37,2018
Camarines Sur,7th Decile,14366.95,2018
Catanduanes,8th Decile,2097.57,2018
Masbate,9th Decile,4970.53,2018
Sorsogon,10th Decile,5252.87,2018
REGION VI - WESTERN VISAYAS,1st Decile,45240.64,2018
Aklan,2nd Decile,5272.25,2018
Antique,3rd Decile,4318.77,2018
Capiz,4th Decile,5501.76,2018
Iloilo (Excluding City of Iloilo),5th Decile,21423.98,2018
City of Iloilo,6th Decile,6419.5,2018
Guimaras,7th Decile,1365.82,2018
NEGROS ISLAND REGION,9th Decile,39429.71,2018
Negros Occidental (Excluding City of Bacolod),10th Decile,17653.64,2018
City of Bacolod,All Income Groups,7189.82,2018
Negros Oriental,1st Decile,13175.97,2018
Siquijor,2nd Decile,1057.02,2018
REGION VII - CENTRAL VISAYAS,4th Decile,67774.26,2018
Bohol,5th Decile,13525.7,2018
Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),6th Decile,28379.69,2018
City of Cebu,7th Decile,13372.86,2018
City of Lapu-Lapu (Opon),8th Decile,6689.99,2018
City of Mandaue ,9th Decile,4407.77,2018
REGION VIII - EASTERN VISAYAS,All Income Groups,34986.48,2018
Eastern Samar,1st Decile,3192.93,2018
Leyte (Excluding City of Tacloban),2nd Decile,13323.19,2018
City of Tacloban,3rd Decile,3580.45,2018
Northern Samar,4th Decile,4788.87,2018
Samar (Western Samar),5th Decile,5386.64,2018
Southern Leyte,6th Decile,3033.75,2018
Biliran,7th Decile,1528.86,2018
REGION IX - ZAMBOANGA PENINSULA,9th Decile,27592.07,2018
Zamboanga Del Norte,10th Decile,6775.25,2018
Zamboanga Del Sur (Excluding City of Zamboanga),All Income Groups,5365.25,2018
City of Zamboanga,1st Decile,8899.33,2018
Zamboanga Sibugay,2nd Decile,4542.81,2018
Isabela City,3rd Decile,815.39,2018
REGION X - NORTHERN MINDANAO,5th Decile,41416.25,2018
Bukidnon,6th Decile,9685.91,2018
Camiguin,7th Decile,722.59,2018
Lanao Del Norte (Excluding City of Iligan),8th Decile,4048.24,2018
City of Iligan,9th Decile,3702.16,2018
Misamis Occidental,10th Decile,4466.88,2018
"Misamis Oriental 
(Excluding City of Cagayan de Oro)",All Income Groups,6803.17,2018
City of Cagayan de Oro,1st Decile,10078.97,2018
REGION XI - DAVAO REGION,3rd Decile,51155.36,2018
Davao Del Norte,4th Decile,8116.29,2018
Davao Del Sur (Excluding City of Davao),5th Decile,5771.02,2018
City of Davao,6th Decile,21935.11,2018
Davao Oriental,7th Decile,3543.92,2018
Davao De Oro,8th Decile,4686.78,2018
Davao Occidental,9th Decile,1606.1,2018
REGION XII - SOCCSKSARGEN1/,All Income Groups,34735.64,2018
Cotabato (North Cotabato),1st Decile,11155.32,2018
South Cotabato (Excluding City of General Santos),2nd Decile,8621.85,2018
City of General Santos (Dadiangas),3rd Decile,6560.32,2018
Sultan Kudarat,4th Decile,5497.15,2018
Sarangani,5th Decile,2853.93,2018
CARAGA,7th Decile,20659.27,2018
Agusan Del Norte (Excluding City of Butuan),8th Decile,2248.36,2018
City of Butuan,9th Decile,3672.08,2018
Agusan Del Sur,10th Decile,4719.08,2018
Surigao Del Norte,All Income Groups,4042.52,2018
Surigao Del Sur,1st Decile,4805.33,2018
Dinagat Islands,2nd Decile,771.57,2018
BARMM - BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (includes the 63 barangays from Cotabato for 2023)2/,4th Decile,14590.14,2018
Basilan,5th Decile,1050.93,2018
Lanao Del Sur,6th Decile,3416.55,2018
Maguindanao ,7th Decile,4412.16,2018
Maguindanao del Norte,8th Decile,,2018
Maguindanao del Sur,9th Decile,,2018
Sulu,10th Decile,1961.3,2018
Tawi-Tawi,All Income Groups,1549.93,2018
Cotabato City,1st Decile,1941.06,2018
"Source: Family Income and Expenditure Survey, Philippine Statistics Authority",2nd Decile,,2018
Notes:,4th Decile,,2018
p - Estimates are preliminary and may change,5th Decile,,2018
"1/ The 2018 and 2021 estimates still include the 63 barangays from North Cotabato. Meanwhile, in 2023, these are part of BARMM already. Hence, estimates for 2018 and 2021, and 2023 for Region XII are not comparable.",6th Decile,,2018
"2/ The 2018 and 2021 estimates exclude the 63 barangays from North Cotabato, which are now part of BARMM in 2023. Hence, estimates for 2018 and 2021, and 2023 for BARMM are not comparable.",7th Decile,,2018
Details may not add up to total due to rounding.,8th Decile,,2018
PHILIPPINES,9th Decile,2147950.63,2018
NATIONAL CAPITAL REGION,All Income Groups,355545.54,2018
NCR I,1st Decile,,2018
City of Manila,2nd Decile,40344.05,2018
NCR II,3rd Decile,,2018
City of Mandaluyong,4th Decile,27465.28,2018
City of San Juan,5th Decile,5366.1,2018
Quezon City,6th Decile,77346.23,2018
City of Marikina,7th Decile,11331.59,2018
City of Pasig,8th Decile,18863.82,2018
NCR III,9th Decile,,2018
City of Caloocan,10th Decile,28062.5,2018
City of Malabon,All Income Groups,5484.72,2018
City of Navotas,1st Decile,4717.48,2018
City of Valenzuela,2nd Decile,11164.38,2018
NCR IV,3rd Decile,,2018
City of Las Piñas,4th Decile,15304.76,2018
City of Muntinlupa,5th Decile,16774.77,2018
City of Parañaque,6th Decile,19858.8,2018
Pasay City,7th Decile,8153.32,2018
City of Makati,8th Decile,31014.89,2018
Pateros,9th Decile,1166.37,2018
City of Taguig,10th Decile,18998.48,2018
CAR - CORDILLERA ADMINISTRATIVE REGION,1st Decile,43998,2018
Abra,2nd Decile,3593.99,2018
Benguet (Excluding City of Baguio),3rd Decile,12068.84,2018
City of Baguio,4th Decile,12293.22,2018
Ifugao,5th Decile,4062.26,2018
Kalinga,6th Decile,5260.95,2018
Mountain Province,7th Decile,2878.72,2018
Apayao,8th Decile,2124.62,2018
REGION I - ILOCOS REGION,10th Decile,87989.27,2018
Ilocos Norte,All Income Groups,12229,2018
Ilocos Sur,1st Decile,12704.25,2018
La Union,2nd Decile,17385.64,2018
Pangasinan,3rd Decile,45273.79,2018
REGION II - CAGAYAN VALLEY,5th Decile,66022.84,2018
Batanes,6th Decile,542.45,2018
Cagayan,7th Decile,22742,2018
Isabela,8th Decile,27147.1,2018
Nueva Vizcaya,9th Decile,10861.54,2018
Quirino,10th Decile,4401.35,2018
REGION III - CENTRAL LUZON,1st Decile,220170.62,2018
Aurora,2nd Decile,4800.27,2018
Bataan,3rd Decile,20379.59,2018
Bulacan,4th Decile,64276.4,2018
Nueva Ecija,5th Decile,48245.94,2018
Pampanga (Excluding City of Angeles),6th Decile,35098.49,2018
City of Angeles,7th Decile,7610.29,2018
Tarlac,8th Decile,20841,2018
Zambales (Excluding City of Olongapo),9th Decile,11264.34,2018
City of Olongapo,10th Decile,4717.99,2018
REGION IVA - CALABARZON,1st Decile,360854.86,2018
Batangas,2nd Decile,63447.48,2018
Cavite,3rd Decile,83899.16,2018
Laguna,4th Decile,82422.04,2018
Quezon (Excluding City of Lucena),5th Decile,28573.92,2018
City of Lucena,6th Decile,5318.08,2018
Rizal,7th Decile,90025.73,2018
MIMAROPA REGION,9th Decile,58006,2018
Marinduque,10th Decile,4044.93,2018
Occidental Mindoro,All Income Groups,10273.03,2018
Oriental Mindoro,1st Decile,19388.8,2018
Palawan (Excluding City of Puerto Princesa),2nd Decile,10715.63,2018
City of Puerto Princesa,3rd Decile,6147.67,2018
Romblon,4th Decile,6267,2018
REGION V - BICOL REGION,6th Decile,87778.32,2018
Albay,7th Decile,20705.47,2018
Camarines Norte,8th Decile,7676.8,2018
Camarines Sur,9th Decile,31626.48,2018
Catanduanes,10th Decile,3838.65,2018
Masbate,All Income Groups,11285.53,2018
Sorsogon,1st Decile,11644.56,2018
REGION VI - WESTERN VISAYAS,3rd Decile,93659.31,2018
Aklan,4th Decile,12006.91,2018
Antique,5th Decile,9673.35,2018
Capiz,6th Decile,11955.02,2018
Iloilo (Excluding City of Iloilo),7th Decile,40951.91,2018
City of Iloilo,8th Decile,13413.65,2018
Guimaras,9th Decile,3422.11,2018
NEGROS ISLAND REGION,All Income Groups,83458.56,2018
Negros Occidental (Excluding City of Bacolod),1st Decile,34706.31,2018
City of Bacolod,2nd Decile,13852.27,2018
Negros Oriental,3rd Decile,29916.81,2018
Siquijor,4th Decile,2189.47,2018
REGION VII - CENTRAL VISAYAS,6th Decile,136929.91,2018
Bohol,7th Decile,27737.77,2018
Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),8th Decile,54312.11,2018
City of Cebu,9th Decile,33720.32,2018
City of Lapu-Lapu (Opon),10th Decile,10534.12,2018
City of Mandaue ,All Income Groups,8537.76,2018
REGION VIII - EASTERN VISAYAS,2nd Decile,77605.84,2018
Eastern Samar,3rd Decile,7070.26,2018
Leyte (Excluding City of Tacloban),4th Decile,31078.92,2018
City of Tacloban,5th Decile,6082.71,2018
Northern Samar,6th Decile,11446.39,2018
Samar (Western Samar),7th Decile,10635.25,2018
Southern Leyte,8th Decile,5933.56,2018
Biliran,9th Decile,3675.72,2018
REGION IX - ZAMBOANGA PENINSULA,All Income Groups,59234.38,2018
Zamboanga Del Norte,1st Decile,14674.78,2018
Zamboanga Del Sur (Excluding City of Zamboanga),2nd Decile,12451.97,2018
City of Zamboanga,3rd Decile,16119.57,2018
Zamboanga Sibugay,4th Decile,13579.86,2018
Isabela City,5th Decile,1404.29,2018
REGION X - NORTHERN MINDANAO,7th Decile,82753.57,2018
Bukidnon,8th Decile,22559.15,2018
Camiguin,9th Decile,1342.49,2018
Lanao Del Norte (Excluding City of Iligan),10th Decile,8296.37,2018
City of Iligan,All Income Groups,6111.75,2018
Misamis Occidental,1st Decile,8334.03,2018
"Misamis Oriental 
(Excluding City of Cagayan de Oro)",2nd Decile,14578.87,2018
City of Cagayan de Oro,3rd Decile,19039.89,2018
REGION XI - DAVAO REGION,5th Decile,98058.3,2018
Davao Del Norte,6th Decile,16848.44,2018
Davao Del Sur (Excluding City of Davao),7th Decile,14281.86,2018
City of Davao,8th Decile,39654.21,2018
Davao Oriental,9th Decile,8804.14,2018
Davao De Oro,10th Decile,11004.13,2018
Davao Occidental,All Income Groups,3666.42,2018
REGION XII - SOCCSKSARGEN1/,2nd Decile,86564.53,2018
Cotabato (North Cotabato),3rd Decile,35611.66,2018
South Cotabato (Excluding City of General Santos),4th Decile,21151.84,2018
City of General Santos (Dadiangas),5th Decile,11241.43,2018
Sultan Kudarat,6th Decile,11487.23,2018
Sarangani,7th Decile,5515.75,2018
CARAGA,9th Decile,49826.96,2018
Agusan Del Norte (Excluding City of Butuan),10th Decile,5143.17,2018
City of Butuan,All Income Groups,8001.65,2018
Agusan Del Sur,1st Decile,14113.96,2018
Surigao Del Norte,2nd Decile,9357.24,2018
Surigao Del Sur,3rd Decile,11062.15,2018
Dinagat Islands,4th Decile,1800.1,2018
BARMM - BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (includes the 63 barangays from Cotabato for 2023)2/,6th Decile,26681.67,2018
Basilan,7th Decile,1951.61,2018
Lanao Del Sur,8th Decile,6869.59,2018
Maguindanao ,9th Decile,7451.07,2018
Maguindanao del Norte,10th Decile,,2018
Maguindanao del Sur,All Income Groups,,2018
Sulu,1st Decile,3347.86,2018
Tawi-Tawi,2nd Decile,2412.58,2018
Cotabato City,3rd Decile,3330,2018
"Source: Family Income and Expenditure Survey, Philippine Statistics Authority",4th Decile,,2018
Notes:,6th Decile,,2018
p - Estimates are preliminary and may change,7th Decile,,2018
"1/ The 2018 and 2021 estimates still include the 63 barangays from North Cotabato. Meanwhile, in 2023, these are part of BARMM already. Hence, estimates for 2018 and 2021, and 2023 for Region XII are not comparable.",8th Decile,,2018
"2/ The 2018 and 2021 estimates exclude the 63 barangays from North Cotabato, which are now part of BARMM in 2023. Hence, estimates for 2018 and 2021, and 2023 for BARMM are not comparable.",9th Decile,,2018
Details may not add up to total due to rounding.,10th Decile,,2018
PHILIPPINES,All Income Groups,8109045.26,2021
NATIONAL CAPITAL REGION,2nd Decile,1467628.46,2021
NCR I,3rd Decile,,2021
City of Manila,4th Decile,204369.69,2021
NCR II,5th Decile,,2021
City of Mandaluyong,6th Decile,62352.7,2021
City of San Juan,7th Decile,15840.53,2021
Quezon City,8th Decile,315867.49,2021
City of Marikina,9th Decile,51462.72,2021
City of Pasig,10th Decile,91036.89,2021
NCR III,All Income Groups,,2021
City of Caloocan,1st Decile,129885.82,2021
City of Malabon,2nd Decile,31403.2,2021
City of Navotas,3rd Decile,20510.06,2021
City of Valenzuela,4th Decile,62704.85,2021
NCR IV,5th Decile,,2021
City of Las Piñas,6th Decile,65582.27,2021
City of Muntinlupa,7th Decile,60390.76,2021
City of Parañaque,8th Decile,93220.34,2021
Pasay City,9th Decile,46705.45,2021
City of Makati,10th Decile,111574.69,2021
Pateros,All Income Groups,5094.35,2021
City of Taguig,1st Decile,99626.64,2021
CAR - CORDILLERA ADMINISTRATIVE REGION,3rd Decile,156804.61,2021
Abra,4th Decile,15355.87,2021
Benguet (Excluding City of Baguio),5th Decile,41403.86,2021
City of Baguio,6th Decile,46754.71,2021
Ifugao,7th Decile,15474.53,2021
Kalinga,8th Decile,18713.76,2021
Mountain Province,9th Decile,10496.42,2021
Apayao,10th Decile,8605.46,2021
REGION I - ILOCOS REGION,1st Decile,387243.14,2021
Ilocos Norte,2nd Decile,55373.29,2021
Ilocos Sur,3rd Decile,54075.55,2021
La Union,4th Decile,65716.6,2021
Pangasinan,5th Decile,212077.71,2021
REGION II - CAGAYAN VALLEY,7th Decile,260480.16,2021
Batanes,8th Decile,2483.16,2021
