Region,City/Province,Year,Price Type,Value
Region VI (Western Visayas),N/A,2022,At Current Prices,131498
Region VI (Western Visayas),N/A,2023,At Current Prices,146713
Region VI (Western Visayas),N/A,2018,At Constant 2018 Prices,100662
Region VI (Western Visayas),N/A,2019,At Constant 2018 Prices,105099
Region VI (Western Visayas),N/A,2020,At Constant 2018 Prices,95353
Region VI (Western Visayas),N/A,2021,At Constant 2018 Prices,101606
Region VI (Western Visayas),N/A,2022,At Constant 2018 Prices,113117
Region VI (Western Visayas),N/A,2023,At Constant 2018 Prices,118749
Region VII (Central Visayas),N/A,2018,At Current Prices,106346
Region VII (Central Visayas),N/A,2019,At Current Prices,112211
Region VII (Central Visayas),N/A,2020,At Current Prices,103864
Region VII (Central Visayas),N/A,2021,At Current Prices,113054
Region VII (Central Visayas),N/A,2022,At Current Prices,128720
Region VII (Central Visayas),N/A,2023,At Current Prices,143334
Region VII (Central Visayas),N/A,2018,At Constant 2018 Prices,106346
Region VII (Central Visayas),N/A,2019,At Constant 2018 Prices,110259
Region VII (Central Visayas),N/A,2020,At Constant 2018 Prices,100390
Region VII (Central Visayas),N/A,2021,At Constant 2018 Prices,106509
Region VII (Central Visayas),N/A,2022,At Constant 2018 Prices,113890
Region VII (Central Visayas),N/A,2023,At Constant 2018 Prices,119371
Region VIII (Eastern Visayas),N/A,2018,At Current Prices,83419
Region VIII (Eastern Visayas),N/A,2019,At Current Prices,88395
Region VIII (Eastern Visayas),N/A,2020,At Current Prices,82356
Region VIII (Eastern Visayas),N/A,2021,At Current Prices,92468
Region VIII (Eastern Visayas),N/A,2022,At Current Prices,102692
Region VIII (Eastern Visayas),N/A,2023,At Current Prices,113574
Region VIII (Eastern Visayas),N/A,2018,At Constant 2018 Prices,83419
Region VIII (Eastern Visayas),N/A,2019,At Constant 2018 Prices,87033
Region VIII (Eastern Visayas),N/A,2020,At Constant 2018 Prices,79102
Region VIII (Eastern Visayas),N/A,2021,At Constant 2018 Prices,86058
Region VIII (Eastern Visayas),N/A,2022,At Constant 2018 Prices,89694
Region VIII (Eastern Visayas),N/A,2023,At Constant 2018 Prices,93268
Region IX (Zamboanga Peninsula),N/A,2018,At Current Prices,76601
Region IX (Zamboanga Peninsula),N/A,2019,At Current Prices,81779
Region IX (Zamboanga Peninsula),N/A,2020,At Current Prices,76409
Region IX (Zamboanga Peninsula),N/A,2021,At Current Prices,82912
Region IX (Zamboanga Peninsula),N/A,2022,At Current Prices,96457
Region IX (Zamboanga Peninsula),N/A,2023,At Current Prices,104749
Region IX (Zamboanga Peninsula),N/A,2018,At Constant 2018 Prices,76601
Region IX (Zamboanga Peninsula),N/A,2019,At Constant 2018 Prices,81520
Region IX (Zamboanga Peninsula),N/A,2020,At Constant 2018 Prices,74652
Region IX (Zamboanga Peninsula),N/A,2021,At Constant 2018 Prices,78482
Region IX (Zamboanga Peninsula),N/A,2022,At Constant 2018 Prices,85412
Region IX (Zamboanga Peninsula),N/A,2023,At Constant 2018 Prices,87195
Region X (Northern Mindanao),N/A,2018,At Current Prices,94351
Region X (Northern Mindanao),N/A,2019,At Current Prices,100097
Region X (Northern Mindanao),N/A,2020,At Current Prices,93760
Region X (Northern Mindanao),N/A,2021,At Current Prices,103098
Region X (Northern Mindanao),N/A,2022,At Current Prices,116908
Region X (Northern Mindanao),N/A,2023,At Current Prices,129081
Region X (Northern Mindanao),N/A,2018,At Constant 2018 Prices,94351
Region X (Northern Mindanao),N/A,2019,At Constant 2018 Prices,97941
Region X (Northern Mindanao),N/A,2020,At Constant 2018 Prices,89596
Region X (Northern Mindanao),N/A,2021,At Constant 2018 Prices,94935
Region X (Northern Mindanao),N/A,2022,At Constant 2018 Prices,101810
Region X (Northern Mindanao),N/A,2023,At Constant 2018 Prices,106564
Region XI (Davao Region),N/A,2018,At Current Prices,109264
Region XI (Davao Region),N/A,2019,At Current Prices,114796
Region XI (Davao Region),N/A,2020,At Current Prices,106688
Region XI (Davao Region),N/A,2021,At Current Prices,114690
Region XI (Davao Region),N/A,2022,At Current Prices,129283
Region XI (Davao Region),N/A,2023,At Current Prices,143572
Region XI (Davao Region),N/A,2018,At Constant 2018 Prices,109264
Region XI (Davao Region),N/A,2019,At Constant 2018 Prices,113693
Region XI (Davao Region),N/A,2020,At Constant 2018 Prices,103522
Region XI (Davao Region),N/A,2021,At Constant 2018 Prices,106736
Region XI (Davao Region),N/A,2022,At Constant 2018 Prices,113632
Region XI (Davao Region),N/A,2023,At Constant 2018 Prices,118353
Region XII (SOCCSKSARGEN),N/A,2018,At Current Prices,88756
Region XII (SOCCSKSARGEN),N/A,2019,At Current Prices,93776
Region XII (SOCCSKSARGEN),N/A,2020,At Current Prices,87898
Region XII (SOCCSKSARGEN),N/A,2021,At Current Prices,97612
Region XII (SOCCSKSARGEN),N/A,2022,At Current Prices,107966
Region XII (SOCCSKSARGEN),N/A,2023,At Current Prices,118330
Region XII (SOCCSKSARGEN),N/A,2018,At Constant 2018 Prices,88756
Region XII (SOCCSKSARGEN),N/A,2019,At Constant 2018 Prices,91779
Region XII (SOCCSKSARGEN),N/A,2020,At Constant 2018 Prices,83325
Region XII (SOCCSKSARGEN),N/A,2021,At Constant 2018 Prices,88457
Region XII (SOCCSKSARGEN),N/A,2022,At Constant 2018 Prices,92680
Region XII (SOCCSKSARGEN),N/A,2023,At Constant 2018 Prices,96699
Region XIII (Caraga),N/A,2018,At Current Prices,81543
Region XIII (Caraga),N/A,2019,At Current Prices,85471
Region XIII (Caraga),N/A,2020,At Current Prices,81002
Region XIII (Caraga),N/A,2021,At Current Prices,92083
Region XIII (Caraga),N/A,2022,At Current Prices,102555
Region XIII (Caraga),N/A,2023,At Current Prices,110895
Region XIII (Caraga),N/A,2018,At Constant 2018 Prices,81543
Region XIII (Caraga),N/A,2019,At Constant 2018 Prices,84486
Region XIII (Caraga),N/A,2020,At Constant 2018 Prices,77026
Region XIII (Caraga),N/A,2021,At Constant 2018 Prices,84264
Region XIII (Caraga),N/A,2022,At Constant 2018 Prices,89603
Region XIII (Caraga),N/A,2023,At Constant 2018 Prices,91407
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),N/A,2018,At Current Prices,62688
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),N/A,2019,At Current Prices,66551
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),N/A,2020,At Current Prices,62832
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),N/A,2021,At Current Prices,65426
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),N/A,2022,At Current Prices,71435
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),N/A,2023,At Current Prices,77897
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),N/A,2018,At Constant 2018 Prices,62688
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),N/A,2019,At Constant 2018 Prices,65210
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),N/A,2020,At Constant 2018 Prices,59773
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),N/A,2021,At Constant 2018 Prices,60581
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),N/A,2022,At Constant 2018 Prices,63034
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),N/A,2023,At Constant 2018 Prices,66419
