region,in_scope,province,city,location,description,price,bedrooms,bathrooms,floor_area,land_area,price_per_sqm_floor,price_per_sqm_land,price_per_bedroom,bb_ratio,far,latitude,longitude
N/A,FALSE,N/A,Butuan,"Camella Prima Butuan, Barangay Ampayon, Butuan City Ampayon, Butuan",for sale alli house and lot 2 bedroom at  camella butuan city,4480180,2,1,40,88,112004.5,50911.13636,2240090,2,0.454545455,N/A,N/A
N/A,FALSE,N/A,Mabalacat,"Sapang Biabas, Mabalacat","2BR 2-Storey House and Lot for Sale in Mabalacat, Pampanga at Talanai Homes | APITONG",2224500,2,1,50,65,44490,34223.07692,1112250,2,0.769230769,15.1987752,120.6026101
NCR,TRUE,Ncr,Muntinlupa,"Cupang, Muntinlupa",Likha Residences | Pre-selling 3BR 3-Storey Townhouse for Sale near Alabang in Muntinlupa | Typical Unit,31348000,3,3,247.4,92,126709.7817,340739.1304,10449333.33,1,2.689130435,14.4378843,121.0503212
N/A,FALSE,N/A,Cabanatuan,"Emilio Vergara Hwy Santa Arcadia, Cabanatuan","5BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Freya 132sqm",9584000,5,3,142,132,67492.95775,72606.06061,1916800,1.666666667,1.075757576,15.468244,120.9764138
N/A,FALSE,N/A,Cabanatuan,"Emilio Vergara Hwy Santa Arcadia, Cabanatuan","RFO 5BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Ella 110sqm",7618000,5,3,100,110,76180,69254.54545,1523600,1.666666667,0.909090909,15.468244,120.9764138
N/A,FALSE,N/A,Cabanatuan,"Emilio Vergara Hwy Santa Arcadia, Cabanatuan","BTS 2BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Criselle 63sqm",4383000,2,1,40,63,109575,69571.42857,2191500,2,0.634920635,15.468244,120.9764138
N/A,FALSE,N/A,Paranaque,"B.F. Homes, Paranaque","Single Storey Modern Smart House For Sale in Bayanihan, BF Homes, Paranaque City",31800000,4,5,N/A,308,N/A,103246.7532,7950000,0.8,N/A,14.4462789,121.0274109
N/A,FALSE,N/A,Subic,"Aningway Sacatihan, Subic","4BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Dani 146sqm",7340000,4,3,83,146,88433.73494,50273.9726,1835000,1.333333333,0.568493151,14.9131781,120.2282421
N/A,FALSE,N/A,Angeles,"Mining, Angeles",Avida Land an Ayala land Company House and Lot in Pampanga,8000000,3,2,84,84,95238.09524,95238.09524,2666666.667,1.5,1,15.1451282,120.6028533
NCR,TRUE,Ncr,Muntinlupa,"Km. 19 West Service Rd. Cupang, Muntinlupa","3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | Unit Facing Clubhouse",34016000,3,3,247.4,93,137493.9369,365763.4409,11338666.67,1,2.660215054,14.4321626,121.0452418
N/A,FALSE,N/A,Kawit,"San Sebastian, Kawit","3-Bedroom Townhouse for Sale in Kawit, Cavite at Lancaster New City | ANICA Model",2389000,3,1,50,50,47780,47780,796333.3333,3,1,14.4129793,120.8886677
N/A,FALSE,N/A,Lipa,"Bugtong Na Pulo, Lipa","3BR Single Attached House and Lot for Sale in Lipa, Batangas | The Villages at Lipa - Brook Village, SA65",4928000,3,1,65,116,75815.38462,42482.75862,1642666.667,3,0.560344828,13.9984308,121.1674592
N/A,FALSE,N/A,Lipa,"Bugtong Na Pulo, Lipa","Ready For You: 2BR Townhouse (TH53) for Sale in Lipa, Batangas | The Villages at Lipa - Brook Village at Php 63,433 monthly amortization",4006000,2,1,53,52,75584.90566,77038.46154,2003000,2,1.019230769,13.9984308,121.1674592
N/A,FALSE,N/A,Cabanatuan,"Emilio Vergara Hwy Santa Arcadia, Cabanatuan","5BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Greta 143sqm",10956000,5,3,166,143,66000,76615.38462,2191200,1.666666667,1.160839161,15.468244,120.9764138
N/A,FALSE,N/A,Cabanatuan,"Emilio Vergara Hwy Santa Arcadia, Cabanatuan","4BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Dana w/ CB 141sqm",8686000,4,3,85,141,102188.2353,61602.83688,2171500,1.333333333,0.602836879,15.468244,120.9764138
N/A,FALSE,N/A,Cabanatuan,"Emilio Vergara Hwy Santa Arcadia, Cabanatuan","2BR 2-Storey Townhouse for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Arielle EU 65sqm",3230000,2,1,36,65,89722.22222,49692.30769,1615000,2,0.553846154,15.468244,120.9764138
N/A,FALSE,N/A,Cabanatuan,"Emilio Vergara Hwy Santa Arcadia, Cabanatuan","RFO 2BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Bella 89sqm",5772000,2,2,53,89,108905.6604,64853.93258,2886000,1,0.595505618,15.468244,120.9764138
N/A,FALSE,N/A,Cabanatuan,"Emilio Vergara Hwy Santa Arcadia, Cabanatuan","5BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Freya 121sqm",8732000,5,3,142,121,61492.95775,72165.28926,1746400,1.666666667,1.173553719,15.468244,120.9764138
N/A,FALSE,N/A,Cabanatuan,"Emilio Vergara Hwy Santa Arcadia, Cabanatuan","RFO 4BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Dana Combo 204sqm",10863000,4,3,85,204,127800,53250,2715750,1.333333333,0.416666667,15.468244,120.9764138
N/A,FALSE,N/A,Cabanatuan,"Emilio Vergara Hwy Santa Arcadia, Cabanatuan","2BR 2-Storey Townhouse for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Arielle IU 42sqm",2793000,2,1,36,42,77583.33333,66500,1396500,2,0.857142857,15.468244,120.9764138
N/A,FALSE,N/A,Cabanatuan,"Emilio Vergara Hwy Santa Arcadia, Cabanatuan","2BR 2-Storey Townhouse for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Arielle EU 63sqm",3309000,2,1,36,63,91916.66667,52523.80952,1654500,2,0.571428571,15.468244,120.9764138
N/A,FALSE,N/A,Cabanatuan,"Emilio Vergara Hwy Santa Arcadia, Cabanatuan","3BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Cara w/ CB 110sqm",6650000,3,2,66,110,100757.5758,60454.54545,2216666.667,1.5,0.6,15.468244,120.9764138
N/A,FALSE,N/A,Cabanatuan,"Emilio Vergara Hwy Santa Arcadia, Cabanatuan","2BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Bella 88sqm",5079000,2,2,53,88,95830.18868,57715.90909,2539500,1,0.602272727,15.468244,120.9764138
N/A,FALSE,N/A,Cabanatuan,"Emilio Vergara Hwy Santa Arcadia, Cabanatuan","2BR 2-Storey Townhouse for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Arielle IU 40sqm",2698000,2,1,36,40,74944.44444,67450,1349000,2,0.9,15.468244,120.9764138
